id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
11708,Juggerobb#1867,Blaze,Battlefield of Eternity,Lowered Expectations,LOSS,20,4,3,7,5,5,34112,52993,6827,45343,7697,0,529,0,2925,59755,8150,2,151,1,0,74150,0,0,0,0,0,1,1,4,1,0,47043,27891,1,28205,75569,23,
11708,Barber#1144,Greymane,Battlefield of Eternity,Lowered Expectations,LOSS,20,0,7,7,1,5,55172,65082,15016,35188,59374,0,60,0,0,34868,8866,2,40,7,0,74150,0,0,0,0,0,1,0,0,1,0,22646,33135,1,87185,106277,26,
11708,popnfresh#1951,Sonya,Battlefield of Eternity,Lowered Expectations,LOSS,20,0,5,5,5,3,46690,83949,3665,67922,1790,0,63,0,10995,67701,14459,1,242,0,0,74150,0,0,0,0,0,0,0,2,0,0,56971,39281,1,24090,110039,29,
11708,ModusTrollen#1882,Hanzo,Battlefield of Eternity,Lowered Expectations,LOSS,20,2,5,7,0,7,57643,43702,6503,29653,40686,0,17,0,0,12571,7905,2,0,6,0,74150,0,0,0,0,0,1,0,0,0,0,4904,14740,1,37414,130344,25,
11708,MuffinMan#12356,Rehgar,Battlefield of Eternity,Lowered Expectations,LOSS,20,1,6,7,5,5,14796,17770,5203,10002,12690,0,8849,66196,0,33902,7196,2,197,4,0,74150,0,0,0,0,2,0,1,3,0,18388,21802,10727,1,23652,22318,28,
11709,Juggerobb#1867,Mei,Infernal Shrines,Lowered Expectations,LOSS,21,0,10,10,2,7,24915,75279,4494,57624,13511,2788,620,0,19088,78335,12013,0,121,1,0,86664,0,0,0,0,0,4,0,1,0,0,62908,17219,2,34352,83156,42,
11709,Barber#1144,Tychus,Infernal Shrines,Lowered Expectations,LOSS,21,7,2,9,2,7,41754,94560,11936,62235,28962,4050,19,0,0,38985,13694,0,121,4,0,86664,0,0,0,0,0,0,0,0,0,0,20305,17291,2,50335,127374,43,
11709,popnfresh#1951,Dehaka,Infernal Shrines,Lowered Expectations,LOSS,21,2,6,8,8,3,19571,88478,0,78360,5485,4867,97,0,15539,72615,16055,0,346,0,0,86664,0,6,0,0,0,0,1,4,0,0,53708,14602,2,25838,86672,34,
11709,ModusTrollen#1882,Mephisto,Infernal Shrines,Lowered Expectations,LOSS,21,1,7,8,5,4,27753,90977,11347,52794,17375,3310,115,0,5139,37303,10055,0,218,3,0,86664,0,33,40,40,0,0,0,1,0,0,26434,16333,2,15398,127372,36,
11709,MuffinMan#12356,Anduin,Infernal Shrines,Lowered Expectations,LOSS,21,0,9,9,0,9,14355,32014,3470,19681,11652,3767,41,69049,0,17744,5350,0,0,3,0,86664,0,0,33,33,4,1,0,0,0,6445,7364,5480,2,23913,35898,38,
