id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
2852,DaKillidan#1756,Varian,Braxis Holdout,Team Rainbow Strike Go!,WIN,18,4,7,11,1,6,20576,42118,21295,15749,26189,1371,46,0,14511,32352,6839,2,40,7,0,60758,0,0,0,0,0,0,1,1,0,0,25094,15886,2,59435,29944,27,
2852,NullPointer#1191,Anduin,Braxis Holdout,Team Rainbow Strike Go!,WIN,18,0,10,10,1,6,12697,15739,5840,7616,5535,685,21,40234,1945,12367,3128,1,40,2,0,60758,0,0,17,17,0,0,0,1,0,5265,6865,6874,2,18957,15412,25,
2852,traib#1925,Kael'thas,Braxis Holdout,Team Rainbow Strike Go!,WIN,18,3,8,11,1,6,43398,71479,18245,44318,27832,1533,6,0,1504,18468,7583,1,40,5,0,60758,0,0,0,0,0,0,1,0,0,0,11069,21193,2,21065,137913,34,
2852,SeGaTai#1225,Johanna,Braxis Holdout,Team Rainbow Strike Go!,WIN,18,3,6,9,2,4,17739,50868,7321,41396,4683,329,73,0,22168,58360,8832,1,69,2,0,60758,0,0,0,0,0,0,0,1,0,0,44766,15033,2,18173,55285,31,
2852,kime#1822,Deathwing,Braxis Holdout,Team Rainbow Strike Go!,WIN,18,1,7,8,1,8,35678,65969,8339,51613,3028,899,58,0,20016,43412,12037,1,18,2,0,60758,0,0,0,0,0,0,0,1,0,0,9914,14450,2,29275,84307,22,
2853,DaKillidan#1756,Valla,Volskaya Foundry,Team Rainbow Strike Go!,WIN,21,2,10,12,1,9,37111,98780,53696,42260,34286,0,56,699,2647,14901,8721,4,26,14,0,81943,699,0,0,0,0,0,0,1,0,0,8759,23596,3,71742,100846,48,
2853,NullPointer#1191,Anduin,Volskaya Foundry,Team Rainbow Strike Go!,WIN,21,1,11,12,0,12,17050,20435,10433,9841,7366,50,30,43230,2829,9834,5450,4,0,12,0,81943,0,0,10,10,1,1,0,0,0,5575,5100,11155,3,16369,28425,39,
2853,traib#1925,Jaina,Volskaya Foundry,Team Rainbow Strike Go!,WIN,21,5,7,12,2,4,23147,70465,29964,40009,35212,100,806,0,0,18966,11487,3,66,11,0,81943,0,0,26,26,0,1,1,0,1,0,12046,15556,3,10779,117146,44,
2853,SeGaTai#1225,Johanna,Volskaya Foundry,Team Rainbow Strike Go!,WIN,21,4,8,12,0,12,25330,87817,17137,65538,7230,100,76,0,22453,68820,12566,4,0,6,0,81943,0,0,0,0,0,0,0,0,0,4426,46354,23759,3,35787,87030,48,
2853,kime#1822,Blaze,Volskaya Foundry,Team Rainbow Strike Go!,WIN,21,0,12,12,1,9,19659,111714,45234,61230,13082,25,109,2061,12220,33775,13581,4,29,8,0,81943,2061,0,0,0,0,0,0,1,0,0,20875,12763,3,50252,100697,49,
