id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
9694,Skycake420#1412,Jaina,Infernal Shrines,Ana Maniacs,WIN,20,1,13,14,3,9,36881,82000,37660,34184,27278,1769,964,0,0,23208,7643,2,129,4,0,78758,0,0,18,18,0,1,1,1,0,0,8818,19606,4,16900,131391,32,
9694,Tiger#14285,Sonya,Infernal Shrines,Ana Maniacs,WIN,20,4,10,14,2,14,33957,111986,23895,78655,61051,0,15,0,22855,53073,16141,1,86,5,0,78758,0,0,0,0,0,0,1,0,0,0,27872,24971,4,35766,172186,33,
9694,dthPUNISH3R#1315,Uther,Infernal Shrines,Ana Maniacs,WIN,20,5,9,14,3,13,18753,22614,5550,15559,16412,433,36,59151,7716,41006,6326,2,106,7,0,78758,0,0,0,0,1,0,1,1,0,12534,28860,14587,4,19181,37974,39,
9694,WENlS#11638,Gazlowe,Infernal Shrines,Ana Maniacs,WIN,20,3,11,14,3,8,49086,72002,25265,40703,40775,160,20,0,16120,52399,9325,2,122,6,0,78758,0,0,0,0,0,1,1,0,0,0,25819,27025,4,38052,122513,29,
9694,IceX#1230,Mei,Infernal Shrines,Ana Maniacs,WIN,20,1,13,14,1,14,18477,44099,9218,30527,9778,757,379,0,21635,61917,12652,2,20,3,0,78758,0,0,0,0,0,1,0,1,1,0,34700,14452,4,35780,36196,36,
9695,Skycake420#1412,Sylvanas,Towers of Doom,Ana Maniacs,WIN,18,5,8,13,0,13,45993,50347,16871,31895,11311,0,308,0,566,14612,7593,4,0,3,0,63097,0,8,0,0,0,0,0,0,0,0,9542,26257,3,42139,65038,19,
9695,Tiger#14285,Malthael,Towers of Doom,Ana Maniacs,WIN,18,2,7,9,0,9,22927,96477,1377,95100,28496,0,85,0,13933,23123,18366,2,0,6,0,63097,0,0,0,0,0,0,0,0,0,0,9734,11187,2,69223,78677,38,
9695,dthPUNISH3R#1315,Brightwing,Towers of Doom,Ana Maniacs,WIN,18,3,8,11,0,11,12214,18190,8558,9070,6163,0,0,47173,0,11614,6165,3,0,5,0,63097,0,28,0,0,0,0,0,0,0,9772,5937,5584,2,24129,11600,22,
9695,WENlS#11638,Li-Ming,Towers of Doom,Ana Maniacs,WIN,18,4,8,12,1,6,32483,67378,25782,38823,15832,0,0,0,0,6940,6385,3,32,4,0,63097,0,0,0,0,0,0,1,0,0,0,4731,14306,3,9934,105443,19,
9695,IceX#1230,Anub'arak,Towers of Doom,Ana Maniacs,WIN,18,0,13,13,0,13,18090,22468,9316,13152,4868,0,99,0,14838,36695,8094,4,0,1,0,63097,0,0,0,0,0,0,0,0,0,0,31378,14868,3,18797,25848,21,
