id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
2687,Valkamer#1366,Johanna,Alterac Pass,Team Rainbow Strike Go!,LOSS,24,1,14,15,1,10,52576,127706,6665,106102,22325,0,145,11219,52107,127286,17707,3,50,2,0,122620,6549,0,0,0,0,0,1,1,0,0,98751,44306,4,42652,162040,46,
2687,Keladorn#1935,Deathwing,Alterac Pass,Team Rainbow Strike Go!,LOSS,24,2,10,12,4,6,89068,131301,9798,105566,22735,0,96,0,27768,74912,17122,1,231,2,0,122620,0,0,0,0,0,1,0,0,0,0,57700,57567,3,30175,214954,28,
2687,Ossprey#1431,Cassia,Alterac Pass,Team Rainbow Strike Go!,LOSS,24,9,6,15,3,10,90190,145364,17172,101098,73353,0,0,0,8879,70065,16828,3,180,5,0,122620,0,0,0,0,0,3,1,0,0,0,41819,64013,4,94835,222825,42,
2687,WitsEnd#11407,Auriel,Alterac Pass,Team Rainbow Strike Go!,LOSS,24,0,15,15,1,15,25830,53065,5948,36373,33357,0,26,95025,0,47480,8696,3,65,4,0,122620,968,0,0,0,2,1,0,0,1,17184,20636,16139,4,43323,71886,39,
2687,Silma#1632,Maiev,Alterac Pass,Team Rainbow Strike Go!,LOSS,24,3,10,13,3,9,45089,163190,13345,125499,27617,0,17,0,0,59382,19346,3,136,3,0,122620,0,0,0,0,0,0,1,1,0,0,25442,32609,4,92187,147478,52,
2688,Valkamer#1366,Garrosh,Towers of Doom,Team Rainbow Strike Go!,WIN,16,1,6,7,0,7,19679,26404,1419,20301,2819,4684,166,0,3825,25796,4614,1,0,4,0,52777,0,0,0,0,0,0,0,0,0,0,20061,16885,2,15150,31757,29,
2688,Keladorn#1935,Kael'thas,Towers of Doom,Team Rainbow Strike Go!,WIN,16,3,4,7,0,7,30063,44015,3198,37128,30078,3689,5,0,387,7072,6991,1,0,7,0,52777,0,0,0,0,0,0,0,0,0,0,3355,8623,2,7268,94077,32,
2688,Ossprey#1431,Raynor,Towers of Doom,Team Rainbow Strike Go!,WIN,16,1,6,7,0,7,34701,36180,2410,24643,8744,9127,109,0,4227,15646,5951,0,0,3,0,52777,0,0,0,0,0,1,0,0,0,0,9952,19393,2,67694,23124,30,
2688,WitsEnd#11407,Lúcio,Towers of Doom,Team Rainbow Strike Go!,WIN,16,2,5,7,0,7,10476,20664,424,14408,4088,5832,2782,29610,0,11596,3942,1,0,4,0,52777,0,0,0,0,1,0,0,0,0,2547,8349,6782,2,25423,8066,29,
2688,Silma#1632,Malthael,Towers of Doom,Team Rainbow Strike Go!,WIN,16,1,0,1,0,1,18780,93813,735,93078,0,0,0,0,12750,23998,15978,0,0,0,0,52777,0,0,0,0,0,0,0,0,0,0,464,24,0,46453,65998,34,
2689,Valkamer#1366,Garrosh,Dragon Shire,Team Rainbow Strike Go!,LOSS,19,1,3,4,5,2,19191,22722,2384,14935,3042,420,166,0,8305,57306,5802,0,234,2,0,71182,0,32,0,0,0,0,0,4,0,0,51729,17307,0,18275,28285,29,
2689,Keladorn#1935,Kael'thas,Dragon Shire,Team Rainbow Strike Go!,LOSS,19,2,2,4,0,4,58295,95670,9449,69236,13552,1598,20,0,534,24482,8223,1,0,5,0,71182,0,0,0,0,0,0,0,0,0,0,16789,27177,0,9735,163708,38,
2689,Ossprey#1431,Raynor,Dragon Shire,Team Rainbow Strike Go!,LOSS,19,1,2,3,2,2,26073,86729,19784,55809,9142,1991,120,0,8998,33663,12003,0,66,4,0,71182,0,0,0,0,0,1,0,2,0,0,19346,17326,0,121495,41289,40,
2689,WitsEnd#11407,Lúcio,Dragon Shire,Team Rainbow Strike Go!,LOSS,19,0,3,3,1,3,13367,26907,2244,20136,5529,324,2578,51639,0,27635,6954,1,62,4,0,71182,0,0,0,0,0,0,0,1,0,10556,19208,10001,0,38754,8935,36,
2689,Silma#1632,Qhira,Dragon Shire,Team Rainbow Strike Go!,LOSS,19,0,2,2,4,2,62613,76607,7583,59232,2109,1767,19,0,19723,51004,11748,1,180,2,0,71182,0,0,0,0,0,0,0,4,0,0,41704,41864,0,35492,111104,34,
