id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
13269,VixMakina#1499,Stukov,Battlefield of Eternity,Bunker Fun Time Academy,WIN,16,2,9,11,0,11,14274,20392,12435,5342,22248,1625,110,47744,0,14457,6759,4,0,8,0,54282,0,60,0,0,0,0,0,0,0,6030,5817,6903,3,37912,17218,28,
13269,Amaye#11522,Greymane,Battlefield of Eternity,Bunker Fun Time Academy,WIN,16,2,9,11,1,8,19401,38046,22023,12380,41600,2148,0,0,0,18272,5923,3,44,7,0,54282,0,0,0,0,0,0,0,1,0,0,10429,10950,3,72097,23652,20,
13269,Shonenn#1177,Mal'Ganis,Battlefield of Eternity,Bunker Fun Time Academy,WIN,16,3,8,11,0,11,16057,26545,7165,14539,5287,4841,60,4943,13549,41247,7096,4,0,3,0,54282,0,0,0,0,0,2,0,0,1,0,32846,9773,3,15126,30359,20,
13269,Autumn#13665,Jaina,Battlefield of Eternity,Bunker Fun Time Academy,WIN,16,3,8,11,0,11,15169,53691,24121,23553,39708,4763,727,0,0,10635,8641,4,0,7,0,54282,0,0,19,19,0,0,0,0,0,0,4523,9804,3,14615,92508,30,
13269,BluddyDrapes#1110,Sonya,Battlefield of Eternity,Bunker Fun Time Academy,WIN,16,1,9,10,0,10,24726,69915,24316,42499,29561,2665,12,0,13935,26883,11040,1,0,6,0,54282,0,0,0,0,0,0,0,0,0,0,10589,14475,3,23366,99284,24,
13270,VixMakina#1499,Malfurion,Tomb of the Spider Queen,Bunker Fun Time Academy,WIN,19,2,12,14,1,10,15242,12404,3768,8544,6808,92,93,77767,0,16536,5537,1,23,2,0,68606,0,0,37,37,7,1,0,0,0,34179,5991,11561,5,17649,17519,37,
13270,Amaye#11522,Greymane,Tomb of the Spider Queen,Bunker Fun Time Academy,WIN,19,5,6,11,1,11,20397,88181,26947,48609,30548,634,0,0,0,24303,9156,3,50,3,0,68606,0,0,0,0,0,1,0,0,0,0,13585,16456,4,101869,47996,38,
13270,Shonenn#1177,Johanna,Tomb of the Spider Queen,Bunker Fun Time Academy,WIN,19,5,9,14,1,14,37734,63845,10896,52863,4062,0,94,0,13178,62106,8146,3,62,2,0,68606,0,0,0,0,0,4,0,0,1,0,45935,33545,5,23636,83017,31,
13270,Autumn#13665,Azmodan,Tomb of the Spider Queen,Bunker Fun Time Academy,WIN,19,2,12,14,0,14,33736,74483,23959,47635,12395,2757,0,0,0,20427,10236,3,0,0,0,68606,0,0,0,0,0,0,0,0,0,0,8608,15112,5,19810,104413,33,
13270,BluddyDrapes#1110,Gazlowe,Tomb of the Spider Queen,Bunker Fun Time Academy,WIN,19,0,3,3,1,2,19635,87264,16099,66396,13088,1404,9,0,7879,30866,11057,0,44,1,0,68606,0,0,0,0,0,1,0,0,0,0,12181,10070,1,30118,93866,25,
