id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
3029,Starknight#1698,Stukov,Braxis Holdout,VileFin Mrgles,WIN,16,0,14,14,0,14,14224,25540,7946,13431,7471,0,193,60857,0,21823,5138,3,0,4,0,54455,0,40,0,0,1,1,0,0,0,9108,12139,5031,4,34570,18319,32,
3029,zednem#1401,Blaze,Braxis Holdout,VileFin Mrgles,WIN,16,2,10,12,0,12,14979,42729,7068,32470,7048,0,157,0,7013,32188,6122,3,0,3,0,54455,0,0,0,0,0,0,0,0,0,0,16770,11994,3,29860,42112,31,
3029,Swing#1824,Jaina,Braxis Holdout,VileFin Mrgles,WIN,16,5,9,14,0,14,26030,45724,14822,20814,16885,0,463,0,0,16727,5996,3,0,4,0,54455,0,0,3,3,0,0,0,0,0,0,5849,17854,4,11129,89320,33,
3029,Tiger#14285,Qhira,Braxis Holdout,VileFin Mrgles,WIN,16,6,4,10,3,6,61455,43490,8004,31309,279,0,14,0,11844,31949,9962,2,60,2,0,54455,0,0,0,0,0,0,1,1,0,0,25129,40572,2,26995,78229,22,
3029,WENlS#11638,Raynor,Braxis Holdout,VileFin Mrgles,WIN,16,4,10,14,1,13,44616,43710,22919,16336,10773,0,123,0,5495,26944,6893,3,17,3,0,54455,0,0,0,0,0,1,1,0,0,0,17908,29146,4,85040,30721,28,
3030,Starknight#1698,Lúcio,Tomb of the Spider Queen,VileFin Mrgles,WIN,25,2,9,11,3,7,18858,56620,17290,27919,5308,5234,1024,180201,0,64742,7880,4,150,4,0,143981,0,0,0,0,7,1,1,2,0,30787,33474,12480,2,58908,22411,56,
3030,zednem#1401,Blaze,Tomb of the Spider Queen,VileFin Mrgles,WIN,25,1,11,12,2,9,31518,124647,19451,73981,12842,17649,886,0,16898,115764,12025,2,127,4,0,143981,0,0,0,0,0,1,0,0,0,0,76961,19923,2,83532,86008,54,
3030,Swing#1824,Kael'thas,Tomb of the Spider Queen,VileFin Mrgles,WIN,25,5,7,12,0,12,73953,187983,30835,123756,28392,12541,35,0,3800,48928,15897,4,0,4,0,143981,0,0,0,0,0,2,0,0,0,0,20061,16839,2,37219,245094,67,
3030,Tiger#14285,Imperius,Tomb of the Spider Queen,VileFin Mrgles,WIN,25,3,8,11,5,6,56316,112764,14466,81106,10198,12300,189,0,28354,99561,15136,3,263,2,0,143981,0,0,0,0,0,1,1,4,0,0,70166,34834,2,62629,113555,59,
3030,WENlS#11638,Azmodan,Tomb of the Spider Queen,VileFin Mrgles,WIN,25,2,9,11,2,8,130466,270028,41642,171731,27496,25796,43,0,0,61071,22570,3,127,3,0,143981,0,0,0,0,0,0,0,1,0,0,32347,48482,2,40516,377630,57,
