id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
13315,Kathazia#1568,Anduin,Towers of Doom,Roll1Esports,LOSS,21,0,1,1,1,1,9473,20777,3494,14095,10769,756,24,46413,0,19909,3753,1,19,4,0,81076,0,0,15,15,0,0,0,1,0,3585,7793,3197,0,20005,22965,22,
13315,bmeduho#1422,Dehaka,Towers of Doom,Roll1Esports,LOSS,21,1,0,1,3,1,17543,130400,0,124303,12586,971,76,0,23991,70584,28430,0,131,0,0,81076,0,12,0,0,0,3,1,3,1,0,41968,10907,0,36706,127004,44,
13315,ESCypher#1660,Junkrat,Towers of Doom,Roll1Esports,LOSS,21,0,0,0,1,0,50341,94630,8369,75303,27789,1674,115,0,0,13757,8801,2,65,4,0,81076,0,0,12,12,0,0,0,1,0,0,6852,14808,0,34880,144268,16,
13315,Hoku#1399,Anub'arak,Towers of Doom,Roll1Esports,LOSS,21,1,0,1,3,1,17406,21142,5193,13439,376,1252,102,0,15352,57399,4511,1,141,3,0,81076,0,0,0,0,0,0,0,3,0,0,39021,10816,0,8879,32535,19,
13315,dmn13#1552,Sylvanas,Towers of Doom,Roll1Esports,LOSS,21,0,1,1,0,1,38713,60199,9884,41952,22948,1799,11,0,0,15444,7753,2,0,4,0,81076,0,7,0,0,0,0,0,0,0,0,8443,23670,0,53750,74195,25,
13316,Kathazia#1568,Stukov,Dragon Shire,Roll1Esports,LOSS,24,1,7,8,4,3,11508,12384,0,8180,10627,266,140,36307,0,33467,4496,1,221,4,0,117854,0,24,0,0,0,0,1,3,0,5508,23222,3619,0,22386,16360,32,
13316,bmeduho#1422,The Lost Vikings,Dragon Shire,Roll1Esports,LOSS,24,1,5,6,4,4,22337,235830,25285,169406,29458,0,69,0,42784,114185,44107,1,0,5,0,117854,0,0,0,0,0,7,0,2,0,0,9406,2354,0,174207,115791,99,
13316,Hoku#1399,Anub'arak,Dragon Shire,Roll1Esports,LOSS,24,1,6,7,5,3,10316,23196,2333,19146,650,904,59,0,10893,54923,4809,1,297,0,0,117854,0,0,0,0,0,0,0,4,0,0,38831,5350,0,5787,35446,27,
13316,dmn13#1552,Junkrat,Dragon Shire,Roll1Esports,LOSS,24,1,4,5,2,4,65721,158358,13772,123302,24682,1480,24,0,0,23301,16207,0,83,6,0,117854,0,0,24,24,0,0,0,2,0,0,12537,21034,0,64036,207785,37,
13316,mynd#1975,Greymane,Dragon Shire,Roll1Esports,LOSS,24,4,4,8,2,7,29821,80161,4409,59054,28877,501,4,0,0,24090,9434,0,130,5,0,117854,0,0,0,0,0,0,1,2,0,0,16585,10476,0,75559,70424,31,
13534,Kathazia#1568,Stukov,Infernal Shrines,Fountain Snipers,LOSS,20,4,10,14,4,5,20963,9805,1808,6596,19751,0,252,63714,0,35588,7461,0,129,4,0,80524,0,57,0,0,1,2,0,3,0,13194,22157,11526,4,31667,20561,23,
13534,bmeduho#1422,Hogger,Infernal Shrines,Fountain Snipers,LOSS,20,4,8,12,3,5,31004,121156,310,112676,10310,0,89,0,10659,38597,22688,0,138,1,0,80524,0,0,0,0,0,0,2,1,0,0,23107,23220,3,18954,142487,38,
