id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
5314,Beowulf04#1544,Ragnaros,Battlefield of Eternity,The Nine Avatara,WIN,19,5,7,12,2,11,51236,123754,16837,100573,35150,2750,51,0,13491,43229,18155,3,38,5,0,70799,0,0,0,0,0,2,1,1,0,0,15838,22664,2,31088,169232,29,
5314,Horvath70#1566,E.T.C.,Battlefield of Eternity,The Nine Avatara,WIN,19,1,8,9,3,4,15828,13770,1099,9445,2470,922,16,3306,25287,63014,5822,1,113,3,0,70799,0,0,0,0,0,0,0,2,0,547,48911,13235,2,27500,4763,30,
5314,Descolata#1582,Gul'dan,Battlefield of Eternity,The Nine Avatara,WIN,19,3,7,10,1,7,55001,79250,31335,45340,42246,1341,0,0,18527,24622,8303,2,50,2,0,70799,0,22,0,0,0,0,0,0,0,0,13970,21833,2,6340,169385,29,
5314,lubbidium#1205,Brightwing,Battlefield of Eternity,The Nine Avatara,WIN,19,0,10,10,0,10,14139,17172,7082,9185,11233,497,0,77591,0,16393,6241,1,0,5,0,70799,1829,41,0,0,0,0,0,0,0,10089,7218,6676,2,23712,19849,31,
5314,Desperado#1596,Sgt. Hammer,Battlefield of Eternity,The Nine Avatara,WIN,19,3,4,7,0,7,55619,42446,13508,22192,47841,3321,55,0,0,23339,6766,2,0,2,0,70799,0,0,0,0,0,0,0,0,0,0,7978,6735,1,109174,35609,31,
5315,Beowulf04#1544,Ragnaros,Hanamura Temple,The Nine Avatara,WIN,20,2,7,9,1,9,41888,133907,20830,100175,45883,3,53,0,9339,30731,18157,2,23,14,3,78300,0,0,0,0,0,1,0,1,0,0,17675,22763,2,42571,167495,40,
5315,Horvath70#1566,E.T.C.,Hanamura Temple,The Nine Avatara,WIN,20,1,11,13,2,11,16465,16207,5176,6926,9172,4,15,2452,31036,62984,6598,2,46,11,3,78300,0,0,0,0,0,1,0,1,0,384,47854,11290,2,30411,6028,30,
5315,Descolata#1582,Raynor,Hanamura Temple,The Nine Avatara,WIN,20,4,10,14,0,14,53056,53242,14830,25753,41386,8,22,0,4997,20901,8835,2,0,10,0,78300,0,0,0,0,0,0,0,0,0,0,10559,22759,2,122451,25536,35,
5315,lubbidium#1205,Li-Ming,Hanamura Temple,The Nine Avatara,WIN,20,5,8,13,0,13,52411,65552,18980,40218,22612,6,0,0,0,14380,10123,2,0,11,0,78300,0,0,0,0,0,1,0,0,0,0,4692,24258,2,9783,123802,37,
5315,Desperado#1596,Uther,Hanamura Temple,The Nine Avatara,WIN,20,0,11,11,4,5,14819,17139,4052,11132,4394,1,22,44357,4826,40455,6068,2,130,6,1,78300,0,0,0,0,1,2,0,2,0,8405,28229,10947,2,10592,22349,29,
5454,Beowulf04#1544,Ragnaros,Tomb of the Spider Queen,TRSG Knights,LOSS,22,2,5,7,1,5,41289,229641,20341,198463,34203,6736,28,0,20961,48238,23724,2,62,4,0,93168,0,0,0,0,0,1,0,1,0,0,23920,20626,3,37133,269499,43,
5454,Horvath70#1566,Diablo,Tomb of the Spider Queen,TRSG Knights,LOSS,22,1,5,6,2,3,25175,57887,7830,43700,5733,1796,29,0,7967,87923,9080,2,10,2,0,93168,0,0,0,0,0,1,0,2,1,0,70614,16228,2,37637,49841,37,
5454,Descolata#1582,Greymane,Tomb of the Spider Queen,TRSG Knights,LOSS,22,4,3,7,2,4,45743,95511,17121,65047,30105,4773,0,0,0,38340,9502,2,127,5,0,93168,0,0,0,0,0,0,0,1,0,0,20715,33115,3,91763,84045,42,
5454,lubbidium#1205,Ana,Tomb of the Spider Queen,TRSG Knights,LOSS,22,1,6,7,1,6,25180,14585,4060,4374,3114,387,177,59654,3469,15500,3907,2,65,2,0,93168,0,0,0,0,0,0,0,1,0,7869,9743,9746,2,10242,31810,27,
5454,Desperado#1596,Falstad,Tomb of the Spider Queen,TRSG Knights,LOSS,22,0,8,8,2,4,42822,74364,11137,42098,9275,1997,178,0,15377,46675,10237,2,105,3,0,93168,0,0,0,0,0,1,0,1,0,0,28405,23302,3,52763,77581,28,
5455,Beowulf04#1544,Qhira,Dragon Shire,TRSG Knights,WIN,19,8,7,15,0,15,21217,85037,20680,55314,11723,3,49,0,4624,27806,10600,3,0,2,0,69058,0,0,0,0,0,0,0,0,0,0,7126,12107,4,33021,84734,31,
5455,Horvath70#1566,Muradin,Dragon Shire,TRSG Knights,WIN,19,3,11,14,0,14,20557,66995,15934,48639,0,12,125,0,16725,34634,9197,3,0,0,0,69058,0,0,0,0,0,0,0,0,0,0,17557,13218,4,36078,51143,29,
5455,Descolata#1582,Raynor,Dragon Shire,TRSG Knights,WIN,19,3,6,9,2,5,18843,88787,31416,53911,11383,111,66,0,2756,13049,11389,1,82,2,0,69058,0,0,0,0,0,0,1,0,0,0,3416,9241,2,93355,43128,25,
5455,lubbidium#1205,Ana,Dragon Shire,TRSG Knights,WIN,19,1,12,13,0,13,11833,36220,20628,9493,7623,3,104,24350,2685,7965,5653,2,0,4,0,69058,0,0,0,0,2,0,0,0,0,927,4276,5045,4,23110,32566,35,
5455,Desperado#1596,Murky,Dragon Shire,TRSG Knights,WIN,19,0,10,10,2,5,19070,69181,9377,50207,13430,7,388,0,3930,39672,9989,2,80,2,0,69058,0,0,0,0,0,8,0,6,1,0,24064,14784,2,20354,80729,26,
