id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
8796,SilverAero#1168,Orphea,Volskaya Foundry,Bull Moose Party,WIN,24,14,9,23,2,13,152347,183052,67508,91101,60550,12764,241,1647,15992,43945,19029,4,121,12,0,126978,1647,0,0,0,0,0,1,0,0,0,31886,113897,5,71814,319113,59,
8796,TheHen#6294,Thrall,Volskaya Foundry,Bull Moose Party,WIN,24,3,20,23,2,18,61862,115217,36426,66059,19363,9640,236,1650,20063,48250,17225,3,86,8,0,126978,1650,0,47,47,0,1,1,0,0,393,33675,39024,5,63444,131530,46,
8796,MsSoandSo#1308,Brightwing,Volskaya Foundry,Bull Moose Party,WIN,24,1,22,23,3,8,6772,21905,207,16578,10844,3693,72,98693,0,33105,8741,2,147,9,0,126978,0,29,0,0,1,0,0,0,0,17991,24421,3487,5,16887,21795,37,
8796,Syl#12651,E.T.C.,Volskaya Foundry,Bull Moose Party,WIN,24,0,22,22,2,14,24725,48773,22791,20628,5460,3573,100,2383,12215,56691,11266,3,91,4,0,126978,2383,0,0,0,0,0,0,1,0,0,42546,21322,5,46725,35630,50,
8796,Hooley#11555,Leoric,Volskaya Foundry,Bull Moose Party,WIN,24,5,18,23,5,12,73831,203288,31542,152761,11298,7806,205,0,45143,128337,26974,4,225,3,0,126978,0,29,0,0,0,2,2,0,0,0,105254,56553,5,122520,155640,62,
8797,SilverAero#1168,Orphea,Garden of Terror,Bull Moose Party,WIN,20,5,10,15,1,11,70360,139911,46072,70471,22911,6019,130,0,7918,24353,13369,3,32,5,0,78802,0,0,0,0,0,0,1,1,0,0,11270,29357,2,53458,178484,32,
8797,TheHen#6294,Valeera,Garden of Terror,Bull Moose Party,WIN,20,6,9,15,1,11,23515,61374,20017,24941,3504,3908,0,0,0,20991,8546,4,32,3,0,78802,0,45,0,0,0,0,1,1,0,0,8595,10728,2,41577,46713,37,
8797,Kerkero66#1238,Malthael,Garden of Terror,Bull Moose Party,WIN,20,3,11,14,1,12,39694,82015,8394,55978,26274,10406,130,0,18472,44859,12967,3,23,2,0,78802,0,0,0,0,0,2,0,1,0,0,19955,23593,2,54660,90905,29,
8797,MsSoandSo#1308,Brightwing,Garden of Terror,Bull Moose Party,WIN,20,2,12,14,0,14,6044,34873,7555,21901,4858,1658,72,78442,0,17491,7525,3,0,5,0,78802,0,21,0,0,2,0,0,0,0,8400,6691,2132,2,17479,28167,33,
8797,Hooley#11555,Garrosh,Garden of Terror,Bull Moose Party,WIN,20,0,14,14,1,10,20500,61122,12903,29253,2335,7170,126,0,14161,57682,7843,3,29,1,0,78802,0,14,0,0,0,2,0,1,0,0,31456,15245,2,40487,43470,30,
8800,SilverAero#1168,Li-Ming,Volskaya Foundry,Flint Tropics,WIN,23,11,8,19,1,12,82352,129548,71319,44181,35157,0,27,375,375,15690,12973,5,65,6,0,109862,375,0,0,0,0,0,1,0,0,772,7930,40047,7,30738,214228,45,
8800,TheHen#6294,Valeera,Volskaya Foundry,Flint Tropics,WIN,23,4,17,21,0,21,37247,83645,36501,44839,21847,0,31,0,0,14755,14004,4,0,7,0,109862,0,47,0,0,0,0,0,0,0,0,5724,23801,8,62568,83067,49,
8800,Kerkero66#1238,Gazlowe,Volskaya Foundry,Flint Tropics,WIN,23,3,16,19,3,14,63643,129525,19669,94823,20571,1266,167,0,10957,48955,21273,4,89,5,0,109862,0,0,0,0,0,0,0,1,0,0,30912,37176,7,36726,171350,34,
8800,Syl#12651,Johanna,Volskaya Foundry,Flint Tropics,WIN,23,1,18,19,0,19,31416,111583,31263,74100,6307,0,120,0,13346,45846,15312,6,0,6,0,109862,0,0,0,0,0,0,0,0,0,0,28806,23433,7,34618,113105,43,
8800,ELIXER#1344,Anduin,Volskaya Foundry,Flint Tropics,WIN,23,2,16,18,1,11,15948,38792,9923,27418,8953,0,23,49775,1879,17954,9245,4,65,9,0,109862,0,0,11,11,0,0,0,0,0,5300,11211,9092,7,28356,34277,42,
8801,SilverAero#1168,Maiev,Alterac Pass,Flint Tropics,WIN,22,1,20,21,3,12,39685,73799,18055,50596,22687,0,69,0,0,43711,12660,3,177,1,0,91550,0,0,0,0,0,0,0,1,0,0,29842,24451,4,76661,56862,32,
8801,TheHen#6294,Brightwing,Alterac Pass,Flint Tropics,WIN,22,4,19,23,0,23,12150,32422,15946,10960,34514,0,111,82055,0,21544,7121,3,0,5,0,91550,0,38,0,0,0,1,0,0,0,8187,12548,6642,4,40841,37481,30,
8801,MsSoandSo#1308,Deathwing,Alterac Pass,Flint Tropics,WIN,22,8,14,22,1,16,50965,63390,14997,37933,40196,0,91,0,4036,19116,9179,2,62,5,0,91550,0,4,0,0,0,1,1,0,0,0,11187,31059,4,18770,133892,28,
8801,Syl#12651,Johanna,Alterac Pass,Flint Tropics,WIN,22,3,20,23,1,17,21116,61930,16423,38819,22007,0,62,0,9475,58041,10607,3,62,2,0,91550,0,0,0,0,0,1,0,0,1,0,31685,14448,4,31976,71210,31,
8801,Hooley#11555,Gazlowe,Alterac Pass,Flint Tropics,WIN,22,7,13,20,1,14,55338,141092,38358,98726,53062,0,28,0,18847,52513,16915,3,62,4,0,91550,0,0,0,0,0,0,0,1,0,0,26007,30910,4,54322,192501,34,
8828,SilverAero#1168,Mephisto,Infernal Shrines,Bull Moose Party,LOSS,20,2,5,7,4,5,82787,88444,4550,60261,20113,10834,245,0,15332,50988,8720,0,188,5,0,73388,0,0,37,37,0,1,1,3,0,0,41547,63782,0,24413,159683,35,
8828,TheHen#6294,Falstad,Infernal Shrines,Bull Moose Party,LOSS,20,3,3,6,1,6,31538,61496,881,46956,36920,3005,258,0,10063,29745,9481,0,62,6,0,73388,0,0,0,0,0,0,0,0,0,0,21078,19462,0,89483,52723,32,
8828,Kerkero66#1238,Leoric,Infernal Shrines,Bull Moose Party,LOSS,20,1,4,5,6,2,17837,87224,1147,73436,27816,2522,140,0,18913,58986,14802,1,271,5,0,73388,0,0,0,0,0,0,0,4,0,0,36539,10667,0,68729,66459,34,
8828,MsSoandSo#1308,Brightwing,Infernal Shrines,Bull Moose Party,LOSS,20,0,6,6,2,5,7740,34932,886,26602,15950,1823,78,69986,0,24762,6082,0,106,9,0,73388,0,28,0,0,2,0,0,0,0,13260,15705,3882,0,24208,35528,38,
8828,Hooley#11555,Garrosh,Infernal Shrines,Bull Moose Party,LOSS,20,1,5,6,5,4,16685,31020,2063,22000,9919,1444,96,0,8807,54677,6592,0,247,5,0,73388,0,18,0,0,0,1,0,1,0,0,43614,13063,0,32481,27212,30,
8829,SilverAero#1168,Mephisto,Volskaya Foundry,Bull Moose Party,WIN,23,5,6,11,1,9,89954,144877,23503,109190,19875,0,241,0,12210,46457,18682,5,26,6,0,110400,0,38,57,57,0,1,1,1,0,0,25941,66416,1,33588,219030,62,
8829,TheHen#6294,Tychus,Volskaya Foundry,Bull Moose Party,WIN,23,5,6,11,0,11,64608,110216,50952,52126,24131,0,31,2010,6063,23221,12657,5,0,10,0,110400,2010,0,0,0,0,0,0,0,0,0,7824,22890,1,60348,143811,49,
8829,Syl#12651,Johanna,Volskaya Foundry,Bull Moose Party,WIN,23,0,11,11,1,7,25038,87717,27005,51499,12900,0,82,0,9092,57289,11064,5,36,8,0,110400,0,0,0,0,0,1,0,0,1,0,39333,19776,1,24636,100352,53,
8829,Hooley#11555,Gazlowe,Volskaya Foundry,Bull Moose Party,WIN,23,1,10,11,3,6,60307,186248,61713,118035,32764,0,32,2011,17632,64975,19091,4,162,5,0,110400,2011,0,0,0,0,3,0,1,0,0,39703,35566,1,57396,222588,55,
8829,ELIXER#1344,Uther,Volskaya Foundry,Bull Moose Party,WIN,23,0,11,11,0,11,13489,20653,2513,17015,9405,0,12,46162,3923,28814,7054,3,0,8,0,110400,0,0,0,0,2,0,0,0,0,3394,16032,9234,1,17197,26609,43,
8830,SilverAero#1168,Mephisto,Alterac Pass,Bull Moose Party,WIN,20,6,10,16,0,16,43884,91949,34081,47273,34694,5064,143,0,8668,35070,10430,3,0,5,0,77152,0,0,27,27,0,1,0,0,0,0,20327,30933,5,31341,136241,30,
8830,TheHen#6294,Thrall,Alterac Pass,Bull Moose Party,WIN,20,6,10,16,0,16,18371,55230,19356,28507,48478,1400,65,0,17210,29954,8517,2,0,6,0,77152,0,0,17,17,0,1,0,0,0,0,14580,10891,4,74153,46985,33,
8830,Kerkero66#1238,Gazlowe,Alterac Pass,Bull Moose Party,WIN,20,2,11,13,2,7,32063,77714,11037,59321,31147,1274,99,0,8573,37729,10939,2,86,5,0,77152,0,0,0,0,0,0,0,0,0,0,23674,24361,4,29996,109568,31,
8830,MsSoandSo#1308,Brightwing,Alterac Pass,Bull Moose Party,WIN,20,0,17,17,0,17,10049,29527,6302,18779,17270,1921,74,77959,0,19514,7698,3,0,4,0,77152,0,25,0,0,3,0,0,0,0,10666,3958,3741,5,25425,30970,28,
8830,Hooley#11555,Garrosh,Alterac Pass,Bull Moose Party,WIN,20,3,14,17,2,13,18525,43672,8358,33498,29861,584,109,0,12163,52498,10615,1,48,3,0,77152,0,18,0,0,0,1,0,0,1,0,31776,12709,5,53272,38038,30,
8835,SilverAero#1168,Orphea,Volskaya Foundry,Liquid metal,WIN,21,4,10,14,1,14,63035,140547,69567,67133,24594,4,154,0,7847,30657,11512,3,65,8,0,83179,0,0,0,0,0,0,0,1,0,3429,19080,46804,4,59384,165048,45,
8835,TheHen#6294,Valeera,Volskaya Foundry,Liquid metal,WIN,21,4,10,14,0,14,22902,91204,57446,33194,12317,1,36,187,186,12031,9750,3,0,6,0,83179,187,30,0,0,0,0,0,0,0,0,4945,13797,4,57709,72243,42,
8835,MsSoandSo#1308,Li Li,Volskaya Foundry,Liquid metal,WIN,21,1,13,14,0,14,9597,13985,5164,8512,4212,1,31,63477,0,18156,5986,3,0,7,0,83179,0,0,0,0,0,0,0,0,0,10536,10943,4377,4,14429,12918,37,
8835,Syl#12651,Johanna,Volskaya Foundry,Liquid metal,WIN,21,1,12,13,1,13,21294,47218,11686,34177,3696,2,82,0,16797,62450,6984,2,65,5,0,83179,0,0,0,0,0,1,0,0,0,15,43629,19463,4,18229,53218,38,
8835,Hooley#11555,Leoric,Volskaya Foundry,Liquid metal,WIN,21,4,9,13,0,13,35605,157767,32259,123782,24843,0,47,0,26933,60684,21341,1,0,4,0,83179,0,0,0,0,0,0,0,0,0,1232,34850,23838,4,80594,135154,45,
8836,SilverAero#1168,Orphea,Alterac Pass,Liquid metal,WIN,21,4,9,13,3,8,76569,100968,22087,69595,41796,0,144,0,13245,42682,12817,4,115,5,0,83494,0,0,0,0,0,0,1,1,0,0,30972,46305,2,54837,148200,30,
8836,TheHen#6294,Valeera,Alterac Pass,Liquid metal,WIN,21,5,7,12,1,12,26306,41443,6266,31941,26782,0,3,0,0,30545,8753,4,16,4,0,83494,0,45,0,0,0,1,0,0,0,0,17519,18154,2,44031,49401,36,
8836,MsSoandSo#1308,Li Li,Alterac Pass,Liquid metal,WIN,21,2,12,14,1,11,12699,10822,4792,4546,16359,0,30,86637,0,14939,5256,4,29,4,0,83494,0,0,0,0,1,0,0,0,0,16063,9449,6487,2,22301,15863,26,
8836,Syl#12651,Johanna,Alterac Pass,Liquid metal,WIN,21,0,13,13,1,11,22031,46518,7156,32558,24333,0,84,0,14506,58392,6479,4,62,3,0,83494,0,0,0,0,0,1,0,0,1,0,47279,16969,2,30433,55567,28,
8836,Hooley#11555,Leoric,Alterac Pass,Liquid metal,WIN,21,3,11,14,4,7,49675,136143,19394,115789,43789,0,132,0,37936,94193,17921,3,143,3,0,83494,0,0,0,0,0,1,0,1,0,0,64133,33527,2,88358,137249,41,
8897,SilverAero#1168,Li-Ming,Towers of Doom,Liquid metal,WIN,16,9,4,13,0,12,64076,44593,8057,18218,19361,12832,4,0,0,10623,5078,0,0,4,0,54510,0,0,0,0,0,0,0,0,0,0,4579,24157,4,12974,111997,27,
8897,TheHen#6294,Varian,Towers of Doom,Liquid metal,WIN,16,3,7,10,1,8,21459,35592,193,21457,9897,6211,83,0,13146,51749,5570,0,44,4,0,54510,0,15,0,0,0,0,0,0,0,0,40220,19294,3,22704,44058,26,
8897,MsSoandSo#1308,Brightwing,Towers of Doom,Liquid metal,WIN,16,0,8,8,2,6,6251,18490,837,14590,8149,1909,86,63499,0,20847,3448,0,65,4,0,54510,0,16,0,0,0,0,0,1,0,8811,11476,3571,2,14145,18745,27,
8897,Hooley#11555,Leoric,Towers of Doom,Liquid metal,WIN,16,2,10,12,0,12,25557,96643,6478,86446,7008,2444,47,0,19904,36249,15939,0,0,1,0,54510,0,0,0,0,0,1,0,0,0,0,29560,22317,4,53500,74415,32,
8897,ELIXER#1344,Mei,Towers of Doom,Liquid metal,WIN,16,0,14,14,0,13,18267,39531,1555,27343,7010,8195,414,0,13390,43444,6900,0,0,1,0,54510,0,0,0,0,0,1,0,0,0,0,36003,14902,4,13469,50525,23,
8898,SilverAero#1168,Mephisto,Garden of Terror,Liquid metal,WIN,20,4,14,19,2,11,112966,66790,26179,38925,14472,6,387,0,20371,47106,8248,4,55,7,0,73302,0,5,67,67,0,0,2,0,0,0,38203,89572,3,23468,151890,40,
8898,TheHen#6294,Valeera,Garden of Terror,Liquid metal,WIN,20,11,9,20,0,18,25241,38794,8644,18385,6598,0,6,0,0,24462,7675,3,0,4,0,73302,0,20,0,0,0,0,0,0,0,0,14012,19580,3,31917,37518,32,
