id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
9780,Hydrahawk#1132,Varian,Infernal Shrines,TheBestFriends,WIN,24,2,9,11,1,8,33572,62797,16479,45503,34779,0,95,0,54315,123354,12737,5,65,9,0,122139,0,22,0,0,0,0,1,1,0,0,97928,29497,1,55823,77015,58,
9780,Shamuscon#1223,Sonya,Infernal Shrines,TheBestFriends,WIN,24,3,10,13,2,7,45735,141406,38178,102379,59523,0,21,0,32435,74803,22645,5,86,9,0,122139,0,0,0,0,0,0,1,2,0,0,57424,39717,1,67037,182512,55,
9780,Gekko#1171,Greymane,Infernal Shrines,TheBestFriends,WIN,24,8,5,13,1,8,46757,149072,49922,89843,116550,0,0,0,0,44507,17819,5,65,17,0,122139,0,0,0,0,0,0,1,1,0,0,23244,30583,1,223469,93201,63,
9780,BaconAndEggs#11602,Kael'thas,Infernal Shrines,TheBestFriends,WIN,24,1,11,12,0,12,65155,75625,47276,25460,84673,0,32,0,3861,20723,11336,5,0,15,0,122139,0,0,0,0,0,1,0,0,0,0,7838,17613,1,34444,190952,52,
9780,Kazerus#1824,Anduin,Infernal Shrines,TheBestFriends,WIN,24,0,11,11,1,7,23377,36613,12612,22528,44932,0,43,78155,21776,32535,9392,5,65,14,0,122139,11656,0,36,36,1,0,0,1,0,13980,20602,16174,1,45598,60341,54,
9781,Hydrahawk#1132,Garrosh,Dragon Shire,TheBestFriends,WIN,20,2,9,11,2,7,16341,20325,5451,14874,13678,0,132,0,5138,37781,6506,3,49,9,0,79515,0,14,0,0,0,0,1,1,0,0,22828,12125,3,30554,18670,37,
9781,Shamuscon#1223,Leoric,Dragon Shire,TheBestFriends,WIN,20,1,5,6,0,6,21799,179559,27981,129355,448,0,45,0,14852,40477,18019,1,0,0,0,79515,0,6,0,0,0,2,0,0,0,0,10248,10656,1,94253,107553,46,
9781,Gekko#1171,Falstad,Dragon Shire,TheBestFriends,WIN,20,4,7,11,0,11,35456,120088,34211,82085,26233,0,210,0,5969,14731,11715,3,0,1,0,79515,0,0,0,0,0,0,0,0,0,0,4367,14751,3,68811,111002,41,
9781,BaconAndEggs#11602,Kael'thas,Dragon Shire,TheBestFriends,WIN,20,4,6,10,0,10,30816,89828,35652,50192,37700,0,31,0,1028,6758,8858,3,0,10,0,79515,0,0,0,0,0,0,0,0,0,0,2277,10155,3,26135,130788,37,
9781,Kazerus#1824,Uther,Dragon Shire,TheBestFriends,WIN,20,0,10,10,0,10,11470,23868,5012,18856,18111,0,30,24754,1374,16200,7530,3,0,10,0,79515,0,0,0,0,1,1,0,0,0,2484,8186,7069,3,19601,33292,35,
9902,Hydrahawk#1132,Sylvanas,Cursed Hollow,Magnitude,LOSS,22,4,3,7,2,4,59145,111762,17553,63617,40795,0,17,0,0,41252,13242,1,115,5,3,96027,0,17,0,0,0,1,1,0,0,0,19493,19629,0,82401,122033,45,
9902,Shamuscon#1223,Dehaka,Cursed Hollow,Magnitude,LOSS,22,3,3,6,1,6,36099,133919,15640,96060,33773,0,99,0,15850,49770,20505,1,65,4,1,96027,0,6,0,0,0,0,0,1,0,0,22948,14242,0,70962,130499,47,
9902,BaconAndEggs#11602,Diablo,Cursed Hollow,Magnitude,LOSS,22,0,5,5,3,4,45568,47033,7142,35254,8205,0,272,0,29832,95757,11335,0,75,2,11,96027,0,0,0,0,0,0,0,3,0,0,74291,29141,0,38346,51236,34,
9902,Kazerus#1824,Brightwing,Cursed Hollow,Magnitude,LOSS,22,0,6,6,3,4,8275,33582,8603,14668,11020,0,0,78470,0,27704,4505,1,180,5,1,96027,679,37,0,0,0,0,0,1,0,7801,12310,3091,0,25522,26001,38,
9902,Desperado#1851,Tychus,Cursed Hollow,Magnitude,LOSS,22,1,4,5,5,3,49846,76857,11380,50277,25106,0,20,0,1356,42274,7650,1,212,4,3,96027,0,0,0,0,0,0,0,3,0,0,24240,20923,0,55080,90614,32,
9903,Hydrahawk#1132,Sonya,Tomb of the Spider Queen,Magnitude,LOSS,24,2,9,11,2,8,44580,189962,7761,131410,21786,26664,27,0,56080,111321,19615,3,127,3,0,118545,0,0,0,0,0,3,0,1,0,0,60595,29739,2,47586,217391,58,
9903,Shamuscon#1223,Diablo,Tomb of the Spider Queen,Magnitude,LOSS,24,4,6,10,4,3,39340,72631,12096,34722,6026,17187,41,0,21223,127157,11356,2,111,2,0,118545,0,0,0,0,0,0,1,2,0,0,71222,29852,2,52409,71488,55,
9903,BaconAndEggs#11602,Tassadar,Tomb of the Spider Queen,Magnitude,LOSS,24,5,7,12,0,12,69915,238125,27762,139658,13560,46628,821,0,4702,27034,19220,2,0,2,0,118545,0,0,0,0,0,0,0,0,0,0,2861,15782,2,36090,298322,60,
9903,Kazerus#1824,Uther,Tomb of the Spider Queen,Magnitude,LOSS,24,1,12,13,2,10,16058,59139,3140,35744,2501,12508,61,80678,8122,54573,6736,2,83,1,0,118545,0,0,0,0,0,1,0,2,0,8000,27353,8875,2,18458,64672,54,
9903,Desperado#1851,Tychus,Tomb of the Spider Queen,Magnitude,LOSS,24,1,11,12,1,9,59450,163732,19867,80672,8466,46230,32,0,3023,43941,13013,2,62,1,0,118545,0,0,0,0,0,0,0,0,0,0,11383,17690,2,75232,162616,57,
10078,Hydrahawk#1132,Junkrat,Sky Temple,WHATS WAVE CLEAR,WIN,18,5,10,15,0,15,47936,64707,11314,43408,34927,9488,6,0,0,11055,8363,1,0,4,0,61980,0,0,6,6,0,0,0,0,0,0,6901,28170,4,56432,87744,23,
10078,Shamuscon#1223,Dehaka,Sky Temple,WHATS WAVE CLEAR,WIN,18,4,10,14,1,9,21645,83946,5616,73202,10836,5054,74,0,9647,31897,14270,0,44,0,4,61980,0,9,0,0,0,0,0,0,0,0,14650,12785,4,32078,83311,30,
10078,Gekko#1171,Greymane,Sky Temple,WHATS WAVE CLEAR,WIN,18,5,10,15,1,10,38158,61916,23025,34270,36647,1419,0,0,0,19446,7155,1,44,5,1,61980,0,0,0,0,0,0,0,0,0,0,10357,21336,4,93788,42379,23,
10078,BaconAndEggs#11602,Deckard,Sky Temple,WHATS WAVE CLEAR,WIN,18,0,14,14,0,14,10389,15815,6018,3130,9025,2761,149,48092,0,13072,4016,1,0,5,6,61980,0,0,33,33,0,1,0,0,0,8296,8189,6677,4,13243,21916,21,
10078,Kazerus#1824,Johanna,Sky Temple,WHATS WAVE CLEAR,WIN,18,1,14,15,1,10,14156,36452,6344,23794,11865,2095,40,0,9429,34950,6762,1,44,5,2,61980,0,0,0,0,0,1,0,0,0,0,26642,11177,4,22497,39082,28,
10079,Hydrahawk#1132,Chromie,Alterac Pass,WHATS WAVE CLEAR,WIN,20,4,11,15,1,11,51746,69879,16542,42149,21311,9698,35,0,0,17053,7690,4,22,2,0,72602,0,0,0,0,0,0,1,1,0,0,7944,17459,3,41349,99551,30,
