id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
7047,NoisyboyNYC#1842,Kel'Thuzad,Cursed Hollow,Team Krap Yourself,WIN,19,2,12,14,0,14,31823,49800,12216,27955,51576,5015,115,0,3006,6034,7969,2,0,7,8,66315,0,0,17,17,0,0,0,0,0,0,3069,25476,5,17689,114598,21,
7047,meklarian#1355,Imperius,Cursed Hollow,Team Krap Yourself,WIN,19,2,12,14,2,6,31320,37706,6237,24308,12017,3839,59,0,16944,42084,8460,2,86,4,4,66315,0,0,0,0,0,0,0,1,0,0,26558,20488,5,38529,42482,24,
7047,Acidplague#1212,Lunara,Cursed Hollow,Team Krap Yourself,WIN,19,6,6,12,2,8,35121,71123,24777,39928,14645,2386,158,0,0,14346,9808,2,46,3,1,66315,0,0,0,0,0,2,1,0,0,0,4872,13859,4,53027,67473,28,
7047,KatsuyaXREBD#1938,Auriel,Cursed Hollow,Team Krap Yourself,WIN,19,3,11,14,2,6,21910,39474,7239,25378,9212,3747,15,32244,0,18332,7597,2,76,2,1,66315,0,0,0,0,0,0,0,1,0,8031,10963,15431,5,27279,43022,25,
7047,Shadovera#1639,Johanna,Cursed Hollow,Team Krap Yourself,WIN,19,1,10,11,3,8,18111,17339,5311,8211,18934,1114,59,0,3383,28715,6388,2,102,7,2,66315,0,0,0,0,0,0,0,1,0,0,23618,16555,3,22848,31491,20,
7048,NoisyboyNYC#1842,Orphea,Garden of Terror,Team Krap Yourself,LOSS,22,9,7,16,0,16,94929,57731,5384,37349,62793,782,157,0,13226,28653,9704,2,0,6,0,92769,0,0,0,0,0,0,0,0,0,0,21664,62474,4,64926,146754,28,
7048,meklarian#1355,Diablo,Garden of Terror,Team Krap Yourself,LOSS,22,1,14,15,6,8,37135,50514,10226,32906,21380,294,224,0,36563,121162,13119,3,166,3,0,92769,0,0,0,0,0,2,1,6,0,0,99691,25267,3,49873,55040,35,
7048,Acidplague#1212,D.Va,Garden of Terror,Team Krap Yourself,LOSS,22,2,10,12,3,6,34079,154525,33271,85692,19918,2361,27,0,3517,71912,16622,2,97,6,0,92769,0,0,0,0,0,5,0,2,1,0,45706,22926,3,126584,82122,43,
7048,KatsuyaXREBD#1938,Sylvanas,Garden of Terror,Team Krap Yourself,LOSS,22,1,9,10,6,3,33157,75947,19339,49187,23556,1825,114,0,0,36121,11775,2,245,3,0,92769,0,22,0,0,0,1,0,2,0,0,21764,18307,2,62287,71027,31,
7048,Shadovera#1639,Lúcio,Garden of Terror,Team Krap Yourself,LOSS,22,3,7,10,4,5,14806,15084,4107,5779,14491,172,1110,82969,0,30885,6378,2,170,7,0,92769,0,0,0,0,5,0,0,2,0,12574,23409,9057,3,39166,4040,33,
7049,NoisyboyNYC#1842,Orphea,Battlefield of Eternity,Team Krap Yourself,WIN,20,11,16,27,0,27,79238,50551,10155,31071,22298,9325,161,0,8484,26128,8836,3,0,3,0,75318,0,0,0,0,0,1,0,0,0,0,19182,50318,7,43950,102293,26,
7049,meklarian#1355,Mei,Battlefield of Eternity,Team Krap Yourself,WIN,20,1,25,26,1,15,34707,41215,8529,26373,7485,6313,551,0,15447,59699,8316,3,32,4,0,75318,0,0,0,0,0,1,0,0,0,0,44204,24138,7,20935,58855,25,
7049,Acidplague#1212,D.Va,Battlefield of Eternity,Team Krap Yourself,WIN,20,2,18,20,1,11,35928,88928,13598,59984,39371,5800,32,0,1505,42683,12889,2,32,4,0,75318,0,0,0,0,0,1,0,0,0,0,19829,21281,6,98451,62807,20,
7049,KatsuyaXREBD#1938,Sylvanas,Battlefield of Eternity,Team Krap Yourself,WIN,20,8,17,25,1,18,38982,40002,19685,16356,63514,3961,0,0,0,19473,7097,3,50,7,0,75318,0,10,0,0,0,0,0,0,0,0,12332,24015,7,77842,60129,25,
7049,Shadovera#1639,Brightwing,Battlefield of Eternity,Team Krap Yourself,WIN,20,5,19,24,1,17,12727,9927,4077,3283,5056,2567,0,77335,0,22941,5700,3,50,4,0,75318,0,41,0,0,1,0,1,0,0,14629,13104,6011,6,15450,10449,21,
7115,NoisyboyNYC#1842,Kael'thas,Cursed Hollow,Waiting On Cherry,LOSS,16,1,1,2,2,2,38907,76032,0,48386,25107,2402,9,0,0,13731,7259,0,48,1,4,50090,0,0,0,0,0,0,0,2,0,0,9684,18036,1,20695,115110,19,
