id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
9790,xxwarisfunxx#1328,Hogger,Tomb of the Spider Queen,Lurk Patrol,WIN,24,2,16,18,1,16,52776,138734,29987,91386,30052,6590,159,0,20395,72679,18914,3,40,5,0,124339,0,0,0,0,0,2,0,0,0,0,27953,28916,3,39177,186772,54,
9790,Alebogg#1630,Auriel,Tomb of the Spider Queen,Lurk Patrol,WIN,24,1,16,17,2,15,23514,39812,7196,25218,11243,889,31,72093,0,30071,9544,4,58,6,0,124339,0,0,0,0,4,1,1,0,0,6769,10782,9031,3,28641,45903,48,
9790,Charlemagne#11519,Valla,Tomb of the Spider Queen,Lurk Patrol,WIN,24,10,7,17,0,17,99992,132263,32040,79171,29333,2797,0,0,21847,52057,17096,3,0,6,0,124339,0,0,0,0,0,2,0,0,0,0,22053,63472,3,176342,90914,55,
9790,knives#11297,Diablo,Tomb of the Spider Queen,Lurk Patrol,WIN,24,2,10,12,5,4,30327,52704,16675,33166,4857,577,48,0,39238,140748,11322,4,120,4,0,124339,0,0,0,0,0,0,0,3,0,0,83753,18939,2,27804,60744,55,
9790,Sabing#1990,Tassadar,Tomb of the Spider Queen,Lurk Patrol,WIN,24,3,14,17,0,17,50439,211859,32961,150800,23289,4625,204,0,10911,38792,19167,4,0,4,0,124339,0,0,0,0,0,0,0,0,0,0,10174,17281,3,61743,229612,54,
9791,xxwarisfunxx#1328,Genji,Infernal Shrines,Lurk Patrol,WIN,21,5,8,13,0,13,50222,73323,27503,37685,14222,0,7,0,3965,40475,12176,3,0,4,0,88989,0,0,0,0,0,1,0,0,0,0,22224,37418,2,67824,74276,34,
9791,Alebogg#1630,Anduin,Infernal Shrines,Lurk Patrol,WIN,21,2,10,12,2,9,20795,14014,6887,6676,18109,0,31,49352,8609,24535,5759,3,84,5,0,88989,3454,0,24,24,2,0,0,1,0,7092,17312,13905,2,30938,22843,32,
9791,Charlemagne#11519,Junkrat,Infernal Shrines,Lurk Patrol,WIN,21,3,8,11,1,9,73933,122259,35184,75497,75821,0,20,0,0,20549,13003,3,44,5,0,88989,0,0,20,20,0,1,0,0,0,0,9177,17348,2,79431,192898,32,
9791,knives#11297,Johanna,Infernal Shrines,Lurk Patrol,WIN,21,1,11,12,2,9,26358,58891,8719,42607,15659,0,100,3714,29787,77700,10833,3,72,1,0,88989,2297,0,0,0,0,0,0,2,0,0,57781,23999,2,29632,73954,34,
9791,Sabing#1990,Artanis,Infernal Shrines,Lurk Patrol,WIN,21,2,10,12,0,12,40797,98973,21477,65236,22766,0,0,0,13158,44450,15280,2,0,1,0,88989,0,0,0,0,0,0,0,0,0,0,23933,22316,2,63755,101545,38,
10272,xxwarisfunxx#1328,Sylvanas,Infernal Shrines,Phoenix Rising Topaz,LOSS,24,5,13,18,2,9,73242,67136,14824,45253,61836,4497,135,0,0,28859,13587,3,97,12,0,117613,0,15,0,0,0,0,0,2,0,0,18222,38154,6,87603,114581,41,
10272,Alebogg#1630,Anduin,Infernal Shrines,Phoenix Rising Topaz,LOSS,24,2,13,15,3,7,26553,26343,5984,16983,41178,1343,12,93090,16477,49607,7479,3,159,12,0,117613,6671,0,12,12,2,0,0,2,0,18645,36878,13785,5,44567,49991,39,
10272,Charlemagne#11519,Dehaka,Infernal Shrines,Phoenix Rising Topaz,LOSS,24,4,11,15,5,9,67507,110532,10774,85823,54463,1491,114,0,40708,110985,20722,3,277,7,0,117613,0,15,0,0,0,2,1,5,1,0,87566,53524,5,65317,164416,50,
