id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
5310,Smoke#11671,Sylvanas,Tomb of the Spider Queen,Clouded Minds,LOSS,21,2,9,11,2,7,42443,103636,6274,75743,17978,14846,0,0,3167,33237,12741,0,79,1,0,86884,0,30,0,0,0,1,0,1,0,0,15603,22262,2,39270,134797,36,
5310,FlyingSpuds#1105,Chromie,Tomb of the Spider Queen,Clouded Minds,LOSS,21,5,6,11,2,6,84638,166997,11374,103871,20174,21030,41,0,0,20835,11522,0,67,0,0,86884,0,0,0,0,0,0,1,1,0,0,6458,17632,2,40991,236394,33,
5310,Silverspy#1287,Malthael,Tomb of the Spider Queen,Clouded Minds,LOSS,21,2,6,8,3,3,26552,160681,1008,132072,20368,14321,75,0,17927,49635,21180,0,138,3,0,86884,0,0,0,0,0,1,0,2,0,0,21590,14785,2,85557,136252,57,
5310,Matloc#11342,Muradin,Tomb of the Spider Queen,Clouded Minds,LOSS,21,0,9,9,4,2,32455,33304,1064,19435,4769,6146,186,0,34131,100630,6522,0,132,2,0,86884,0,0,0,0,0,3,0,1,0,0,77913,24304,1,19758,52582,40,
5310,Forror#1126,Brightwing,Tomb of the Spider Queen,Clouded Minds,LOSS,21,2,6,8,3,4,9655,26151,1849,17741,4114,3689,0,67750,0,36119,5644,0,124,3,0,86884,837,46,0,0,3,3,0,3,0,6555,14604,3532,1,18196,22255,36,
5388,Smoke#11671,Cassia,Towers of Doom,Clouded Minds,LOSS,19,1,6,7,4,3,30694,33748,10375,17331,13035,0,31,0,5812,23500,5621,1,145,3,0,68008,0,0,0,0,0,0,0,1,0,0,16061,18262,1,29365,45354,17,
5388,FlyingSpuds#1105,Mephisto,Towers of Doom,Clouded Minds,LOSS,19,3,5,8,2,7,59017,70266,10335,48504,16096,0,403,0,0,27716,8345,1,67,3,0,68008,0,0,45,45,0,0,1,0,0,0,22469,44908,1,23351,117250,19,
5388,Silverspy#1287,Malthael,Towers of Doom,Clouded Minds,LOSS,19,3,4,7,2,4,32146,125097,765,121967,6081,0,105,0,18814,37540,21550,0,82,0,0,68008,0,0,0,0,0,0,0,0,0,0,14953,9805,1,60916,98225,40,
5388,Matloc#11342,Johanna,Towers of Doom,Clouded Minds,LOSS,19,1,7,8,5,4,23787,25675,4871,18154,1700,0,51,0,18828,69512,6322,1,182,1,0,68008,0,0,0,0,0,0,0,3,0,0,58612,17721,1,12602,37066,15,
5388,Forror#1126,Deckard,Towers of Doom,Clouded Minds,LOSS,19,0,9,9,2,4,9213,27660,3541,22025,2494,0,118,41813,0,13691,4114,1,79,1,0,68008,0,0,24,24,0,0,0,1,0,5070,10690,3387,1,1915,37063,14,
5460,Smoke#11671,Imperius,Infernal Shrines,Cool Cats and Kittens,LOSS,23,5,10,15,3,10,36302,33130,6563,23322,32287,0,147,0,18009,49726,9911,2,122,6,0,106797,0,0,0,0,0,0,2,1,0,0,36616,21772,4,37330,63775,41,
5460,FlyingSpuds#1105,Gall,Infernal Shrines,Cool Cats and Kittens,LOSS,23,5,12,17,1,15,97180,184603,47331,116836,90296,0,47,0,0,0,14846,3,21,11,0,106797,0,0,0,0,0,5,1,0,2,0,0,56976,6,0,371007,0,
5460,Silverspy#1287,Deckard,Infernal Shrines,Cool Cats and Kittens,LOSS,23,1,12,13,3,7,20045,15380,5395,7784,13088,0,145,62903,0,25121,7092,3,145,10,0,106797,0,0,36,36,2,0,0,2,0,13381,15669,12482,3,13180,35887,44,
5460,Matloc#11342,Johanna,Infernal Shrines,Cool Cats and Kittens,LOSS,23,0,12,12,2,11,22514,143095,2100,125915,29511,0,85,0,11547,60293,21809,1,130,1,0,106797,0,0,0,0,0,1,0,2,0,0,43431,18491,4,36350,160089,46,
5460,AngrySmurf#1725,Cho,Infernal Shrines,Cool Cats and Kittens,LOSS,23,7,10,17,1,15,32434,58490,21951,29331,47332,0,25,0,21836,83958,14300,3,21,11,0,106797,0,0,0,0,0,5,1,1,2,0,55550,22296,6,69905,69030,49,
5461,Smoke#11671,Xul,Volskaya Foundry,Cool Cats and Kittens,LOSS,26,0,10,10,5,5,36871,235477,4845,206956,12930,0,57,0,13451,74014,31081,1,247,5,0,157295,0,0,57,57,0,0,0,2,0,0,28970,13216,2,151566,125369,52,
5461,FlyingSpuds#1105,Li-Ming,Volskaya Foundry,Cool Cats and Kittens,LOSS,26,4,7,11,2,7,135729,179008,20458,152019,37147,0,14,0,12914,42554,23587,4,66,10,0,157295,0,0,0,0,0,1,0,0,0,0,13376,41485,2,36269,289463,65,
5461,Silverspy#1287,Deckard,Volskaya Foundry,Cool Cats and Kittens,LOSS,26,0,12,12,2,11,37824,73060,47334,21120,12751,400,197,91692,833,33817,10424,4,87,14,0,157295,833,0,52,52,0,0,0,1,0,13619,17148,13517,2,45454,80681,64,
5461,Matloc#11342,Johanna,Volskaya Foundry,Cool Cats and Kittens,LOSS,26,5,6,11,4,5,48913,93456,5010,75859,19152,163,125,0,28111,127469,15122,2,218,10,0,157295,0,0,0,0,0,0,1,2,0,0,93122,33558,2,35487,118658,56,
5461,AngrySmurf#1725,Cassia,Volskaya Foundry,Cool Cats and Kittens,LOSS,26,3,9,12,1,11,110193,144279,19925,107156,37223,0,85,0,29313,62737,17845,2,24,11,0,157295,0,0,0,0,0,1,0,1,0,0,33300,52684,2,67929,207688,59,
5507,Smoke#11671,Sylvanas,Cursed Hollow,YavapaiCMYCCaST4:ANewPool,WIN,22,2,11,13,1,13,57668,69208,20619,34937,57505,1977,0,0,2728,33692,12948,3,56,5,3,101525,0,30,0,0,0,2,0,0,0,0,19434,28281,5,84724,97849,30,
5507,FlyingSpuds#1105,Li-Ming,Cursed Hollow,YavapaiCMYCCaST4:ANewPool,WIN,22,9,7,16,1,15,94311,89791,23817,50907,26542,3512,0,0,4894,33885,11862,3,56,1,5,101525,0,0,0,0,0,1,1,0,0,0,18561,58557,5,30104,178439,33,
5507,Silverspy#1287,Anduin,Cursed Hollow,YavapaiCMYCCaST4:ANewPool,WIN,22,1,14,16,2,22,25137,30073,11272,15520,14140,878,34,86162,2818,28785,8391,2,51,4,1,101525,0,0,27,27,2,0,1,2,0,13364,17119,13994,5,33150,35159,35,
5507,Matloc#11342,Muradin,Cursed Hollow,YavapaiCMYCCaST4:ANewPool,WIN,22,2,12,14,2,11,38933,35227,15225,16387,7579,2146,203,0,34896,100570,10845,2,121,3,1,101525,0,0,0,0,0,1,0,1,0,0,81442,33067,5,34656,45069,33,
