id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
9707,Silverspy#1287,Deckard,Tomb of the Spider Queen,Roll1Esports,LOSS,24,4,9,13,3,11,22062,14433,2701,10513,4166,276,256,58891,11900,55319,8481,1,195,2,0,115677,4116,33,55,55,0,2,0,0,0,3027,28905,14790,3,8126,33420,33,
9707,Matloc#11342,Johanna,Tomb of the Spider Queen,Roll1Esports,LOSS,24,2,13,15,3,6,42333,67733,2011,60641,2926,129,133,0,45695,117447,13974,1,159,1,0,115677,0,0,0,0,0,1,0,2,0,0,83921,34532,4,23069,90754,38,
9707,Tin#11695,Fenix,Tomb of the Spider Queen,Roll1Esports,LOSS,24,6,6,12,4,7,87567,141621,5463,117498,18622,5493,491,0,5273,56834,17831,1,174,2,0,115677,0,0,0,0,0,2,2,2,0,0,35287,45253,2,151748,109160,34,
9707,Smoke#11671,Gazlowe,Tomb of the Spider Queen,Roll1Esports,LOSS,24,5,11,16,6,4,53758,178066,4583,146943,22620,8444,35,0,24440,79015,26348,1,274,2,0,115677,0,0,0,0,0,1,1,3,0,0,39614,28559,4,37749,226263,31,
9707,Icarii#1605,Mephisto,Tomb of the Spider Queen,Roll1Esports,LOSS,24,1,10,11,6,6,61994,113925,12356,94944,4377,3604,339,0,4022,61883,13152,1,321,1,0,115677,0,33,65,65,0,0,1,3,0,0,35489,41466,3,14204,167271,35,
9708,Silverspy#1287,Anduin,Infernal Shrines,Roll1Esports,WIN,26,2,25,27,2,15,31585,55169,9764,32238,23621,10043,60,124618,19468,68097,13664,3,91,6,0,157581,13309,0,33,33,3,0,0,0,0,16071,31539,18437,5,44080,71945,63,
9708,Matloc#11342,Johanna,Infernal Shrines,Roll1Esports,WIN,26,2,26,28,3,10,42266,78331,6982,61118,14863,6753,132,0,61708,176978,19194,3,147,4,0,157581,0,0,0,0,0,2,0,0,0,0,115112,29980,5,38068,101787,68,
9708,Tin#11695,Fenix,Infernal Shrines,Roll1Esports,WIN,26,9,14,23,5,9,78234,135370,15259,88852,73514,14731,353,0,0,66502,17643,3,301,5,0,157581,0,0,0,0,0,0,3,1,0,0,36034,45725,5,167184,113968,51,
9708,Smoke#11671,Gazlowe,Infernal Shrines,Roll1Esports,WIN,26,6,14,20,2,11,79402,226545,7636,171415,54627,22279,42,0,37951,112456,33442,1,130,6,0,157581,0,0,0,0,0,0,0,1,0,0,49276,54743,4,47178,326052,60,
9708,Icarii#1605,Cassia,Infernal Shrines,Roll1Esports,WIN,26,9,16,25,2,11,91279,137943,44469,55654,57981,30717,91,0,15385,65161,16962,3,97,8,0,157581,0,15,18,18,0,2,2,1,0,0,40073,62220,5,72002,218875,60,
9709,Silverspy#1287,Stukov,Volskaya Foundry,Roll1Esports,LOSS,27,2,10,12,5,10,21570,40546,4663,28175,8556,6566,327,173982,0,91307,13232,1,258,6,0,167231,0,20,4,4,3,2,0,2,0,33406,46446,9971,4,47429,24012,67,
9709,Matloc#11342,Varian,Volskaya Foundry,Roll1Esports,LOSS,27,1,12,13,3,12,44341,82243,32096,43940,7082,4152,69,644,48511,177972,12925,2,161,7,0,167231,644,20,0,0,0,1,1,1,0,1074,132480,25289,4,50047,74001,69,
9709,Tin#11695,Fenix,Volskaya Foundry,Roll1Esports,LOSS,27,8,5,13,4,10,94293,253230,15987,206077,23602,15030,343,1704,1696,85878,27596,1,218,5,0,167231,1704,0,0,0,0,0,1,1,0,0,53507,54952,4,236190,153171,63,
9709,Smoke#11671,Sonya,Volskaya Foundry,Roll1Esports,LOSS,27,1,11,12,3,6,32766,282226,4565,231174,49315,10789,19,0,71987,154615,40123,1,137,10,0,167231,0,0,0,0,0,2,1,3,0,0,80491,21627,4,71986,298496,73,
9709,Icarii#1605,Valla,Volskaya Foundry,Roll1Esports,LOSS,27,1,12,13,1,13,136817,258118,47142,163603,25296,21726,20,0,11247,57775,23826,2,65,6,0,167231,0,0,0,0,0,1,0,1,0,0,23723,70363,4,90437,336927,69,
9955,Silverspy#1287,Anduin,Volskaya Foundry,COSMOS,LOSS,17,0,4,4,4,1,17092,25002,504,21731,7027,701,22,37043,8605,31063,3363,0,132,4,0,57982,5551,0,16,16,1,1,0,1,1,7140,22725,8253,0,21708,27512,21,
9955,Matloc#11342,Johanna,Volskaya Foundry,COSMOS,LOSS,17,1,2,3,4,2,20408,41650,1391,35955,493,103,88,0,15667,57552,7559,0,146,0,0,57982,0,0,0,0,0,0,1,2,0,0,48514,14906,0,10006,49885,28,
9955,Tin#11695,Orphea,Volskaya Foundry,COSMOS,LOSS,17,2,2,4,4,1,37717,49083,0,42678,2605,1548,163,0,9145,28712,6731,0,138,2,0,57982,0,0,0,0,0,0,0,1,0,0,25227,24271,0,22469,75582,25,
