id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
13266,Bowserking#11311,Muradin,Tomb of the Spider Queen,30 Seconds to Mosh,WIN,21,1,11,12,0,12,18427,58496,10903,44440,0,1603,115,0,25802,77732,10809,3,0,1,0,83602,0,0,0,0,0,0,0,0,0,0,52154,14835,2,30811,50001,49,
13266,goodgamesir#1162,Valla,Tomb of the Spider Queen,30 Seconds to Mosh,WIN,21,3,9,12,1,8,45499,61678,24030,33936,488,2143,71,0,2674,18181,7367,3,26,0,0,83602,0,0,0,0,0,0,0,0,0,0,10946,28326,2,44426,68370,41,
13266,Bodiddly#1106,Leoric,Tomb of the Spider Queen,30 Seconds to Mosh,WIN,21,0,8,8,2,7,33897,142571,18596,112892,589,3266,100,0,24456,65136,15643,3,76,0,0,83602,0,3,0,0,0,0,0,0,0,0,37479,11609,2,93964,91796,39,
13266,Vicar#1189,Stukov,Tomb of the Spider Queen,30 Seconds to Mosh,WIN,21,6,6,12,1,7,18292,31424,9322,20639,737,306,41,56324,0,10988,6885,3,32,1,0,83602,0,71,0,0,0,0,0,0,0,10369,4663,4231,2,19814,34484,42,
13266,zoomthenboom#1452,Gazlowe,Tomb of the Spider Queen,30 Seconds to Mosh,WIN,21,2,10,12,3,7,43813,138695,19326,108367,11245,5976,29,0,9066,39327,14640,3,133,1,0,83602,0,0,0,0,0,0,1,1,0,15,25895,24229,2,24779,171884,49,
13267,Bowserking#11311,E.T.C.,Towers of Doom,30 Seconds to Mosh,LOSS,17,0,0,0,6,0,14083,18799,0,13808,3689,132,26,0,13601,58088,5112,0,192,2,0,59267,0,0,0,0,0,2,0,2,1,0,50974,13180,0,21695,14684,27,
13267,goodgamesir#1162,Zul'jin,Towers of Doom,30 Seconds to Mosh,LOSS,17,0,1,1,1,1,35374,30595,0,22992,8479,355,94,0,9338,14917,3717,0,19,3,0,59267,0,0,0,0,0,2,0,0,0,0,10907,21124,0,42283,30409,30,
13267,Bodiddly#1106,Blaze,Towers of Doom,30 Seconds to Mosh,LOSS,17,0,1,1,2,1,24331,121283,0,121283,0,0,119,0,9474,45049,21196,0,94,0,0,59267,0,0,0,0,0,0,0,1,0,0,16929,11547,0,68105,76704,37,
13267,Vicar#1189,Tyrande,Towers of Doom,30 Seconds to Mosh,LOSS,17,1,0,1,0,1,18698,9911,0,8305,2107,242,18,39256,0,5526,959,0,0,3,0,59267,0,0,0,0,3,0,0,0,0,11804,2867,7216,0,11340,19258,26,
13267,zoomthenboom#1452,Gazlowe,Towers of Doom,30 Seconds to Mosh,LOSS,17,0,1,1,3,1,47813,76479,396,61512,8404,1000,25,0,10368,35346,6898,0,111,3,0,59267,0,0,0,0,0,1,0,3,0,0,27481,33035,0,12530,118358,30,
13268,Bowserking#11311,Anub'arak,Battlefield of Eternity,30 Seconds to Mosh,WIN,16,1,7,8,0,8,13576,20974,7670,12821,11364,0,79,0,13586,41624,8404,2,0,3,0,54355,0,0,0,0,0,0,0,0,0,0,32584,10773,2,27121,20793,21,
