id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
7038,Malfrex#1131,D.Va,Tomb of the Spider Queen,TRSG Knights,LOSS,15,0,0,0,5,0,17899,45887,0,31823,1083,10670,20,0,2733,50580,5825,0,115,1,0,47581,0,0,0,0,0,0,0,0,0,0,38443,9125,0,43456,20975,19,
7038,d3xxxt0r#11300,Cassia,Tomb of the Spider Queen,TRSG Knights,LOSS,15,1,0,1,2,1,34674,68697,1108,48380,8864,8629,21,0,8698,23800,8065,0,69,2,0,47581,0,0,0,0,0,0,0,1,0,0,12004,13514,0,35709,77181,26,
7038,Telephius#1462,Johanna,Tomb of the Spider Queen,TRSG Knights,LOSS,15,0,0,0,1,0,14398,50045,0,40477,3828,6903,45,0,4761,34687,4253,0,40,2,0,47581,0,0,0,0,0,0,0,1,0,0,23985,11586,0,14478,53162,24,
7038,Spudmaxx#1902,Kael'thas,Tomb of the Spider Queen,TRSG Knights,LOSS,15,0,1,1,3,1,21716,91311,0,74355,4648,13109,8,0,0,17950,8597,0,90,1,0,47581,0,0,0,0,0,0,0,1,0,0,9557,5019,0,6939,112573,19,
7038,dev0#1395,Stukov,Tomb of the Spider Queen,TRSG Knights,LOSS,15,0,0,0,3,0,16224,26528,0,19949,0,2646,343,37778,0,29157,2995,0,88,0,0,47581,0,43,0,0,0,1,0,1,0,7194,18650,9048,0,12177,30898,21,
7039,Malfrex#1131,Nazeebo,Infernal Shrines,TRSG Knights,LOSS,16,0,3,3,1,2,24635,42219,12084,23285,47567,4431,3,0,0,17401,6006,0,32,6,0,52912,0,0,0,0,0,1,0,1,0,0,11016,7724,1,23550,94447,18,
7039,d3xxxt0r#11300,Orphea,Infernal Shrines,TRSG Knights,LOSS,16,3,0,3,3,3,40449,83734,948,67902,1738,3803,194,0,6975,26329,10352,0,110,0,0,52912,0,0,0,0,0,0,0,1,0,0,16214,25542,1,20874,105340,24,
7039,Spudmaxx#1902,Brightwing,Infernal Shrines,TRSG Knights,LOSS,16,0,3,3,1,3,6835,24165,3060,19429,8879,955,48,42209,0,16766,3785,0,40,1,0,52912,0,34,0,0,0,0,0,0,0,5121,10786,2483,1,14906,25621,26,
7039,dev0#1395,D.Va,Infernal Shrines,TRSG Knights,LOSS,16,1,2,3,3,2,18022,66491,414,58344,51275,7688,170,0,1163,43746,10185,0,66,4,0,52912,0,0,0,0,0,3,0,0,0,0,21953,6538,1,94119,47680,25,
7039,Dingo#12939,Johanna,Infernal Shrines,TRSG Knights,LOSS,16,0,2,2,6,2,16654,21040,1118,18039,1446,904,67,0,14387,61051,3401,0,177,1,0,52912,0,0,0,0,0,0,0,4,0,0,49802,14038,1,14020,27216,22,
