id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
9790,hidef#1297,Sonya,Tomb of the Spider Queen,Knife Party,LOSS,24,2,3,5,5,2,37083,166324,16005,120072,23521,7627,19,0,23941,77706,16688,2,224,4,0,118155,0,0,0,0,0,1,1,4,0,30,49049,25108,1,42843,191439,49,
9790,Everheart#11689,Mei,Tomb of the Spider Queen,Knife Party,LOSS,24,1,7,8,5,5,22375,76110,12050,56441,3351,1924,417,0,16422,93161,13233,2,310,2,0,118155,0,0,0,0,0,2,0,2,0,15,69385,13008,1,25468,76382,46,
9790,Gunny#1892,Gul'dan,Tomb of the Spider Queen,Knife Party,LOSS,24,1,7,8,4,5,85405,210520,24815,165293,30122,6919,0,0,16749,61174,21160,2,236,5,0,118155,0,41,0,0,0,1,0,1,0,0,35359,39623,1,13497,319297,59,
9790,Radic#1848,Li-Ming,Tomb of the Spider Queen,Knife Party,LOSS,24,3,3,6,2,5,94849,66310,11215,41873,11299,3555,0,0,0,20121,6561,2,130,4,0,118155,0,0,0,0,0,0,0,0,0,0,10278,20825,1,8985,166911,38,
9790,Harnok#1907,Anduin,Tomb of the Spider Queen,Knife Party,LOSS,24,1,6,7,2,5,26450,46930,3890,38430,6507,295,37,114051,0,36214,8476,1,130,5,0,118155,0,0,27,27,3,0,0,0,0,10521,14305,10519,1,26134,54009,57,
9791,hidef#1297,Kael'thas,Infernal Shrines,Knife Party,LOSS,21,0,5,5,3,5,36702,69272,14704,47849,54204,518,4,0,2517,28677,9490,1,150,11,0,82654,0,0,0,0,0,0,0,0,0,75,16325,17565,1,24998,134851,44,
9791,Everheart#11689,Muradin,Infernal Shrines,Knife Party,LOSS,21,2,3,5,3,5,21258,41461,11514,29209,37546,0,72,0,15892,69849,6646,1,156,10,0,82654,0,0,0,0,0,0,1,2,0,0,46772,15388,1,39580,63037,47,
9791,Gunny#1892,Valla,Infernal Shrines,Knife Party,LOSS,21,1,4,5,1,5,53242,90062,15148,67466,53126,527,109,0,3133,37793,12884,1,62,8,0,82654,0,0,0,0,0,0,0,0,0,0,17797,27295,1,75934,115956,48,
9791,Radic#1848,Leoric,Infernal Shrines,Knife Party,LOSS,21,0,4,4,4,4,23835,103392,902,95379,9511,242,90,0,30244,74499,18125,0,204,1,0,82654,0,0,0,0,0,1,0,2,1,75,43487,10607,1,49355,82090,40,
9791,Harnok#1907,Stukov,Infernal Shrines,Knife Party,LOSS,21,2,3,5,2,5,23230,23821,7416,16136,19921,76,318,84016,0,40292,6446,1,91,10,0,82654,0,50,6,6,0,1,0,1,0,17835,26101,12088,1,35737,27869,43,
9865,hidef#1297,Greymane,Tomb of the Spider Queen,Can't Counterpick Stupid,LOSS,19,1,0,1,3,1,24354,77012,0,58248,14691,3793,0,0,0,21457,6991,0,121,2,0,67751,0,0,0,0,0,0,0,0,0,0,15089,13394,0,74041,51758,44,
9865,Everheart#11689,Muradin,Tomb of the Spider Queen,Can't Counterpick Stupid,LOSS,19,0,1,1,5,1,9971,29004,0,19315,0,1425,45,0,7295,48585,4388,0,178,0,0,67751,0,0,0,0,0,0,0,5,0,0,41153,7835,0,20661,22508,38,
9865,Gunny#1892,Kael'thas,Tomb of the Spider Queen,Can't Counterpick Stupid,LOSS,19,1,0,1,2,1,61027,159361,2060,135804,12654,5353,9,0,4879,22093,15590,0,50,1,0,67751,0,0,0,0,0,0,0,2,0,0,15893,21220,0,13231,229691,49,
9865,Harnok#1907,Leoric,Tomb of the Spider Queen,Can't Counterpick Stupid,LOSS,19,0,2,2,3,2,15778,140998,0,119229,2981,7131,67,0,17522,52853,14898,0,162,1,0,67751,0,0,0,0,0,0,0,2,0,0,24034,4710,0,85299,84871,44,
9865,CortSnort#1111,Stukov,Tomb of the Spider Queen,Can't Counterpick Stupid,LOSS,19,0,2,2,2,1,8576,10492,0,4658,6880,158,143,38719,0,13288,2319,0,67,2,0,67751,0,33,0,0,0,0,0,2,0,9034,9261,2225,0,17505,12837,28,
9866,hidef#1297,Kael'thas,Infernal Shrines,Can't Counterpick Stupid,LOSS,21,2,3,5,1,5,38285,85180,9262,61846,64222,3931,12,0,3267,18213,11218,0,65,7,0,84983,0,0,0,0,0,1,0,0,0,0,8825,17615,1,29796,156449,48,
9866,Everheart#11689,Mei,Infernal Shrines,Can't Counterpick Stupid,LOSS,21,0,5,5,4,4,24583,18068,4047,11194,3494,1443,534,0,24324,73239,5189,0,203,1,0,84983,0,0,0,0,0,1,0,3,0,0,57511,16222,1,22970,21402,33,
9866,Gunny#1892,Hanzo,Infernal Shrines,Can't Counterpick Stupid,LOSS,21,4,4,8,2,5,41840,125102,12848,90962,52319,3265,13,0,0,18402,15945,2,109,6,0,84983,0,0,0,0,0,0,0,0,0,0,7046,12992,1,58805,164019,41,
9866,Harnok#1907,Sonya,Infernal Shrines,Can't Counterpick Stupid,LOSS,21,1,5,6,2,5,44317,146675,8534,98780,30782,10090,17,0,25161,60427,15819,0,88,1,0,84983,0,0,0,0,0,1,0,2,0,0,29958,25577,1,27136,198249,38,
9866,CortSnort#1111,Stukov,Infernal Shrines,Can't Counterpick Stupid,LOSS,21,1,5,6,2,5,10171,22781,4572,14305,24497,1599,175,48475,0,18443,5801,0,127,6,0,84983,0,27,0,0,1,0,0,1,0,2379,12514,4475,1,38163,19929,37,
10049,hidef#1297,Gul'dan,Tomb of the Spider Queen,Phoenix Rising Jade,LOSS,14,2,0,2,3,1,25985,97136,3616,68896,0,13160,0,0,4313,14392,8027,0,90,0,0,42459,0,6,0,0,0,0,0,0,0,0,9360,15141,0,7223,120472,25,
10049,Everheart#11689,Varian,Tomb of the Spider Queen,Phoenix Rising Jade,LOSS,14,0,2,2,3,2,13346,8770,388,6548,0,800,41,0,16305,49674,1980,0,97,0,0,42459,0,12,0,0,0,0,0,3,0,0,42947,12124,0,6385,15494,23,
10049,Gunny#1892,Valla,Tomb of the Spider Queen,Phoenix Rising Jade,LOSS,14,0,2,2,4,1,32449,62250,4866,45319,0,6856,5,0,542,21871,5060,0,119,0,0,42459,0,0,0,0,0,0,0,0,0,0,13534,24550,0,31661,64110,24,
10049,Harnok#1907,Imperius,Tomb of the Spider Queen,Phoenix Rising Jade,LOSS,14,1,1,2,2,2,27598,43458,283,36756,0,4098,69,0,9467,40220,7417,0,68,0,0,42459,0,0,0,0,0,1,0,2,0,0,23207,13589,0,36501,36454,17,
10049,CortSnort#1111,Stukov,Tomb of the Spider Queen,Phoenix Rising Jade,LOSS,14,0,2,2,2,1,13888,18806,1029,15539,0,1782,328,36902,0,15455,2679,0,59,0,0,42459,0,49,1,1,1,0,0,1,0,5082,10283,7492,0,8882,23301,22,
10050,hidef#1297,Gul'dan,Dragon Shire,Phoenix Rising Jade,LOSS,19,2,4,6,4,6,64435,73743,1113,47378,32065,14770,0,0,7240,30567,9056,0,196,4,0,71112,0,26,0,0,0,0,0,2,0,0,16577,35985,1,12396,165878,22,
10050,Everheart#11689,Anub'arak,Dragon Shire,Phoenix Rising Jade,LOSS,19,0,3,3,4,3,22761,54371,9498,24834,5255,13845,633,0,21954,75542,5763,0,178,2,0,71112,0,0,0,0,0,1,0,3,0,0,59451,16676,1,22044,62937,20,
10050,Gunny#1892,Falstad,Dragon Shire,Phoenix Rising Jade,LOSS,19,4,2,6,3,6,39693,96865,4554,79394,6752,1572,204,0,13084,49599,15027,0,103,2,0,71112,0,0,0,0,0,2,0,1,0,0,29124,19644,1,48994,97314,33,
10050,Harnok#1907,Artanis,Dragon Shire,Phoenix Rising Jade,LOSS,19,0,2,2,3,2,37759,84697,962,61936,0,3014,24,0,17305,57899,12483,0,150,0,0,71112,0,0,0,0,0,1,0,3,0,0,35300,14279,0,61332,71442,24,
10050,CortSnort#1111,Brightwing,Dragon Shire,Phoenix Rising Jade,LOSS,19,0,6,6,2,6,8291,21342,774,13562,6837,1672,0,100637,0,32448,4754,0,118,4,0,71112,0,35,0,0,3,0,0,0,0,18674,18623,6124,1,21573,17497,24,
10215,hidef#1297,Greymane,Infernal Shrines,Puns Upon a Time,LOSS,18,1,2,3,1,3,16024,46642,4184,31885,54883,4259,0,0,0,15461,6389,0,50,7,0,61183,0,0,0,0,0,0,0,1,0,0,4571,6100,1,82476,42878,22,
10215,Everheart#11689,Anub'arak,Infernal Shrines,Puns Upon a Time,LOSS,18,0,5,5,3,3,14036,24125,744,14473,4294,5594,359,0,13898,45379,4507,0,79,2,0,61183,0,0,0,0,0,1,0,2,0,0,31797,8577,1,10309,37778,21,
10215,Gunny#1892,Hanzo,Infernal Shrines,Puns Upon a Time,LOSS,18,2,3,5,3,4,24895,82176,3492,62882,26197,2410,4,0,0,19592,11532,0,126,2,0,61183,0,0,0,0,0,0,0,1,0,0,8930,9489,1,48640,92801,26,
