id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
9902,PunkRKpirate#1593,Kael'thas,Cursed Hollow,Emanon,WIN,23,2,10,12,3,5,54620,73873,21050,41037,45256,0,29,0,4440,28698,9878,4,153,6,2,113046,0,0,0,0,0,0,1,0,0,0,16239,14755,2,25578,148000,34,
9902,DrBlunch#1911,Falstad,Cursed Hollow,Emanon,WIN,23,6,8,14,2,7,47873,117080,34282,59122,18653,0,282,0,8780,37534,14148,0,94,2,8,113046,0,0,0,0,0,1,1,1,0,0,14306,24030,2,56489,125318,32,
9902,PoliteGamer#1520,Mei,Cursed Hollow,Emanon,WIN,23,2,12,14,0,14,43352,40664,13603,23792,12265,0,813,0,20335,90671,10272,2,0,7,5,113046,0,0,0,0,0,1,0,0,0,0,60113,25137,2,35917,60364,28,
9902,CaptRoberts#11717,Ragnaros,Cursed Hollow,Emanon,WIN,23,2,7,9,3,9,52054,207811,24908,169532,20128,0,147,0,18481,44991,31169,1,76,5,1,113046,0,0,0,0,0,1,1,2,0,0,17696,14600,2,46346,218651,34,
9902,wraithling#1178,Anduin,Cursed Hollow,Emanon,WIN,23,2,10,12,0,12,24469,14744,5475,7609,11242,0,66,92360,9751,31427,6355,3,0,5,9,113046,6118,0,48,48,2,2,0,0,0,8098,17001,10602,2,20913,29256,27,
9903,PunkRKpirate#1593,Azmodan,Tomb of the Spider Queen,Emanon,WIN,24,1,5,6,3,3,83871,243586,47340,181769,42903,6326,0,0,393,41007,24202,3,129,6,0,120243,0,0,0,0,0,0,1,3,0,0,20002,19637,0,14448,363851,45,
9903,DrBlunch#1911,Hanzo,Tomb of the Spider Queen,Emanon,WIN,24,4,4,8,3,5,79662,131710,25771,91108,38079,276,0,0,0,30408,13008,4,92,7,0,120243,0,0,0,0,0,0,2,2,0,0,10532,22255,1,69689,186109,48,
9903,PoliteGamer#1520,Garrosh,Tomb of the Spider Queen,Emanon,WIN,24,0,8,8,4,5,29506,34736,3337,27409,13859,353,241,0,14337,88368,8807,4,165,4,0,120243,0,20,0,0,0,1,0,2,0,0,63566,18429,1,32617,48675,41,
9903,CaptRoberts#11717,Gazlowe,Tomb of the Spider Queen,Emanon,WIN,24,2,6,8,1,7,70861,159001,17607,128060,19726,7095,25,0,18951,58635,21378,4,24,9,0,120243,0,0,0,0,0,0,0,0,0,0,30907,31701,1,44447,210100,57,
9903,wraithling#1178,Malfurion,Tomb of the Spider Queen,Emanon,WIN,24,2,6,8,2,7,26141,28369,2882,20416,15936,373,32,116491,0,38784,7953,4,87,6,0,120243,0,0,32,32,1,1,0,1,0,11953,20614,9723,1,23806,47906,43,
9992,PunkRKpirate#1593,Kael'thas,Cursed Hollow,Spooky Ghosts,WIN,20,1,5,6,1,6,40276,73340,20606,36400,21849,7925,20,0,0,20819,9668,2,16,2,0,79175,0,0,0,0,0,0,1,1,0,0,5915,14251,2,13556,118242,22,
9992,DrBlunch#1911,Falstad,Cursed Hollow,Spooky Ghosts,WIN,20,1,5,6,1,6,25048,121619,20680,80021,35689,4787,176,0,7230,20509,13059,2,24,2,3,79175,0,0,0,0,0,0,0,1,0,0,9042,12405,2,65283,115458,29,
9992,PoliteGamer#1520,Mei,Cursed Hollow,Spooky Ghosts,WIN,20,1,5,6,1,4,25433,54434,8134,30781,8241,8412,496,0,17342,72548,6912,2,44,4,4,79175,0,0,0,0,0,1,0,1,1,0,48017,18148,2,32573,53931,28,
9992,CaptRoberts#11717,Ragnaros,Cursed Hollow,Spooky Ghosts,WIN,20,3,1,4,1,4,27958,134490,8838,105274,42489,6325,81,0,13176,29866,18175,1,32,7,0,79175,0,0,0,0,0,1,1,1,0,0,13569,8519,1,38320,158401,29,
9992,wraithling#1178,Anduin,Cursed Hollow,Spooky Ghosts,WIN,20,0,6,6,3,4,14660,20742,4526,9138,9861,4810,25,51093,7256,24260,5275,1,127,3,0,79175,5012,0,22,22,0,0,0,3,0,5301,11927,4995,2,19714,24337,23,
9993,PunkRKpirate#1593,Kael'thas,Infernal Shrines,Spooky Ghosts,LOSS,21,3,4,7,3,3,76924,83671,2678,71034,28969,0,28,0,2954,26589,11366,0,141,4,0,85751,0,0,0,0,0,0,0,0,0,0,12607,23839,1,12339,174042,32,
9993,DrBlunch#1911,Azmodan,Infernal Shrines,Spooky Ghosts,LOSS,21,2,3,5,3,2,55434,199285,2907,163755,7918,0,27,0,0,38870,21737,0,174,2,0,85751,0,0,0,0,0,1,0,1,0,0,20339,18815,0,18365,251865,31,
9993,PoliteGamer#1520,Garrosh,Infernal Shrines,Spooky Ghosts,LOSS,21,0,7,7,5,3,27944,30846,614,23615,17469,0,166,0,14751,84956,6436,0,238,6,0,85751,0,24,0,0,0,1,0,4,0,0,63261,18401,1,31712,43348,30,
9993,CaptRoberts#11717,Muradin,Infernal Shrines,Spooky Ghosts,LOSS,21,2,4,6,7,3,32679,79846,4608,59986,8132,0,121,0,24080,103658,11896,0,302,1,0,85751,0,0,0,0,0,0,1,6,0,0,69912,19543,1,47118,76541,34,
9993,wraithling#1178,Alexstrasza,Infernal Shrines,Spooky Ghosts,LOSS,21,0,7,7,4,3,11346,18972,0,15332,10574,0,29,88038,2684,29918,6061,0,182,5,0,85751,4542,0,0,0,0,0,0,1,0,26503,21276,5279,1,16637,26164,37,
9994,PunkRKpirate#1593,Li-Ming,Volskaya Foundry,Spooky Ghosts,WIN,22,6,11,17,1,15,59846,88541,19931,61242,26264,1009,0,0,8614,31786,13875,2,22,9,0,98576,0,0,0,0,0,1,0,0,0,2015,17191,21272,3,19678,148146,35,
9994,DrBlunch#1911,Falstad,Volskaya Foundry,Spooky Ghosts,WIN,22,3,12,15,2,6,36788,123506,39393,84113,8534,0,174,0,8653,33653,14064,3,91,4,0,98576,0,0,0,0,0,0,1,0,0,1004,15615,20840,3,44312,120652,32,
9994,PoliteGamer#1520,Garrosh,Volskaya Foundry,Spooky Ghosts,WIN,22,3,12,15,4,7,29759,26361,9128,16847,14354,3,147,2202,11590,65766,7371,0,164,10,0,98576,2202,24,0,0,0,0,1,2,0,0,56791,20266,3,32906,35591,33,
9994,CaptRoberts#11717,Ragnaros,Volskaya Foundry,Spooky Ghosts,WIN,22,5,11,16,2,14,46382,177297,40456,132674,9093,381,138,158,13315,48479,23039,2,52,4,0,98576,158,0,0,0,0,0,1,0,0,0,29720,24565,3,40831,187564,37,
9994,wraithling#1178,Anduin,Volskaya Foundry,Spooky Ghosts,WIN,22,0,17,17,1,14,24863,30452,14071,14493,14762,287,52,74008,9585,19328,7067,3,32,12,0,98576,7924,0,21,21,0,0,0,1,0,14547,13160,13288,3,20184,47192,39,
10375,PunkRKpirate#1593,Chromie,Volskaya Foundry,CM After Dark,WIN,20,5,6,11,2,9,56245,89548,17568,66402,10539,4910,40,0,0,11996,11519,2,57,3,0,79629,0,0,0,0,0,0,0,2,0,0,7270,8889,3,19200,139462,20,
10375,DrBlunch#1911,Falstad,Volskaya Foundry,CM After Dark,WIN,20,3,9,12,2,12,34488,103994,30236,65438,20675,2502,200,0,4147,14699,10182,2,32,4,0,79629,0,0,0,0,0,0,1,2,0,0,6954,16088,3,50104,112032,26,
10375,PoliteGamer#1520,Mei,Volskaya Foundry,CM After Dark,WIN,20,3,10,13,4,7,29393,33728,8424,22073,2133,3231,696,0,16626,67355,7967,2,133,2,0,79629,0,0,0,0,0,0,1,1,0,0,47062,23369,3,27563,39706,25,
10375,CaptRoberts#11717,Ragnaros,Volskaya Foundry,CM After Dark,WIN,20,1,10,11,1,11,37036,171092,35640,129243,8542,3551,69,123,17900,45866,21737,2,21,1,0,79629,123,0,0,0,0,1,1,0,0,1200,26758,21414,3,44904,174733,37,
10375,wraithling#1178,Deckard,Volskaya Foundry,CM After Dark,WIN,20,1,12,13,0,13,19087,26791,13559,10134,4147,2832,188,48899,0,16334,5394,2,0,3,0,79629,0,0,43,43,1,1,0,0,1,15306,13753,10475,3,6176,44054,17,
10376,PunkRKpirate#1593,Chromie,Infernal Shrines,CM After Dark,LOSS,19,1,5,6,2,5,54206,54608,9451,38240,18325,0,41,0,0,15900,6690,1,96,1,0,66348,0,0,0,0,0,0,0,0,0,0,7940,12296,0,16871,111692,12,
10376,DrBlunch#1911,Falstad,Infernal Shrines,CM After Dark,LOSS,19,0,5,5,1,5,32368,72248,5506,62532,20562,0,208,0,7627,19715,10318,1,50,2,0,66348,0,0,0,0,0,0,0,1,0,0,9026,12892,0,34871,98609,17,
10376,PoliteGamer#1520,Garrosh,Infernal Shrines,CM After Dark,LOSS,19,1,4,5,6,2,16966,15863,1235,8429,9675,0,144,0,8484,49926,5158,0,202,2,0,66348,0,20,0,0,0,3,1,3,0,0,43088,12565,0,18221,23308,17,
10376,CaptRoberts#11717,Ragnaros,Infernal Shrines,CM After Dark,LOSS,19,4,1,5,3,5,29768,132431,6919,109949,29111,0,87,0,9148,30356,15602,0,93,2,0,66348,0,0,0,0,0,1,1,1,1,0,17078,9496,0,30706,158513,20,
10376,wraithling#1178,Stukov,Infernal Shrines,CM After Dark,LOSS,19,0,5,5,2,5,14989,11561,0,9183,12505,0,296,38537,0,21049,5083,0,64,4,0,66348,0,37,1,1,3,0,0,2,0,8360,11842,6938,0,24640,14386,22,
10377,PunkRKpirate#1593,Chromie,Towers of Doom,CM After Dark,WIN,21,3,8,11,1,11,39846,99218,25766,58952,30306,10546,38,0,0,9576,14165,7,22,5,0,89614,0,0,0,0,0,0,1,1,0,0,2139,7404,2,25545,139527,28,
10377,DrBlunch#1911,Nazeebo,Towers of Doom,CM After Dark,WIN,21,4,6,10,2,9,42807,111617,52463,49988,10204,5031,39,0,0,16193,10923,5,46,2,0,89614,0,0,0,0,0,0,0,1,0,0,9007,16981,1,22613,135298,22,
10377,PoliteGamer#1520,Mei,Towers of Doom,CM After Dark,WIN,21,2,10,12,0,12,22641,63576,14535,43832,5859,4067,478,0,16576,67550,12181,8,0,3,0,89614,0,0,0,0,0,1,0,0,0,0,36238,11395,3,30896,57695,31,
10377,CaptRoberts#11717,Xul,Towers of Doom,CM After Dark,WIN,21,3,8,11,1,10,26683,140356,25522,111896,40694,2938,317,0,8223,26739,23010,6,24,7,0,89614,0,0,21,21,0,0,1,0,0,0,10086,12984,2,147902,57397,42,
10377,wraithling#1178,Malfurion,Towers of Doom,CM After Dark,WIN,21,0,10,10,1,9,15622,18129,6188,5777,2596,4130,31,51031,0,14723,6939,8,29,4,0,89614,0,0,25,25,0,0,0,1,0,6996,8389,3536,2,10201,23492,20,
10552,PunkRKpirate#1593,Kael'thas,Cursed Hollow,Ana Maniacs,WIN,21,6,13,19,2,10,30568,54621,30830,16823,25461,0,29,0,45,14037,8516,0,60,7,3,83298,0,0,0,0,0,0,1,1,0,0,6953,15331,6,17705,89733,23,
10552,DrBlunch#1911,Falstad,Cursed Hollow,Ana Maniacs,WIN,21,3,16,19,2,10,25956,66694,25190,37878,10616,0,108,0,5375,15801,12251,1,64,4,4,83298,0,0,0,0,0,0,1,1,0,0,9688,5632,6,31620,70411,20,
10552,PoliteGamer#1520,Muradin,Cursed Hollow,Ana Maniacs,WIN,21,2,16,18,2,10,25950,43925,17480,19092,19060,0,97,0,15238,60505,9091,3,60,6,2,83298,0,0,0,0,0,0,0,0,0,0,33854,17853,6,31593,55552,26,
10552,CaptRoberts#11717,Ragnaros,Cursed Hollow,Ana Maniacs,WIN,21,7,13,20,2,17,37937,121557,17150,102883,11450,318,107,0,13255,44275,20627,1,44,3,4,83298,0,0,0,0,0,1,2,1,0,0,27863,22186,7,20772,147017,18,
10552,wraithling#1178,Anduin,Cursed Hollow,Ana Maniacs,WIN,21,3,17,20,1,17,15964,20701,4831,14713,5016,0,30,45351,7877,11871,7651,1,24,6,2,83298,5481,0,21,21,1,0,1,0,0,10823,4630,10342,7,19205,22155,24,
10553,PunkRKpirate#1593,Blaze,Volskaya Foundry,Ana Maniacs,LOSS,20,0,3,3,6,2,46257,29610,2012,26006,7668,0,640,0,15072,74068,5736,0,224,4,0,80639,0,0,0,0,0,0,0,5,0,0,68250,33386,0,25126,55587,22,
10553,DrBlunch#1911,Mephisto,Volskaya Foundry,Ana Maniacs,LOSS,20,1,2,3,3,2,106943,58206,5095,48596,11293,0,333,0,0,42737,8754,0,171,3,0,80639,0,0,27,27,0,0,1,3,0,0,35317,77628,0,11918,169404,23,
10553,PoliteGamer#1520,Hogger,Volskaya Foundry,Ana Maniacs,LOSS,20,0,3,3,7,2,62659,34261,0,26762,36532,360,292,0,18605,71747,8352,0,281,7,0,80639,0,0,0,0,0,1,0,5,0,0,63403,47709,0,15708,117585,26,
10553,CaptRoberts#11717,Ragnaros,Volskaya Foundry,Ana Maniacs,LOSS,20,0,3,3,4,3,42265,195393,1180,190046,6123,93,153,0,18093,54944,27303,0,176,3,0,80639,0,0,0,0,0,0,0,2,0,0,46752,23622,0,21962,223668,36,
10553,wraithling#1178,Anduin,Volskaya Foundry,Ana Maniacs,LOSS,20,2,1,3,1,3,28913,16465,337,15617,3724,0,58,63306,8012,20059,4349,0,65,5,0,80639,4839,0,53,53,0,0,0,0,0,16395,13669,15939,0,12304,36622,31,
10554,PunkRKpirate#1593,Kael'thas,Infernal Shrines,Ana Maniacs,LOSS,22,5,6,11,4,4,59220,52432,3583,39726,49730,490,40,0,1727,36802,10892,0,182,6,0,91820,0,0,0,0,0,2,1,2,0,0,23746,17969,2,16742,138213,25,
10554,DrBlunch#1911,Greymane,Infernal Shrines,Ana Maniacs,LOSS,22,2,8,10,4,6,79968,122705,6830,91503,40984,2538,0,0,0,47387,16159,0,101,4,0,91820,0,0,0,0,0,1,0,1,0,0,26541,35775,2,121193,114239,33,
10554,PoliteGamer#1520,Mei,Infernal Shrines,Ana Maniacs,LOSS,22,2,9,11,4,7,41680,41152,2583,29494,25753,386,785,0,29726,99757,9690,0,133,3,0,91820,0,0,0,0,0,3,1,4,1,0,84164,28516,2,36956,66187,31,
10554,CaptRoberts#11717,Gazlowe,Infernal Shrines,Ana Maniacs,LOSS,22,0,6,6,5,3,43077,107464,11066,81683,40741,2665,112,0,11360,56345,15389,1,235,1,0,91820,0,0,0,0,0,0,0,3,0,0,39220,19796,1,36498,147168,38,
10554,wraithling#1178,Ana,Infernal Shrines,Ana Maniacs,LOSS,22,2,9,11,3,7,23277,8221,885,6385,15111,372,144,69841,6623,18759,7006,0,110,3,0,91820,0,0,0,0,4,0,2,0,0,7035,7227,5387,2,15757,30491,33,
10819,PunkRKpirate#1593,Kael'thas,Volskaya Foundry,U.S. Army Esports,LOSS,22,1,2,3,3,1,41645,60807,7438,34800,38118,10040,28,0,537,31013,7109,2,126,9,0,95946,0,0,0,0,0,0,0,0,0,0,20577,17901,0,13917,131148,27,
10819,DrBlunch#1911,Nazeebo,Volskaya Foundry,U.S. Army Esports,LOSS,22,0,2,2,2,1,40031,211310,69874,114839,5191,8004,38,0,0,33055,17805,3,109,0,0,95946,0,0,0,0,0,0,0,2,0,0,10678,10358,0,34879,211338,31,
10819,PoliteGamer#1520,Muradin,Volskaya Foundry,U.S. Army Esports,LOSS,22,0,3,3,7,1,35465,57647,13899,30896,24675,8098,131,0,17038,102699,7175,3,302,8,0,95946,0,0,0,0,0,2,0,4,1,284,84510,26068,0,44676,74798,28,
10819,CaptRoberts#11717,Ragnaros,Volskaya Foundry,U.S. Army Esports,LOSS,22,1,2,3,4,1,45403,207310,18010,167424,7552,14199,139,0,7050,52191,24456,2,172,3,0,95946,0,0,0,0,0,0,0,1,0,0,31954,15187,0,35789,228689,33,
10819,wraithling#1178,Deckard,Volskaya Foundry,U.S. Army Esports,LOSS,22,1,2,3,1,2,15100,19528,718,5807,4057,10382,156,83977,0,29124,3484,2,40,9,0,95946,0,0,18,18,2,0,0,0,0,13470,15666,5501,0,6891,32269,29,
