id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
8647,Neone#1749,Sonya,Dragon Shire,Puns Upon a Time,WIN,20,1,8,9,1,9,31566,105143,33170,68218,39305,860,17,0,24251,52357,12457,3,20,7,0,75615,0,0,0,0,0,1,1,1,0,0,32158,21926,3,24860,148989,33,
8647,Vacuity#1756,Muradin,Dragon Shire,Puns Upon a Time,WIN,20,3,7,10,0,10,27021,50032,19014,28323,11623,503,98,0,21300,69697,8883,3,0,3,0,75615,0,0,0,0,0,4,0,0,1,0,53522,22162,3,34564,53163,35,
8647,Wstar#1780,Li-Ming,Dragon Shire,Puns Upon a Time,WIN,20,4,6,10,0,10,64007,132456,57144,72353,15870,65,60,0,0,12282,10649,3,0,5,0,75615,0,0,0,0,0,0,0,0,0,0,4167,34011,3,35668,170022,46,
8647,uZerErROr#1398,Brightwing,Dragon Shire,Puns Upon a Time,WIN,20,0,7,7,1,5,8029,36310,8504,25828,8503,285,0,67849,0,22608,6052,3,40,5,0,75615,2243,28,0,0,2,0,0,1,0,10431,11956,4153,2,27264,25104,32,
8647,Novapunk#1449,Tychus,Dragon Shire,Puns Upon a Time,WIN,20,2,6,8,1,7,31729,84337,25124,56974,14401,622,0,0,0,18502,11233,2,24,4,0,75615,0,0,0,0,0,1,1,0,0,0,1560,8384,2,50225,79361,30,
8648,Neone#1749,Sonya,Towers of Doom,Puns Upon a Time,WIN,20,6,8,14,1,12,44482,122748,23278,89345,36446,0,20,0,20021,48149,17834,1,23,4,0,74005,0,0,0,0,0,0,1,0,0,0,20513,27395,3,33038,168911,35,
8648,Vacuity#1756,Anub'arak,Towers of Doom,Puns Upon a Time,WIN,20,2,13,15,2,9,34710,31622,9017,20829,5501,0,128,0,21231,65360,8499,1,59,2,0,74005,0,0,0,0,0,0,0,1,0,0,57334,31121,3,23304,48384,25,
8648,Wstar#1780,Kael'thas,Towers of Doom,Puns Upon a Time,WIN,20,4,11,15,1,15,55107,49085,12836,32775,29288,0,23,0,0,24057,9018,1,18,5,0,74005,0,0,0,0,0,1,1,0,0,0,16892,33637,3,17236,115684,20,
8648,uZerErROr#1398,Brightwing,Towers of Doom,Puns Upon a Time,WIN,20,2,13,15,0,15,15415,27354,3539,21480,6863,0,0,78323,0,20228,8061,1,0,3,0,74005,2277,36,0,0,0,0,0,0,0,18003,13295,10203,3,25129,24503,20,
8648,Dietlama#1759,Cassia,Towers of Doom,Puns Upon a Time,WIN,20,1,8,9,3,4,54151,48429,5953,40547,5438,0,0,0,8364,28470,9228,0,115,2,0,74005,0,0,0,0,0,0,0,1,0,0,22102,36077,2,27189,80383,19,
8974,Neone#1749,D.Va,Alterac Pass,Waiting On Cherry,WIN,21,0,9,9,1,9,34583,110616,20511,74111,53176,50,292,0,23302,96800,13674,3,0,5,0,85586,0,0,0,0,0,3,0,0,0,0,53733,14830,2,120874,75815,36,
8974,Vacuity#1756,Varian,Alterac Pass,Waiting On Cherry,WIN,21,1,10,11,2,6,29696,22116,4631,13118,4191,0,78,0,31115,93802,5254,2,112,0,0,85586,0,21,0,0,0,0,0,0,0,0,70445,20844,2,22933,32531,26,
