id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
7012,toxic#1390,Thrall,Volskaya Foundry,Clouded Minds,LOSS,22,3,1,4,1,4,40486,148382,11320,127385,6358,1249,97,0,43179,70988,19576,0,26,2,0,94408,0,0,15,15,0,1,0,1,0,0,41017,23772,1,101446,107992,58,
7012,Lompico#1308,Maiev,Volskaya Foundry,Clouded Minds,LOSS,22,1,5,6,3,3,41607,110306,5735,95345,34734,2714,3,0,0,58330,14185,0,81,7,0,94408,0,0,0,0,0,1,0,1,0,0,39025,34076,1,96414,95359,47,
7012,LeeDragoon#1529,Deckard,Volskaya Foundry,Clouded Minds,LOSS,22,0,6,6,2,6,16322,21250,815,17985,7159,535,221,47715,9452,27253,5789,0,130,8,0,94408,7909,15,45,45,0,0,0,1,0,7151,19419,9527,1,17193,28490,39,
7012,mazino#11901,Mei,Volskaya Foundry,Clouded Minds,LOSS,22,0,6,6,2,5,22831,37954,1241,30246,2224,3192,483,0,21311,82982,7086,0,48,3,0,94408,0,0,0,0,0,4,0,1,1,0,68113,18784,1,23095,42852,43,
7012,pants#1191,Sylvanas,Volskaya Foundry,Clouded Minds,LOSS,22,2,4,6,1,6,36081,122860,10870,101612,21145,384,78,0,0,26036,16518,0,65,6,0,94408,0,25,0,0,0,1,0,1,0,0,15349,21015,1,59992,127986,46,
7013,toxic#1390,Thrall,Infernal Shrines,Clouded Minds,LOSS,17,2,4,6,3,7,21679,67782,5025,60698,5025,653,18,0,14410,34560,9766,0,126,1,0,58963,0,0,14,14,0,0,0,2,0,0,15501,8563,1,51091,47838,29,
7013,Lompico#1308,Tychus,Infernal Shrines,Clouded Minds,LOSS,17,0,5,5,4,4,24655,70205,4286,53149,21173,757,6,0,2718,31009,8123,1,163,3,0,58963,0,0,0,0,0,0,0,0,0,0,16472,12416,2,36399,91465,24,
7013,LeeDragoon#1529,Deckard,Infernal Shrines,Clouded Minds,LOSS,17,2,4,6,3,3,9114,11581,270,8921,4610,288,90,32256,9722,21806,3975,0,91,3,0,58963,6787,0,24,24,0,0,0,2,0,2142,13682,5168,2,9219,17422,22,
7013,mazino#11901,Johanna,Infernal Shrines,Clouded Minds,LOSS,17,1,5,6,1,7,10684,40414,388,30925,7624,295,40,0,11087,51515,5767,1,44,0,0,58963,0,0,0,0,0,0,0,0,0,0,31166,9981,2,10927,49382,26,
7013,pants#1191,Tassadar,Infernal Shrines,Clouded Minds,LOSS,17,1,5,6,2,8,15276,75292,1890,53293,19712,851,77,0,5948,21014,10436,0,88,4,0,58963,0,0,0,0,0,0,0,0,0,0,12589,6614,1,20360,96414,31,
7234,toxic#1390,Sonya,Volskaya Foundry,Private Potato,WIN,21,6,9,15,0,15,41592,180445,58617,111258,20089,3473,28,0,14252,35678,18659,3,0,5,0,82716,0,0,0,0,0,0,0,0,0,0,6463,21941,4,40309,199905,43,
7234,Lompico#1308,Maiev,Volskaya Foundry,Private Potato,WIN,21,3,13,16,0,16,23789,90548,48018,27814,37887,3572,34,1895,1890,22361,8045,2,0,10,0,82716,1895,0,0,0,0,0,0,0,0,0,7976,14318,4,75444,80764,40,
7234,LeeDragoon#1529,Deckard,Volskaya Foundry,Private Potato,WIN,21,0,16,16,0,16,11595,31661,9350,15639,6390,5881,69,51358,0,20399,5506,3,0,9,0,82716,0,3,19,19,0,1,0,0,1,3326,8386,6565,4,16133,32488,34,
7234,mazino#11901,E.T.C.,Volskaya Foundry,Private Potato,WIN,21,0,16,16,1,16,11253,33664,1730,30725,1808,768,23,0,19199,65850,9059,2,65,4,0,82716,0,0,0,0,0,0,0,1,0,0,36939,8174,4,21753,24494,42,
7234,pants#1191,Cassia,Volskaya Foundry,Private Potato,WIN,21,7,8,15,0,15,41607,109517,30370,71369,14436,4075,0,0,1540,20723,11857,3,0,6,0,82716,0,0,0,0,0,0,0,0,0,119,8071,20338,3,38702,126441,42,
7235,toxic#1390,Sonya,Infernal Shrines,Private Potato,WIN,20,3,10,14,0,12,19560,109499,29022,75216,44465,0,7,0,13936,38419,15390,2,0,5,0,78541,0,0,0,0,0,0,0,0,0,0,23795,16515,1,35357,137641,45,
7235,Lompico#1308,Tychus,Infernal Shrines,Private Potato,WIN,20,5,12,18,3,8,43769,51085,23009,25908,37480,0,4,0,0,27467,7840,3,146,8,0,78541,0,0,0,0,0,0,0,2,0,0,21568,26322,2,57918,74096,32,
7235,LeeDragoon#1529,Stukov,Infernal Shrines,Private Potato,WIN,20,1,15,16,1,7,14476,15254,7946,5288,34186,0,200,65160,0,16980,5442,3,40,9,0,78541,0,47,6,6,2,0,0,0,0,12375,11774,11338,2,50731,12639,35,
7235,mazino#11901,Johanna,Infernal Shrines,Private Potato,WIN,20,2,16,18,0,15,23558,39082,4592,30063,7238,0,85,0,14197,53240,9092,3,0,3,0,78541,0,0,0,0,0,1,0,0,0,0,45826,21154,2,19310,50268,35,
7235,pants#1191,Cassia,Infernal Shrines,Private Potato,WIN,20,5,12,17,1,9,48377,67877,20143,45081,37238,0,0,0,1420,21100,9071,2,50,6,0,78541,0,0,0,0,0,0,0,1,0,0,13492,35288,2,39682,111667,36,
