id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
5312,TrueSaint#1908,Rehgar,Towers of Doom,Can't Connect Stuns,LOSS,21,1,3,4,6,3,8173,56980,10029,46128,17779,6,840,47558,993,49719,12956,3,224,4,0,82109,2480,0,0,0,1,2,1,2,0,7914,29836,4925,0,33924,49008,34,
5312,Dietlama#1759,Artanis,Towers of Doom,Can't Connect Stuns,LOSS,21,2,2,4,6,1,29200,34064,16600,15124,18667,2,0,0,19075,72252,5194,2,258,4,0,82109,0,0,0,0,0,1,1,3,0,0,50009,22775,0,52099,29832,27,
5312,Neone#1749,Mal'Ganis,Towers of Doom,Can't Connect Stuns,LOSS,21,0,2,2,3,2,16981,44185,5591,35823,2484,9,87,0,12348,61930,9780,2,124,2,0,82109,0,0,0,0,0,4,0,1,0,0,42032,13954,0,12367,51283,33,
5312,Bordog#1947,Orphea,Towers of Doom,Can't Connect Stuns,LOSS,21,1,2,3,4,1,19506,136930,8456,118070,6448,0,53,0,7166,28050,21648,4,139,3,0,82109,0,0,0,0,0,0,1,1,0,0,14233,11118,0,21687,141197,39,
5312,Novapunk#1449,Valla,Towers of Doom,Can't Connect Stuns,LOSS,21,0,3,3,5,1,38171,66257,24591,32555,14764,1,47,0,1416,33812,7975,1,234,5,0,82109,0,0,0,0,0,2,0,3,0,0,24395,27750,0,62144,56815,30,
5313,TrueSaint#1908,Deckard,Cursed Hollow,Can't Connect Stuns,LOSS,15,1,2,3,2,1,7161,21085,619,17920,7274,0,112,39071,0,22918,3810,0,62,3,2,49140,0,0,16,16,0,2,1,1,0,1400,14025,4261,1,9785,25735,18,
5313,Dietlama#1759,Thrall,Cursed Hollow,Can't Connect Stuns,LOSS,15,1,4,5,4,2,18927,53258,901,46405,14918,0,71,0,16032,33046,10250,0,117,2,0,49140,0,0,7,7,0,1,0,2,1,0,17806,9806,1,40157,46946,25,
5313,Neone#1749,Mei,Cursed Hollow,Can't Connect Stuns,LOSS,15,0,0,0,3,0,10174,45153,2451,35066,4858,417,257,0,7881,38929,5533,0,98,1,0,49140,0,0,0,0,0,1,0,1,0,0,29033,5933,0,17702,42483,23,
5313,Bordog#1947,Orphea,Cursed Hollow,Can't Connect Stuns,LOSS,15,0,2,2,3,2,16231,54844,0,45036,15386,0,55,0,2064,19606,8961,0,92,2,0,49140,0,0,0,0,0,0,0,1,0,0,13332,11968,1,16430,70031,27,
5313,Novapunk#1449,Zul'jin,Cursed Hollow,Can't Connect Stuns,LOSS,15,3,2,5,3,2,22728,27603,720,15817,31708,333,100,0,14760,17439,3968,0,91,3,3,49140,0,0,0,0,0,0,1,1,0,0,9197,14022,1,55739,26382,20,
5496,TrueSaint#1908,Jaina,Infernal Shrines,Lightly Salted,WIN,23,3,16,19,8,7,76546,89575,4278,74342,72276,4945,1679,0,16596,55628,17309,1,289,8,0,113802,0,0,48,48,0,3,2,2,0,0,37456,54379,7,18822,211908,43,
5496,Dietlama#1759,Imperius,Infernal Shrines,Lightly Salted,WIN,23,7,16,23,3,11,69323,55206,5513,43172,39582,4587,162,0,45381,115741,14747,1,170,10,0,113802,0,0,0,0,0,3,1,2,0,0,82597,56572,8,67398,94723,54,
5496,Neone#1749,Ana,Infernal Shrines,Lightly Salted,WIN,23,2,17,19,4,13,18448,34693,11009,18464,14966,2227,60,81456,13243,46621,11295,2,146,7,0,113802,0,0,0,0,7,1,1,2,0,13732,22466,11531,6,26082,45019,50,
5496,Bordog#1947,Blaze,Infernal Shrines,Lightly Salted,WIN,23,5,12,17,7,4,32666,80824,10570,54662,36724,5503,797,0,29168,98912,14122,1,341,7,0,113802,0,0,0,0,0,1,1,4,0,0,77070,23128,5,75571,72250,38,
