id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
9797,TheBoomer444#1753,Zul'jin,Tomb of the Spider Queen,Can't Counterpick Stupid,WIN,20,4,8,12,0,12,36056,96965,56689,32831,30779,2795,96,0,24367,20201,6715,3,0,2,0,75086,0,0,0,0,0,0,0,0,0,0,13705,22381,3,115788,52375,41,
9797,Bashing#1625,Uther,Tomb of the Spider Queen,Can't Counterpick Stupid,WIN,20,2,10,12,1,12,15162,30606,9894,18987,11055,1365,37,28465,1907,35294,6287,3,65,5,0,75086,0,0,0,0,0,0,0,1,0,4931,25020,13141,3,18937,38592,35,
9797,Lompico#1308,Xul,Tomb of the Spider Queen,Can't Counterpick Stupid,WIN,20,3,9,12,1,6,30133,122965,31070,88331,734,1502,93,0,8293,45231,13105,3,32,2,0,75086,0,0,29,29,0,0,0,1,0,0,31776,19462,3,103797,51924,41,
9797,Mswindupbird#1620,Deckard,Tomb of the Spider Queen,Can't Counterpick Stupid,WIN,20,1,11,12,0,12,14367,56072,9694,42485,796,1630,168,48102,0,11100,6274,4,0,2,0,75086,0,0,31,31,0,0,0,0,0,9718,5037,4367,3,10260,63722,40,
9797,Dagnie#1853,Imperius,Tomb of the Spider Queen,Can't Counterpick Stupid,WIN,20,2,7,9,1,5,20942,93247,13325,73040,10978,3653,36,0,12294,41716,13944,2,36,3,0,75086,0,0,0,0,0,1,0,1,0,0,21887,12675,3,61301,71339,38,
9798,TheBoomer444#1753,Zul'jin,Infernal Shrines,Can't Counterpick Stupid,WIN,21,4,13,17,1,16,49844,65787,39392,24904,65551,0,152,0,18883,25136,7961,2,65,7,0,83659,0,0,0,0,0,4,0,0,1,0,13930,27335,4,121168,66074,31,
9798,Bashing#1625,Stukov,Infernal Shrines,Can't Counterpick Stupid,WIN,21,4,13,17,2,12,22996,20832,7829,12514,26677,0,164,64942,0,21988,7605,2,49,8,0,83659,0,66,3,3,4,0,0,1,0,7449,9749,8486,4,42940,26718,32,
9798,Lompico#1308,Blaze,Infernal Shrines,Can't Counterpick Stupid,WIN,21,0,17,17,0,17,32830,70928,12517,55547,16320,0,260,0,9144,46830,11102,2,0,3,0,83659,0,0,0,0,0,0,0,0,0,0,34474,25629,4,41532,78453,26,
9798,Mswindupbird#1620,Gazlowe,Infernal Shrines,Can't Counterpick Stupid,WIN,21,6,11,17,1,16,33822,107352,14886,81037,46106,0,105,0,7382,23827,14541,1,65,4,0,83659,0,0,0,0,0,0,0,0,0,0,13316,18045,4,31352,154694,33,
9798,Dagnie#1853,Dehaka,Infernal Shrines,Can't Counterpick Stupid,WIN,21,3,11,14,3,8,32364,96633,20263,75972,9941,0,29,0,28877,69987,17235,2,100,1,0,83659,0,0,0,0,0,0,2,2,0,0,27655,19283,4,45931,91751,33,
