id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
9912,SHOGUNMISA#1360,Mephisto,Infernal Shrines,Team Momentum,WIN,21,4,5,9,5,6,100291,152298,44502,94578,32370,0,172,0,2724,50850,13596,2,145,3,0,81958,0,0,52,52,0,0,2,4,0,0,38339,79223,3,19409,255644,46,
9912,Dr3w#1383,Jaina,Infernal Shrines,Team Momentum,WIN,21,4,5,9,3,6,49831,83187,26484,44830,38515,0,1139,0,0,26214,10205,3,108,5,0,81958,0,0,0,0,0,0,1,1,0,0,15123,28402,3,18101,154252,40,
9912,DieCello#1173,Gazlowe,Infernal Shrines,Team Momentum,WIN,21,0,8,8,3,6,15880,78694,14839,51729,28050,0,37,0,5420,41335,14088,2,73,2,0,81958,0,0,0,0,0,1,0,2,0,0,19052,6377,2,29626,89291,27,
9912,JonLots#1618,Whitemane,Infernal Shrines,Team Momentum,WIN,21,0,9,9,3,4,26017,25154,6465,18419,12091,0,644,55802,0,26222,7054,2,138,5,0,81958,0,0,4,4,1,1,0,1,0,19327,12001,13001,3,20105,41625,31,
9912,Th3Backflip#1754,Arthas,Infernal Shrines,Team Momentum,WIN,21,1,8,9,6,4,26141,23200,8962,13419,10685,0,172,0,22048,90263,6049,2,211,2,0,81958,0,0,21,21,0,0,1,5,0,0,74994,19640,3,24269,34441,34,
9913,SHOGUNMISA#1360,Mephisto,Towers of Doom,Team Momentum,LOSS,21,3,5,8,6,5,82155,114541,21129,81663,13435,8061,152,0,3489,60141,14495,3,259,3,0,84343,0,0,22,22,0,3,1,2,0,0,39870,63017,1,18419,180221,39,
9913,Dr3w#1383,Anduin,Towers of Doom,Team Momentum,LOSS,21,0,8,8,3,5,26684,34135,12466,17555,3747,2591,23,61236,16020,33542,9426,4,141,4,0,84343,9606,0,18,18,3,0,0,1,0,9199,16163,12453,1,26447,32073,34,
9913,DieCello#1173,Malthael,Towers of Doom,Team Momentum,LOSS,21,3,2,5,6,2,31330,90647,2665,85089,14505,148,105,0,18268,56542,18435,1,270,2,0,84343,0,0,0,0,0,2,0,5,0,0,33374,11141,1,52814,73667,27,
9913,JonLots#1618,Zul'jin,Towers of Doom,Team Momentum,LOSS,21,3,6,9,4,5,85934,74609,30860,29563,17350,5908,178,0,24527,36450,7892,2,199,4,0,84343,0,0,0,0,0,4,0,1,0,0,18382,42513,1,103285,59468,32,
9913,Th3Backflip#1754,Garrosh,Towers of Doom,Team Momentum,LOSS,21,0,8,8,5,4,24170,17893,7253,9224,5057,1416,141,0,4390,59952,7523,3,202,2,0,84343,0,16,0,0,0,0,0,2,0,0,42567,14157,1,24816,18348,32,
9914,SHOGUNMISA#1360,Imperius,Dragon Shire,Team Momentum,LOSS,20,3,6,9,4,6,37849,103409,9281,82420,15848,6508,69,0,23004,82531,16526,1,148,7,0,80340,0,0,0,0,0,0,2,1,0,0,57106,28859,1,84596,66425,51,
9914,Dr3w#1383,Stukov,Dragon Shire,Team Momentum,LOSS,20,2,8,10,2,8,25541,25313,2364,19756,17219,2964,248,58690,0,29190,6777,1,121,9,0,80340,0,89,0,0,2,1,0,1,0,13186,18277,12397,1,29743,35719,46,
9914,DieCello#1173,Artanis,Dragon Shire,Team Momentum,LOSS,20,3,1,4,4,2,75259,81928,20903,56213,0,842,96,0,35607,76500,14617,1,200,0,0,80340,0,0,0,0,0,2,0,2,0,0,11872,4956,0,63946,64433,22,
9914,JonLots#1618,Zul'jin,Dragon Shire,Team Momentum,LOSS,20,4,5,9,3,6,49807,57706,9504,33340,33373,8861,160,0,32566,35372,7320,1,142,9,0,80340,0,0,0,0,0,3,1,1,2,0,20511,21894,1,73792,59721,44,
9914,Th3Backflip#1754,Varian,Dragon Shire,Team Momentum,LOSS,20,0,8,8,2,6,32322,19813,3613,11545,11667,2557,86,0,34806,87128,7325,1,101,4,0,80340,0,23,0,0,0,0,0,2,0,0,72493,20872,1,20979,35346,40,
10272,SHOGUNMISA#1360,Deathwing,Infernal Shrines,Knife Party,WIN,24,3,11,14,1,8,86702,215876,21324,167501,19388,0,268,0,27847,81209,26456,2,40,3,0,119305,0,16,0,0,0,3,0,1,1,0,48782,44716,3,54924,253636,56,
10272,Dr3w#1383,Jaina,Infernal Shrines,Knife Party,WIN,24,4,8,12,6,5,73720,108027,23514,55305,58215,0,1453,0,0,42382,11537,2,218,8,0,119305,0,0,0,0,0,1,0,2,0,0,25102,37742,2,32906,211538,47,
10272,DieCello#1173,Leoric,Infernal Shrines,Knife Party,WIN,24,4,9,13,1,8,48057,147740,3104,117282,42035,0,107,0,31370,98655,26693,0,36,4,0,119305,0,14,0,0,0,1,0,0,0,0,62834,26698,3,109910,124958,64,
10272,JonLots#1618,Whitemane,Infernal Shrines,Knife Party,WIN,24,2,8,10,6,5,48979,22266,5899,13539,14974,0,727,87042,0,44599,4708,2,213,7,0,119305,0,0,7,7,2,0,1,3,0,40759,28216,27264,2,28994,49767,33,
10272,Th3Backflip#1754,Mei,Infernal Shrines,Knife Party,WIN,24,1,12,13,4,7,54627,65420,8635,43000,16405,0,765,0,42538,112674,11726,2,110,6,0,119305,0,0,0,0,0,1,0,3,0,0,92081,35369,3,52167,77411,51,
10273,SHOGUNMISA#1360,Mephisto,Dragon Shire,Knife Party,WIN,23,4,15,19,3,13,83654,186863,67923,110146,30739,0,155,0,5929,68771,21222,5,91,9,0,107118,0,0,45,45,0,4,2,0,2,0,44151,62178,3,22846,276651,54,
10273,Dr3w#1383,Anduin,Dragon Shire,Knife Party,WIN,23,3,16,19,1,13,26342,42126,15655,24965,9108,0,23,84326,17601,31354,9644,6,36,10,0,107118,9463,0,16,16,4,0,0,1,0,14791,19545,13367,3,35519,41981,51,
10273,DieCello#1173,Artanis,Dragon Shire,Knife Party,WIN,23,3,8,11,2,6,42788,128212,31635,82168,24757,0,20,0,22497,55248,16874,5,83,3,0,107118,0,0,0,0,0,0,0,1,0,15,20572,16703,2,81927,110430,38,
10273,JonLots#1618,Zul'jin,Dragon Shire,Knife Party,WIN,23,7,11,18,3,11,66221,63843,31307,30202,36264,0,158,0,34155,44906,11638,5,132,10,0,107118,0,0,0,0,0,3,1,1,1,0,33044,38136,3,96595,69555,45,
10273,Th3Backflip#1754,Stitches,Dragon Shire,Knife Party,WIN,23,2,15,17,2,11,42544,87040,31582,49717,8499,0,3914,0,33136,97904,11830,6,86,4,0,107118,0,0,0,0,0,1,0,0,0,0,75957,28915,2,33531,100008,48,
10306,SHOGUNMISA#1360,Zagara,Dragon Shire,Can't Counterpick Stupid,WIN,23,2,8,10,4,6,64937,164808,39411,114439,22993,3207,81,0,6184,39249,22214,3,138,3,0,109157,0,0,0,0,0,2,1,4,0,0,15339,25727,2,75860,172622,38,
10306,Dr3w#1383,Anduin,Dragon Shire,Can't Counterpick Stupid,WIN,23,0,10,10,0,10,22951,42028,9729,29941,18976,948,23,50288,14482,21138,8704,5,0,7,0,109157,7021,0,16,16,2,0,0,0,0,5905,13268,12551,2,36587,46451,35,
10306,DieCello#1173,Sonya,Dragon Shire,Can't Counterpick Stupid,WIN,23,4,3,7,2,4,30703,118388,20350,87198,34391,10840,18,0,24550,48792,18070,3,127,5,0,109157,0,0,0,0,0,0,1,1,0,0,26121,20082,2,39252,143948,39,
10306,JonLots#1618,Tassadar,Dragon Shire,Can't Counterpick Stupid,WIN,23,4,6,10,2,7,54007,119280,45711,62886,45138,2299,745,0,0,17141,12927,4,63,8,0,109157,0,0,0,0,0,0,1,1,0,0,7999,13888,2,40370,174285,36,
10306,Th3Backflip#1754,Stitches,Dragon Shire,Can't Counterpick Stupid,WIN,23,0,10,10,1,10,46367,80900,20892,51908,11774,3630,332,0,29707,71721,10196,5,19,5,0,109157,0,0,0,0,0,1,0,1,0,0,53908,33351,2,22084,116199,34,
10307,SHOGUNMISA#1360,Gall,Volskaya Foundry,Can't Counterpick Stupid,WIN,21,1,8,9,1,5,60888,120091,43241,71671,8992,0,18,0,0,0,9410,3,50,5,0,84340,0,0,0,0,0,1,0,0,0,0,0,41149,1,0,187242,0,
10307,Dr3w#1383,Gazlowe,Volskaya Foundry,Can't Counterpick Stupid,WIN,21,5,4,9,0,9,51401,115507,14834,92462,26472,0,24,0,14766,26052,17667,1,0,5,0,84340,0,0,0,0,0,0,0,0,0,1884,14774,23585,1,22883,162206,31,
10307,DieCello#1173,Uther,Volskaya Foundry,Can't Counterpick Stupid,WIN,21,1,8,9,1,5,18608,45210,10301,31995,23161,0,55,32943,10168,45243,12785,2,50,8,0,84340,0,0,0,0,0,2,0,1,0,3816,28048,10516,1,40784,46211,32,
10307,JonLots#1618,Whitemane,Volskaya Foundry,Can't Counterpick Stupid,WIN,21,1,7,8,1,5,25137,46656,26885,18545,12985,0,624,47899,0,17236,6305,3,44,5,0,84340,0,0,3,3,1,0,0,0,0,15315,9714,10834,1,39750,49552,31,
10307,Th3Backflip#1754,Cho,Volskaya Foundry,Can't Counterpick Stupid,WIN,21,1,8,9,1,5,53178,77291,35283,38599,15956,0,40,0,20696,93770,10231,3,50,5,0,84340,0,0,0,0,0,1,0,0,0,0,77248,37506,1,65388,78443,37,
