id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
5316,Lulu#1533,Anduin,Dragon Shire,We're Scaling,WIN,21,2,5,7,0,7,15447,21277,4543,14297,9413,727,18,61823,1428,13350,5748,2,0,4,0,83459,0,0,11,11,0,0,0,0,0,8858,5174,6657,0,17531,29047,33,
5316,umbob33#1854,Greymane,Dragon Shire,We're Scaling,WIN,21,0,7,7,0,7,33980,76849,20452,48805,73060,4473,0,0,0,24544,11199,2,0,10,0,83459,0,0,0,0,0,0,0,0,0,0,12475,19697,0,124712,62669,40,
5316,PetWolverine#1331,Jaina,Dragon Shire,We're Scaling,WIN,21,3,4,7,0,7,46528,80943,22627,50919,18416,2698,536,0,0,24679,10347,2,0,5,0,83459,0,0,0,0,0,1,0,0,0,0,10947,26513,0,11382,136161,43,
5316,Juggerobb#1867,Blaze,Dragon Shire,We're Scaling,WIN,21,2,5,7,2,6,30302,83814,10453,62922,0,3971,290,0,12006,77441,10300,2,47,0,0,83459,0,0,0,0,0,1,0,1,1,0,53771,21615,0,34678,80088,42,
5316,Barber#1144,Sonya,Dragon Shire,We're Scaling,WIN,21,1,0,2,1,1,65885,173919,40208,118670,0,130,36,0,29259,51840,20521,1,44,0,0,83459,0,0,0,0,0,0,0,1,0,0,34371,47954,0,66783,172653,41,
5317,Lulu#1533,Rehgar,Battlefield of Eternity,We're Scaling,WIN,16,2,7,9,0,9,9634,30709,8368,16092,12871,4242,1910,44197,1284,20633,6847,4,0,2,0,54522,4179,0,0,0,1,1,0,0,0,11623,13691,6148,1,20990,30632,24,
5317,umbob33#1854,Raynor,Battlefield of Eternity,We're Scaling,WIN,16,1,8,9,0,9,30977,49734,26860,14142,41326,7388,32,0,6267,19680,7452,4,0,3,0,54522,0,0,0,0,0,0,0,0,0,0,9437,16407,1,101357,32983,21,
5317,PetWolverine#1331,Li-Ming,Battlefield of Eternity,We're Scaling,WIN,16,3,6,9,0,9,37604,38273,11375,19736,30189,7116,0,0,350,9619,5059,4,0,3,0,54522,0,0,0,0,0,0,0,0,0,0,5065,20014,1,7889,93657,23,
5317,Juggerobb#1867,Muradin,Battlefield of Eternity,We're Scaling,WIN,16,2,7,9,0,9,18417,23261,10374,7766,11877,3917,96,0,20719,49045,6675,4,0,1,0,54522,0,0,0,0,0,1,0,0,0,0,35484,13262,1,18683,31693,20,
5317,Barber#1144,Artanis,Battlefield of Eternity,We're Scaling,WIN,16,1,4,5,0,5,9474,78636,16941,52848,27302,1080,36,0,10714,32768,12249,1,0,3,0,54522,0,0,0,0,0,0,0,0,0,0,16106,5088,1,69023,43675,27,
5521,Lulu#1533,Anduin,Alterac Pass,TRSG Knights,WIN,22,1,11,12,0,12,21795,18029,4453,12065,27346,295,30,101623,2906,21672,6275,1,0,7,0,97824,0,0,18,18,4,0,0,0,0,15421,11773,10175,3,31069,35652,31,
5521,umbob33#1854,Raynor,Alterac Pass,TRSG Knights,WIN,22,4,8,12,0,12,110756,37406,16876,13796,87175,421,248,0,16261,47171,8306,1,0,8,0,97824,0,0,0,0,0,1,0,0,0,0,21040,55998,3,175062,71325,32,
5521,PetWolverine#1331,Tassadar,Alterac Pass,TRSG Knights,WIN,22,4,8,12,2,5,68874,106731,17280,87091,29960,984,156,0,5191,52645,14401,0,94,1,0,97824,0,0,0,0,0,4,0,0,0,0,26224,25212,3,17191,185416,30,
5521,Juggerobb#1867,Blaze,Alterac Pass,TRSG Knights,WIN,22,2,8,10,3,5,52164,78484,15329,55919,14499,1492,998,0,9545,86616,9966,1,162,0,0,97824,0,0,0,0,0,1,0,2,0,0,59912,37262,3,41716,100609,26,
5521,Barber#1144,D.Va,Alterac Pass,TRSG Knights,WIN,22,1,8,9,3,4,66369,127465,13340,107120,21769,772,200,0,19247,86225,17988,1,138,0,0,97824,0,0,0,0,0,1,0,1,0,0,56429,36468,3,94580,118927,33,
5522,Lulu#1533,Rehgar,Battlefield of Eternity,TRSG Knights,WIN,20,0,14,14,0,14,17934,22830,6199,13324,35077,0,2320,69436,2327,38384,9844,3,0,8,0,77623,2875,0,0,0,0,0,0,0,0,10867,23059,9329,4,44480,34020,29,
5522,umbob33#1854,Sylvanas,Battlefield of Eternity,TRSG Knights,WIN,20,5,9,14,2,7,70024,26939,12238,11906,41748,0,0,0,1244,25821,8889,3,98,8,0,77623,0,12,0,0,0,0,1,1,0,0,15534,36748,4,75082,68851,23,
5522,PetWolverine#1331,Tassadar,Battlefield of Eternity,TRSG Knights,WIN,20,5,9,14,1,9,53687,74286,27425,44466,47330,0,263,0,10919,33904,8812,3,36,4,0,77623,0,0,0,0,0,1,1,1,0,0,15160,21142,4,42055,138073,31,
5522,Juggerobb#1867,Mei,Battlefield of Eternity,TRSG Knights,WIN,20,0,13,13,2,9,37261,17523,6949,9039,8301,0,698,0,20845,60127,8069,3,62,2,0,77623,0,0,0,0,0,0,0,2,0,0,49210,26497,4,34266,30355,20,
5522,Barber#1144,Artanis,Battlefield of Eternity,TRSG Knights,WIN,20,4,10,14,0,14,35243,69053,13054,42016,33747,0,155,0,9445,49228,16138,3,0,2,0,77623,0,0,0,0,0,0,0,0,0,0,29523,29486,4,95165,45747,28,
5706,Lulu#1533,Rehgar,Dragon Shire,Nerf the Smurfs,LOSS,24,2,9,11,1,10,11592,77548,7077,58455,27746,0,1640,97198,1451,41625,13042,2,65,6,0,126217,6293,0,0,0,1,0,0,0,0,12457,17561,4728,1,48273,70175,54,
5706,umbob33#1854,Greymane,Dragon Shire,Nerf the Smurfs,LOSS,24,3,7,10,3,6,66153,122467,18191,82409,64434,0,0,0,0,50375,15987,3,150,10,0,126217,0,0,0,0,0,0,0,3,0,0,31764,31218,1,168312,85108,56,
5706,PetWolverine#1331,Tassadar,Dragon Shire,Nerf the Smurfs,LOSS,24,2,7,10,1,8,74937,246865,20791,185466,22079,0,274,0,15653,41700,23892,2,19,2,0,126217,0,0,0,0,0,0,0,0,0,0,18442,35090,1,62184,293597,49,
5706,Juggerobb#1867,Blaze,Dragon Shire,Nerf the Smurfs,LOSS,24,4,8,12,4,7,45826,121916,32906,83337,0,0,877,0,9065,93367,13364,2,158,0,0,126217,0,0,0,0,0,2,1,1,0,0,66312,33329,2,53958,115582,42,
5706,Barber#1144,Artanis,Dragon Shire,Nerf the Smurfs,LOSS,24,0,9,10,3,4,76190,135812,12589,97232,5286,0,232,0,30186,96184,18450,1,145,2,0,126217,0,0,0,0,0,0,0,2,0,0,70363,53940,1,124091,93791,41,
5707,Lulu#1533,Anduin,Volskaya Foundry,Nerf the Smurfs,WIN,23,2,7,9,0,9,14087,34140,13312,18816,10744,0,27,73808,3317,20332,7871,3,0,7,0,108985,612,0,10,10,3,0,0,0,0,8402,11668,4919,2,22817,35794,41,
5707,umbob33#1854,Raynor,Volskaya Foundry,Nerf the Smurfs,WIN,23,3,6,9,3,8,54173,87426,38167,34256,37313,1850,147,0,10411,34574,11040,4,90,10,0,108985,0,0,0,0,0,1,2,0,0,0,19026,30668,2,120209,68312,38,
5707,PetWolverine#1331,Chromie,Volskaya Foundry,Nerf the Smurfs,WIN,23,3,6,9,0,9,84650,131140,43821,80102,20659,258,92,0,0,13377,10120,4,0,1,0,108985,0,0,0,0,0,0,0,0,0,0,4155,26583,2,29918,208452,39,
5707,Juggerobb#1867,Mei,Volskaya Foundry,Nerf the Smurfs,WIN,23,1,8,9,0,9,38710,88107,32271,47116,3478,994,636,2064,28253,85215,11578,4,0,1,0,108985,2064,0,0,0,0,3,0,0,0,0,56603,23914,2,59274,78256,46,
5707,Barber#1144,Leoric,Volskaya Foundry,Nerf the Smurfs,WIN,23,1,9,10,2,6,34260,184972,7773,173291,3418,137,82,0,18551,75762,30547,1,97,2,0,108985,0,14,0,0,0,0,0,0,0,0,49666,21803,2,77426,142684,51,
5708,Lulu#1533,Stukov,Towers of Doom,Nerf the Smurfs,WIN,22,1,12,13,3,11,14733,19229,11047,4059,6799,3589,127,102959,0,37432,7342,4,78,5,0,91005,0,41,2,2,1,0,0,0,0,7348,13056,7219,4,22747,16902,25,
5708,umbob33#1854,Sylvanas,Towers of Doom,Nerf the Smurfs,WIN,22,2,13,15,1,11,64857,68310,20680,31039,14703,10311,0,0,0,34355,11664,4,36,6,0,91005,0,30,0,0,0,0,1,0,0,0,14208,27340,5,60210,82600,29,
5708,PetWolverine#1331,Jaina,Towers of Doom,Nerf the Smurfs,WIN,22,6,9,15,2,8,53833,96009,6841,68470,19075,8768,649,0,0,27451,12347,3,92,4,0,91005,0,0,0,0,0,0,2,0,0,0,13375,27838,5,10860,154825,28,
5708,Juggerobb#1867,Mei,Towers of Doom,Nerf the Smurfs,WIN,22,1,12,13,3,7,24968,53074,2885,38424,1537,4385,475,0,17015,83892,9266,3,143,3,0,91005,0,0,0,0,0,1,1,1,0,0,52668,16256,4,25905,52020,23,
5708,Barber#1144,Malthael,Towers of Doom,Nerf the Smurfs,WIN,22,5,8,13,5,4,64600,153671,2508,131420,0,12461,0,0,23732,59479,24039,1,195,1,0,91005,0,0,0,0,0,0,4,3,0,0,34449,43217,5,65759,148150,39,
6038,Lulu#1533,Deckard,Towers of Doom,ReGen Divine,LOSS,20,1,5,6,1,3,18163,13902,1090,8279,2310,1823,226,40027,0,22234,4425,1,24,3,0,73841,0,0,22,22,1,0,0,0,0,8413,16016,10986,1,5805,25947,24,
6038,umbob33#1854,Raynor,Towers of Doom,ReGen Divine,LOSS,20,2,4,6,3,4,46404,56265,11882,32500,11675,4114,150,0,3001,23521,6965,1,150,3,0,73841,0,0,0,0,0,0,0,1,0,0,14190,19791,1,73722,46772,21,
6038,PetWolverine#1331,Tassadar,Towers of Doom,ReGen Divine,LOSS,20,0,6,6,2,3,49263,91133,7410,68654,6896,2759,127,0,3244,22230,11122,1,91,2,0,73841,0,0,0,0,0,1,0,1,1,0,15840,21318,1,10503,133851,19,
6038,Juggerobb#1867,Blaze,Towers of Doom,ReGen Divine,LOSS,20,1,4,5,10,2,26356,29334,4284,16390,72,2521,167,0,2543,72220,3011,1,376,2,0,73841,0,0,0,0,0,0,1,7,0,0,63284,18059,0,13388,37942,19,
