id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
9767,Aerus#11567,Falstad,Towers of Doom,Protectors of Aiur,WIN,23,15,4,19,3,15,77748,91407,23780,60074,27121,942,356,0,14613,43040,20950,4,91,6,0,115067,0,0,0,0,0,0,3,0,0,0,19631,49361,5,110360,84311,43,
9767,AzraelAbyss#11420,Muradin,Towers of Doom,Protectors of Aiur,WIN,23,1,17,18,3,10,30849,38592,6176,25573,9860,189,185,0,22721,91316,10299,2,101,2,0,115067,0,0,0,0,0,0,0,2,0,0,76737,28257,5,24180,54782,29,
9767,BrothrNature#11870,Tassadar,Towers of Doom,Protectors of Aiur,WIN,23,3,13,16,4,8,98880,136257,17675,102132,32309,2583,1474,0,5348,41311,16333,3,138,7,0,115067,0,0,0,0,0,0,1,3,0,0,24904,57069,4,57966,208201,34,
9767,LastDispatch#1995,Sonya,Towers of Doom,Protectors of Aiur,WIN,23,0,14,14,1,7,26150,122447,7085,113118,10140,353,41,0,22431,55970,28023,2,56,1,0,115067,0,0,0,0,0,1,0,0,0,0,37384,19583,4,18966,138837,45,
9767,LifeDeeGee#1546,Brightwing,Towers of Doom,Protectors of Aiur,WIN,23,0,18,18,2,16,12925,22674,5724,14997,5542,594,24,108200,0,32477,9428,3,42,4,0,115067,0,35,0,0,1,0,0,1,0,20039,18074,8090,5,24377,16600,29,
9768,Aerus#11567,Falstad,Dragon Shire,Protectors of Aiur,WIN,24,3,5,8,1,7,78575,156617,38518,96768,38446,7954,268,0,20624,49629,19535,3,44,3,0,116687,0,0,0,0,0,0,1,0,0,0,20201,38594,0,162560,110411,60,
9768,AzraelAbyss#11420,Muradin,Dragon Shire,Protectors of Aiur,WIN,24,1,8,9,1,7,46893,84215,10387,51960,23170,9145,217,0,49768,135271,12314,3,50,5,0,116687,0,0,0,0,0,0,0,1,0,0,106652,42588,0,45390,106718,50,
9768,BrothrNature#11870,Rexxar,Dragon Shire,Protectors of Aiur,WIN,24,2,8,10,2,10,87441,188091,30493,141437,24604,9539,397,0,44621,168732,25698,4,0,4,0,116687,0,0,16,16,0,0,0,0,0,0,76459,46217,0,133930,165021,107,
9768,LastDispatch#1995,Thrall,Dragon Shire,Protectors of Aiur,WIN,24,2,6,8,2,5,79156,149265,51327,76351,12325,10731,210,17881,45129,97800,12103,3,106,4,0,116687,13566,0,46,46,0,3,1,1,0,0,75896,61098,0,98193,137883,53,
9768,LifeDeeGee#1546,Anduin,Dragon Shire,Protectors of Aiur,WIN,24,2,7,9,0,9,26358,37440,4111,25444,9810,3761,71,124532,10317,48547,7877,3,0,3,0,116687,0,0,64,64,0,0,0,0,0,29602,23027,14647,0,26081,46420,45,
