id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
5318,ChairGlue#1201,Yrel,Towers of Doom,ReGen Divine,LOSS,22,2,4,6,2,5,36468,141973,2542,139188,734,0,42,5643,16775,67288,25308,1,127,1,0,91390,0,0,0,0,0,0,0,1,0,3511,54819,26138,1,32086,144986,49,
5318,Selym11#1181,Garrosh,Towers of Doom,ReGen Divine,LOSS,22,1,6,7,6,5,20805,29398,4283,17611,1950,0,143,0,9239,77272,6567,3,263,3,0,91390,0,12,0,0,0,2,0,0,2,0,53644,15597,2,20290,29692,38,
5318,HowlinKnight#1546,Nova,Towers of Doom,ReGen Divine,LOSS,22,3,7,10,1,10,64087,39213,4448,32073,7956,0,175,0,0,23247,8995,2,16,5,0,91390,0,0,0,0,0,0,1,0,0,0,11010,23136,2,45693,60579,37,
5318,LugoxD#1851,Sylvanas,Towers of Doom,ReGen Divine,LOSS,22,3,7,10,3,6,60781,114221,18774,82496,17771,0,147,0,2156,34578,15619,3,162,4,0,91390,0,35,0,0,0,1,1,1,0,0,26618,30965,2,67819,118238,42,
5318,Sinclip808#1921,Stukov,Towers of Doom,ReGen Divine,LOSS,22,1,8,9,4,5,22375,23881,5167,14385,4675,0,342,87746,0,41134,5493,3,175,3,0,91390,0,23,0,0,1,0,0,3,0,17669,28730,13292,2,36515,12711,35,
5319,ChairGlue#1201,Thrall,Tomb of the Spider Queen,ReGen Divine,LOSS,21,3,4,7,2,6,50157,144585,18938,105517,2933,10807,48,0,45257,77317,16059,1,62,1,0,90054,0,0,36,36,0,0,0,2,0,0,38822,23189,1,84812,115594,49,
5319,Selym11#1181,Diablo,Tomb of the Spider Queen,ReGen Divine,LOSS,21,3,7,10,5,6,36117,65816,6504,40582,1599,9465,378,0,24987,134285,9694,1,59,1,0,90054,0,0,0,0,0,2,3,4,0,0,95616,25038,2,32486,74803,60,
5319,HowlinKnight#1546,Chromie,Tomb of the Spider Queen,ReGen Divine,LOSS,21,1,9,10,2,5,62000,203576,17422,130227,5385,23238,15,0,0,21038,15927,1,101,1,0,90054,0,0,0,0,0,1,0,0,0,0,12690,18681,2,49587,227971,58,
5319,LugoxD#1851,Cassia,Tomb of the Spider Queen,ReGen Divine,LOSS,21,4,6,10,2,5,37100,94220,11050,49851,19467,10360,78,0,4967,36445,10109,1,101,3,0,90054,0,9,15,15,0,0,1,0,0,0,21582,21444,2,74753,83876,49,
5319,Sinclip808#1921,Stukov,Tomb of the Spider Queen,ReGen Divine,LOSS,21,0,10,10,2,5,16599,31724,3833,14098,8069,3125,332,81579,0,37254,6384,1,101,3,0,90054,0,23,4,4,0,0,0,2,0,13819,19244,8806,2,43378,15919,45,
