id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
7047,Yatre#11953,Gazlowe,Cursed Hollow,Fade2Black,LOSS,17,1,7,8,4,2,24128,61910,0,43717,16088,1,12,0,8301,33998,8332,0,139,3,3,59169,0,0,0,0,0,1,0,3,0,0,24664,14607,2,18579,80735,18,
7047,Vladimir#12958,Tychus,Cursed Hollow,Fade2Black,LOSS,17,4,4,8,3,3,30271,61409,0,43855,16420,0,0,0,0,20005,7764,0,97,1,0,59169,0,0,0,0,0,0,0,0,0,0,12080,16045,2,35263,70501,23,
7047,Darkfin#1291,Diablo,Cursed Hollow,Fade2Black,LOSS,17,1,8,9,3,5,13452,28905,268,21353,1228,2,20,0,5895,49549,6101,0,95,0,2,59169,0,0,0,0,0,1,0,1,0,0,38287,8905,2,22456,18843,25,
7047,memias#1590,Anduin,Cursed Hollow,Fade2Black,LOSS,17,1,7,8,3,3,13166,41363,790,34503,8201,2,16,30898,1014,22428,6315,0,114,0,2,59169,0,0,10,10,0,1,0,0,1,7793,14209,7394,2,31768,29384,24,
7047,BoSu#1391,Muradin,Cursed Hollow,Fade2Black,LOSS,17,2,3,5,1,5,11257,50843,1718,31553,2786,3,61,0,21433,37103,9554,0,44,0,2,59169,0,0,0,0,0,0,0,0,0,0,17330,6091,1,24958,39928,18,
7048,Yatre#11953,Ragnaros,Garden of Terror,Fade2Black,WIN,22,5,13,18,2,15,71462,210405,23437,171346,23561,715,150,0,27461,46225,25310,3,42,4,0,102148,0,0,0,0,0,0,0,1,0,0,31771,46219,4,48382,262810,36,
7048,Vladimir#12958,Greymane,Garden of Terror,Fade2Black,WIN,22,5,10,15,4,7,46934,84250,16919,53421,29503,386,0,0,0,39637,12545,2,151,5,0,102148,0,0,0,0,0,0,2,2,0,0,30210,38359,4,103696,60395,28,
7048,Darkfin#1291,Varian,Garden of Terror,Fade2Black,WIN,22,1,18,19,5,10,35088,25198,8847,10196,11904,0,71,0,37214,106369,8167,3,238,6,0,102148,0,25,0,0,0,1,0,3,0,0,86299,29446,4,34627,35199,26,
7048,memias#1590,Brightwing,Garden of Terror,Fade2Black,WIN,22,1,18,19,2,9,28347,74544,15996,43672,6282,552,0,87532,0,38184,10231,3,87,5,0,102148,2476,34,0,0,1,0,0,2,0,23647,22215,18558,4,53314,58256,36,
7048,BoSu#1391,Valla,Garden of Terror,Fade2Black,WIN,22,6,11,17,3,10,69483,54054,21199,21375,33400,319,27,0,3464,21700,9806,3,152,5,0,102148,0,0,0,0,0,0,0,2,0,0,15932,47435,4,99219,57383,26,
7049,Yatre#11953,Kael'thas,Battlefield of Eternity,Fade2Black,LOSS,17,1,2,3,4,2,53852,91518,1832,75275,11875,0,21,0,1265,37793,9787,0,140,0,0,56072,0,0,0,0,0,2,0,2,0,0,19850,30954,1,13364,148055,26,
7049,Vladimir#12958,Greymane,Battlefield of Eternity,Fade2Black,LOSS,17,2,0,2,6,2,29006,63229,0,47895,12083,0,0,0,0,33424,7905,0,197,1,0,56072,0,0,0,0,0,0,0,4,0,0,23994,22957,1,70201,44021,21,
