id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
9710,Glookie#1526,Muradin,Battlefield of Eternity,Puns Upon a Time,WIN,20,2,11,13,1,7,25847,25307,6166,15261,15909,2846,219,0,29381,75502,8968,3,40,6,0,72422,0,0,0,0,0,2,0,0,0,0,56874,22125,1,31541,36299,38,
9710,Wrekt#1962,Li-Ming,Battlefield of Eternity,Puns Upon a Time,WIN,20,2,11,13,0,13,53154,58740,23016,25178,38220,7115,0,0,1623,11054,9512,3,0,6,0,72422,0,0,0,0,0,0,0,0,0,0,5255,30648,1,8470,142465,38,
9710,Dandy#1890,Chen,Battlefield of Eternity,Puns Upon a Time,WIN,20,2,7,9,2,5,23266,51447,5253,43815,21554,2379,212,7887,40254,74488,12572,2,63,2,0,72422,7800,0,0,0,0,1,2,2,0,0,45906,13493,1,26583,74596,29,
9710,Amoosio#1450,Lúcio,Battlefield of Eternity,Puns Upon a Time,WIN,20,1,12,13,0,13,13004,11502,2971,7023,15300,1336,8,60849,1083,27405,7635,3,0,5,0,72422,0,0,0,0,4,0,0,0,0,12632,13545,9015,1,33773,7205,38,
9710,Slakks#1809,Raynor,Battlefield of Eternity,Puns Upon a Time,WIN,20,6,7,13,0,13,42317,60713,25717,26637,73538,5958,40,0,3318,20192,10588,3,0,6,0,72422,0,0,0,0,0,1,0,0,0,0,7925,24738,1,163786,46474,38,
9711,Glookie#1526,Muradin,Infernal Shrines,Puns Upon a Time,LOSS,19,2,4,6,5,4,19342,35538,0,24391,3096,4390,174,0,20425,79683,5513,0,119,2,0,67369,0,0,0,0,0,0,1,4,0,0,58720,17022,1,30021,33128,30,
9711,Wrekt#1962,Alarak,Infernal Shrines,Puns Upon a Time,LOSS,19,1,5,6,2,4,30588,25526,0,18478,6642,2673,0,0,5057,47114,8061,0,51,1,0,67369,0,41,0,0,0,1,1,1,0,0,32903,24114,1,19982,42482,38,
9711,Dandy#1890,Gazlowe,Infernal Shrines,Puns Upon a Time,LOSS,19,0,0,0,2,0,26886,110816,4564,94605,22837,2748,7,0,16816,39633,15339,0,68,2,0,67369,0,0,0,0,0,1,0,1,1,0,21708,11697,0,38932,122595,36,
9711,Amoosio#1450,Anduin,Infernal Shrines,Puns Upon a Time,LOSS,19,0,6,6,1,5,16766,34045,0,22265,5317,6051,18,53513,0,20584,4305,0,32,1,0,67369,0,0,15,15,1,1,0,1,1,7334,11495,6831,1,28343,30576,27,
9711,Slakks#1809,Sylvanas,Infernal Shrines,Puns Upon a Time,LOSS,19,2,4,6,3,5,27534,88665,0,70956,4615,3304,7,0,1211,27295,11710,0,125,2,0,67369,0,7,0,0,0,0,0,1,0,0,16693,18261,1,44985,86668,26,
9712,Glookie#1526,Mei,Dragon Shire,Puns Upon a Time,WIN,22,0,13,13,2,12,38872,84800,16506,58803,12628,1402,579,0,8586,72833,11518,3,38,6,0,97374,0,0,0,0,0,1,0,0,0,0,50875,26211,3,37628,97686,48,
9712,Wrekt#1962,Tassadar,Dragon Shire,Puns Upon a Time,WIN,22,4,9,13,0,12,56008,124757,27530,84265,24218,878,215,0,9647,29701,13971,3,0,7,0,97374,0,0,0,0,0,0,0,0,0,0,15219,18256,3,31052,173286,49,
9712,Dandy#1890,Chen,Dragon Shire,Puns Upon a Time,WIN,22,2,9,11,0,11,56070,125773,23805,99582,5329,204,284,11879,53894,95626,19866,2,0,1,0,97374,11696,0,0,0,0,1,0,0,0,0,66038,38065,3,45929,141550,48,
9712,Amoosio#1450,Brightwing,Dragon Shire,Puns Upon a Time,WIN,22,2,9,11,0,11,11808,73213,27117,42613,2934,340,20,78301,0,19462,12439,3,0,2,0,97374,0,25,0,0,1,0,0,0,0,13966,8261,5009,2,45862,41120,52,
9712,Slakks#1809,Valla,Dragon Shire,Puns Upon a Time,WIN,22,5,8,13,0,12,70066,84137,24126,48474,22646,265,113,0,1760,27569,10414,3,0,4,0,97374,0,0,0,0,0,0,0,0,0,0,12664,38070,3,83069,89510,47,
9912,Glookie#1526,Garrosh,Infernal Shrines,Phoenix Rising Topaz,LOSS,21,1,19,20,3,15,31262,31114,7586,13999,11577,8121,214,0,16769,93036,10711,2,109,2,0,85846,0,15,0,0,0,2,0,2,0,0,63445,22295,5,36879,37593,36,
9912,Wrekt#1962,Tychus,Infernal Shrines,Phoenix Rising Topaz,LOSS,21,7,13,20,1,20,69296,98117,27321,51833,40354,12871,40,0,0,38935,10815,2,18,5,0,85846,0,0,0,0,0,1,1,0,0,0,21099,40243,5,60247,148245,38,
9912,Dandy#1890,Chen,Infernal Shrines,Phoenix Rising Topaz,LOSS,21,2,9,11,2,9,23023,70407,5498,49742,40315,8265,294,5295,50659,87428,13740,0,127,4,0,85846,4801,0,0,0,0,0,0,1,0,0,49261,16371,3,42997,100084,32,
9912,Slakks#1809,Gul'dan,Infernal Shrines,Phoenix Rising Topaz,LOSS,21,6,14,20,2,18,62990,120709,21759,69387,45021,15103,28,0,23058,36076,11264,2,127,4,0,85846,0,15,0,0,0,0,0,0,0,0,17070,25320,5,18339,211210,37,
9912,Ecoe#1661,Brightwing,Infernal Shrines,Phoenix Rising Topaz,LOSS,21,4,16,20,1,20,9961,21259,6577,10230,13800,2485,0,130554,0,32679,6308,2,65,6,0,85846,3641,27,0,0,1,0,0,0,0,22796,16023,4522,5,31805,13215,37,
9913,SHOGUNMISA#1360,Mephisto,Towers of Doom,Phoenix Rising Topaz,LOSS,21,3,5,8,6,5,82155,114541,21129,81663,13435,8061,152,0,3489,60141,14495,3,259,3,0,84343,0,0,22,22,0,3,1,2,0,0,39870,63017,1,18419,180221,39,
9913,Dr3w#1383,Anduin,Towers of Doom,Phoenix Rising Topaz,LOSS,21,0,8,8,3,5,26684,34135,12466,17555,3747,2591,23,61236,16020,33542,9426,4,141,4,0,84343,9606,0,18,18,3,0,0,1,0,9199,16163,12453,1,26447,32073,34,
9913,DieCello#1173,Malthael,Towers of Doom,Phoenix Rising Topaz,LOSS,21,3,2,5,6,2,31330,90647,2665,85089,14505,148,105,0,18268,56542,18435,1,270,2,0,84343,0,0,0,0,0,2,0,5,0,0,33374,11141,1,52814,73667,27,
9913,JonLots#1618,Zul'jin,Towers of Doom,Phoenix Rising Topaz,LOSS,21,3,6,9,4,5,85934,74609,30860,29563,17350,5908,178,0,24527,36450,7892,2,199,4,0,84343,0,0,0,0,0,4,0,1,0,0,18382,42513,1,103285,59468,32,
9913,Th3Backflip#1754,Garrosh,Towers of Doom,Phoenix Rising Topaz,LOSS,21,0,8,8,5,4,24170,17893,7253,9224,5057,1416,141,0,4390,59952,7523,3,202,2,0,84343,0,16,0,0,0,0,0,2,0,0,42567,14157,1,24816,18348,32,
9914,Glookie#1526,Johanna,Dragon Shire,Phoenix Rising Topaz,WIN,22,2,9,11,5,8,34200,76243,7896,63607,6103,464,154,0,29604,92451,11718,3,128,2,0,92340,0,0,0,0,0,4,1,2,0,0,75544,25419,2,27183,85632,29,
9914,Wrekt#1962,Azmodan,Dragon Shire,Phoenix Rising Topaz,WIN,22,3,9,12,1,8,66572,146422,37259,97951,1601,2043,32,0,0,14717,20152,3,36,3,0,92340,0,0,0,0,0,0,0,1,0,0,6828,19488,2,13298,200528,28,
9914,Dandy#1890,Chen,Dragon Shire,Phoenix Rising Topaz,WIN,22,4,4,8,2,7,62185,61577,8874,46506,13052,0,488,2758,59268,113759,16081,1,58,1,0,92340,2739,0,0,0,0,0,2,0,0,0,8582,3481,1,30423,86227,29,
9914,Slakks#1809,Cassia,Dragon Shire,Phoenix Rising Topaz,WIN,22,5,7,12,0,12,87004,87337,29720,38566,17779,670,0,0,2490,30606,10919,3,0,3,0,92340,0,0,0,0,0,1,0,0,0,0,20276,46831,2,51305,129033,33,
9914,Ecoe#1661,Malfurion,Dragon Shire,Phoenix Rising Topaz,WIN,22,1,6,7,4,4,9818,8214,815,3028,2592,363,80,53122,0,26792,3169,2,166,3,0,92340,0,0,32,32,5,0,0,0,0,12464,19710,5419,1,10268,9684,26,
10088,Glookie#1526,Johanna,Alterac Pass,DeepFriedMingBalls,WIN,18,2,14,16,2,14,23469,55761,15058,36252,10060,666,106,0,19257,66396,7238,4,72,2,0,64044,0,0,0,0,0,2,1,0,0,0,51271,19348,5,22720,64624,31,
10088,Wrekt#1962,Azmodan,Alterac Pass,DeepFriedMingBalls,WIN,18,4,17,21,0,21,47988,111436,40830,57383,16585,1240,51,0,0,15476,11732,4,0,3,0,64044,0,0,0,0,0,0,0,0,0,0,7205,9507,6,15175,157200,31,
10088,Dandy#1890,Chen,Alterac Pass,DeepFriedMingBalls,WIN,18,3,15,18,1,18,32094,47645,6407,39472,4715,1766,349,8382,38914,75472,10988,2,19,1,0,64044,8277,0,0,0,0,1,1,1,1,0,35288,18350,5,19057,59741,28,
10088,Slakks#1809,Hanzo,Alterac Pass,DeepFriedMingBalls,WIN,18,12,10,22,0,22,45586,61791,31412,26190,21753,3913,6,0,0,22894,7182,4,0,1,0,64044,0,0,0,0,0,1,0,0,0,0,10020,21745,6,71539,53182,26,
10088,Ecoe#1661,Anduin,Alterac Pass,DeepFriedMingBalls,WIN,18,1,19,20,1,18,10790,17089,10483,5273,9224,688,25,56021,2579,9933,3319,3,22,3,0,64044,0,0,13,13,4,0,0,0,0,5750,1750,5031,6,16625,19874,26,
10089,Glookie#1526,Muradin,Towers of Doom,DeepFriedMingBalls,WIN,22,3,11,14,1,12,39340,36888,3708,29566,5853,0,203,0,37809,116393,10229,2,26,3,0,91482,0,0,0,0,0,0,0,0,0,0,91428,35174,3,37497,42774,41,
10089,Wrekt#1962,Kel'Thuzad,Towers of Doom,DeepFriedMingBalls,WIN,22,5,8,13,0,13,73703,76988,16606,55884,14623,0,133,0,5229,24117,11222,2,0,4,0,91482,0,0,18,18,0,0,0,0,0,0,9863,40858,2,3961,156359,37,
