id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
14981,BeeMan#1107,Stitches,Dragon Shire,All Random All Middle-Aged,LOSS,21,1,6,7,3,5,26930,77658,8034,64717,7630,4,218,0,33091,114656,9431,3,127,6,0,87898,0,0,0,0,0,1,0,1,0,0,83463,18974,1,18738,93331,55,
14981,Silverbell#11333,Sonya,Dragon Shire,All Random All Middle-Aged,LOSS,21,1,2,3,3,2,32150,122229,15977,96169,14672,1,32,0,22346,58638,18137,1,183,1,0,87898,0,0,0,0,0,1,0,2,0,0,38245,12136,1,30574,136971,32,
14981,JustGarbage#11499,Tychus,Dragon Shire,All Random All Middle-Aged,LOSS,21,3,4,7,2,5,43472,115136,19793,82826,24977,0,22,0,0,31707,13167,3,94,8,0,87898,0,0,0,0,0,0,0,0,0,0,20730,17918,1,53685,129197,52,
14981,griZZly64#1354,Orphea,Dragon Shire,All Random All Middle-Aged,LOSS,21,2,5,7,4,5,47651,56004,11828,37950,22051,2,151,0,7838,33805,9513,3,154,7,0,87898,0,0,0,0,0,0,0,2,0,0,25288,34397,1,37164,90744,48,
14981,HowlinKnight#1546,Anduin,Dragon Shire,All Random All Middle-Aged,LOSS,21,0,7,7,0,7,20690,33806,7222,24278,10914,5,27,69213,5544,23639,7623,3,0,7,0,87898,0,0,20,20,2,1,0,0,0,12459,14086,11944,1,39470,26893,46,
14982,BeeMan#1107,Mei,Infernal Shrines,All Random All Middle-Aged,LOSS,26,4,12,16,4,7,54991,106917,9156,86360,31196,2518,670,0,46676,165186,17025,2,196,7,0,150755,0,0,0,0,0,0,2,3,0,90,111125,41052,5,60266,136354,67,
14982,Silverbell#11333,Sonya,Infernal Shrines,All Random All Middle-Aged,LOSS,26,2,12,14,6,8,46280,217540,5122,196073,79493,1107,26,0,39399,102864,35885,1,255,6,0,150755,0,0,0,0,0,3,1,2,0,0,59135,35471,5,58147,285159,62,
14982,JustGarbage#11499,Tassadar,Infernal Shrines,All Random All Middle-Aged,LOSS,26,3,14,17,0,17,84128,252301,21256,186042,62216,7447,1084,0,0,48507,22559,3,0,7,0,150755,0,0,0,0,0,0,0,0,0,24,17364,27873,5,43780,368551,67,
14982,griZZly64#1354,Valla,Infernal Shrines,All Random All Middle-Aged,LOSS,26,7,10,17,1,10,108150,130427,32395,75050,74284,3299,46,0,20559,56062,17292,3,44,8,0,150755,0,0,0,0,0,2,1,1,0,30,26721,55171,5,247852,81775,67,
14982,HowlinKnight#1546,Tyrande,Infernal Shrines,All Random All Middle-Aged,LOSS,26,0,16,16,3,6,37531,38576,12163,18044,18681,2697,18,145707,0,56393,11667,3,166,7,0,150755,0,0,0,0,2,1,0,0,1,24540,20512,10607,5,58890,40020,53,
