id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
9817,universe#11388,Brightwing,Dragon Shire,FF & the Pancakes,LOSS,20,0,3,3,5,2,8461,29785,0,27710,1302,0,0,47657,0,35120,5850,0,183,0,0,72749,0,27,0,0,0,0,0,2,0,11539,24390,5985,0,18440,21613,24,
9817,beefprime#1974,Lunara,Dragon Shire,FF & the Pancakes,LOSS,20,2,0,2,2,1,46294,75810,4827,61977,9898,0,170,0,5099,22101,11005,0,88,2,0,72749,0,0,0,0,0,2,1,2,0,0,14910,21830,0,50637,76894,29,
9817,Homer#22518,Jaina,Dragon Shire,FF & the Pancakes,LOSS,20,0,2,2,3,1,27779,70119,3030,47907,20888,0,2133,0,0,20414,8257,0,115,1,0,72749,0,0,33,33,0,0,0,1,0,0,11667,14046,0,7480,114289,24,
9817,icer189#1860,Stitches,Dragon Shire,FF & the Pancakes,LOSS,20,0,2,2,4,1,19768,50096,1147,46007,6225,0,1476,0,19630,66667,7657,0,163,3,0,72749,0,0,0,0,0,0,0,1,0,0,57302,10365,0,11611,60313,27,
9817,PeanutButter#1794,Malthael,Dragon Shire,FF & the Pancakes,LOSS,20,2,1,3,4,2,31645,131916,262,113657,5647,0,115,0,21661,51326,17300,0,188,1,0,72749,0,0,0,0,0,2,0,2,0,0,33491,18899,0,60503,103946,32,
9818,universe#11388,Xul,Towers of Doom,FF & the Pancakes,WIN,23,2,12,14,3,5,44871,154704,8611,134048,29224,5146,31,0,11898,46822,24879,0,120,4,0,108226,0,0,31,31,0,0,0,2,0,0,27494,12301,3,130459,98340,40,
9818,beefprime#1974,Kael'thas,Towers of Doom,FF & the Pancakes,WIN,23,9,13,22,0,22,63030,135865,18038,89955,14011,5088,29,0,0,19478,18000,2,0,4,0,108226,0,0,0,0,0,0,0,0,0,0,8205,30860,7,16086,195806,36,
9818,Homer#22518,Rehgar,Towers of Doom,FF & the Pancakes,WIN,23,3,19,22,1,11,23018,34495,4316,27356,16828,2399,1320,87289,2105,57797,12419,2,56,5,0,108226,0,0,0,0,1,1,0,1,0,15080,32744,13763,7,40043,33976,41,
9818,icer189#1860,E.T.C.,Towers of Doom,FF & the Pancakes,WIN,23,4,16,20,1,14,17143,24393,3122,17883,3095,1666,26,2596,27460,63326,10823,1,65,2,0,108226,0,0,0,0,0,0,0,1,0,964,44098,13506,6,24612,19694,29,
9818,PeanutButter#1794,Tychus,Towers of Doom,FF & the Pancakes,WIN,23,4,17,21,3,10,51936,65227,7350,46896,24382,2958,24,0,0,39127,12616,2,143,5,0,108226,0,0,0,0,0,1,1,1,0,0,25386,28699,6,44510,96912,38,
9819,universe#11388,Stukov,Alterac Pass,FF & the Pancakes,WIN,25,1,10,11,3,5,18850,20939,5662,9514,43025,226,396,107293,0,42032,7895,3,153,9,0,133409,0,18,0,0,3,1,0,1,0,18623,28996,5805,2,58785,23134,31,
9819,beefprime#1974,Lunara,Alterac Pass,FF & the Pancakes,WIN,25,7,4,11,0,11,69929,225459,42274,136075,60047,2857,188,0,0,29275,24302,4,0,5,0,133409,0,0,0,0,0,0,0,0,0,0,12346,23889,2,134920,231902,38,
9819,Homer#22518,Jaina,Alterac Pass,FF & the Pancakes,WIN,25,1,9,10,1,10,59823,139387,29216,90363,94835,1292,2429,0,0,26744,14503,3,65,7,0,133409,0,0,27,27,0,2,0,0,0,0,13330,27749,2,34000,268130,39,
9819,icer189#1860,Blaze,Alterac Pass,FF & the Pancakes,WIN,25,0,10,10,3,5,45687,72470,14666,51206,39656,2231,1005,0,16231,86462,8420,4,186,6,0,133409,0,0,0,0,0,1,0,0,0,0,59482,24832,2,34013,116611,27,
9819,PeanutButter#1794,Malthael,Alterac Pass,FF & the Pancakes,WIN,25,2,8,10,4,4,53251,124490,4216,106996,56875,84,120,0,27030,69069,18988,2,207,5,0,133409,0,0,0,0,0,1,0,0,0,0,40276,25984,2,85293,156262,41,
9940,universe#11388,Li-Ming,Dragon Shire,Bunker Fun Time,LOSS,21,1,5,6,1,4,53591,121262,13703,79734,7891,19286,0,0,0,16962,10980,0,40,2,0,84095,0,0,0,0,0,0,0,0,0,0,7432,17829,1,17400,181534,25,
9940,beefprime#1974,Lunara,Dragon Shire,Bunker Fun Time,LOSS,21,4,3,7,0,7,46719,161565,0,117393,15081,6955,218,0,0,24707,15674,0,0,2,0,84095,0,0,0,0,0,1,0,0,0,0,15596,24957,1,85234,165554,37,
9940,icer189#1860,Blaze,Dragon Shire,Bunker Fun Time,LOSS,21,0,7,7,3,4,21600,54609,9356,39310,11551,5161,558,0,14718,59076,7919,1,134,3,0,84095,0,0,0,0,0,1,0,2,0,0,44056,13533,1,36699,51120,27,
9940,PeanutButter#1794,Malthael,Dragon Shire,Bunker Fun Time,LOSS,21,3,4,7,4,4,57573,109120,4138,92143,19006,1932,232,0,35138,64631,17464,1,181,2,0,84095,0,0,0,0,0,2,0,4,1,0,32392,24531,1,68952,121875,30,
9940,Jame#11938,Lúcio,Dragon Shire,Bunker Fun Time,LOSS,21,0,7,7,2,5,27580,34505,3883,24722,2883,2566,6,38670,17387,41363,6685,1,101,1,0,84095,0,0,0,0,3,0,0,1,0,11559,29751,18926,1,48934,26731,26,
9941,universe#11388,Tassadar,Braxis Holdout,Bunker Fun Time,WIN,18,2,6,8,1,5,35112,101807,25243,68599,12081,0,150,0,1707,18558,9382,3,40,6,0,64245,0,0,0,0,0,0,0,0,0,0,7846,9419,1,18164,132974,31,
9941,beefprime#1974,Zul'jin,Braxis Holdout,Bunker Fun Time,WIN,18,5,6,11,0,11,53772,59400,30966,27162,20676,0,186,0,18627,18711,7648,3,0,4,0,64245,0,0,0,0,0,0,0,0,0,0,7393,23286,2,71053,61766,28,
9941,icer189#1860,Stitches,Braxis Holdout,Bunker Fun Time,WIN,18,1,10,11,0,11,25526,33964,9440,21514,10940,0,1479,0,13968,34661,5854,4,0,5,0,64245,0,0,0,0,0,0,0,0,0,0,19524,15239,2,14667,55435,32,
9941,PeanutButter#1794,Malthael,Braxis Holdout,Bunker Fun Time,WIN,18,5,3,8,3,6,38944,71617,1162,65577,13959,0,127,0,19955,44791,11329,0,100,3,0,64245,0,0,0,0,0,1,1,2,1,0,18277,13708,1,46893,91571,22,
9941,Jame#11938,Brightwing,Braxis Holdout,Bunker Fun Time,WIN,18,0,6,6,1,3,7820,16568,3803,12765,5679,0,0,55807,0,18642,3868,3,40,2,0,64245,0,22,0,0,0,0,0,0,0,6156,9284,2481,0,17275,14146,26,
9942,universe#11388,Xul,Towers of Doom,Bunker Fun Time,LOSS,20,0,5,5,3,3,44312,169994,2845,158901,15999,8248,36,0,10662,40315,27077,0,106,2,0,75862,0,0,36,36,0,2,0,2,1,0,33457,31887,2,165013,62769,46,
9942,beefprime#1974,Lunara,Towers of Doom,Bunker Fun Time,LOSS,20,5,2,8,1,5,82538,64778,4497,45662,4596,10129,274,0,9713,34822,8823,0,29,1,0,75862,0,0,0,0,0,2,0,0,0,0,24069,42519,2,59719,84392,21,
9942,icer189#1860,Blaze,Towers of Doom,Bunker Fun Time,LOSS,20,1,5,6,3,4,26102,29657,5448,19026,4476,3282,450,0,6660,68331,4617,0,141,3,0,75862,0,0,0,0,0,1,0,1,1,0,53161,18434,1,21156,37183,21,
9942,PeanutButter#1794,Tychus,Towers of Doom,Bunker Fun Time,LOSS,20,1,6,7,1,7,45937,46640,3718,31805,21782,2563,18,0,0,39151,6550,0,62,4,0,75862,0,0,0,0,0,0,0,1,0,0,24545,28531,1,32990,75576,21,
9942,Jame#11938,Brightwing,Towers of Doom,Bunker Fun Time,LOSS,20,0,7,7,2,3,10072,27257,515,21024,4898,4097,0,91039,0,38603,5752,0,58,2,0,75862,0,33,0,0,3,3,0,1,0,16614,22142,5785,1,23614,17520,21,
10108,universe#11388,Lúcio,Battlefield of Eternity,The Nine Avatara,WIN,21,2,14,16,1,9,20466,19322,4712,12108,13559,0,91,99310,1449,42979,8943,3,40,2,0,85870,0,0,0,0,2,2,0,0,0,18994,26636,9469,4,36863,13306,29,
10108,beefprime#1974,Lunara,Battlefield of Eternity,The Nine Avatara,WIN,21,4,10,14,1,13,59202,95978,20596,58393,10624,0,230,0,8104,30816,14409,3,24,0,0,85870,0,0,0,0,0,1,0,0,0,0,8666,14985,4,73704,88389,34,
10108,icer189#1860,Stitches,Battlefield of Eternity,The Nine Avatara,WIN,21,4,11,15,2,15,33104,24135,7476,14472,24061,0,1989,0,31617,78973,9400,3,41,5,0,85870,0,0,0,0,0,1,1,1,0,30,53408,22127,4,18596,59087,25,
10108,PeanutButter#1794,Raynor,Battlefield of Eternity,The Nine Avatara,WIN,21,2,10,12,3,7,26688,51528,16946,28742,62362,0,36,0,6119,33981,10547,2,93,4,0,85870,0,0,0,0,0,0,1,0,0,30,17665,12956,4,135756,37643,29,
10108,GhengisKhan#11306,Tassadar,Battlefield of Eternity,The Nine Avatara,WIN,21,5,11,16,1,16,56073,109015,30801,65673,48167,0,257,0,0,29162,14505,3,17,2,0,85870,0,0,0,0,0,0,1,0,0,0,14003,26026,4,32072,174960,35,
10109,universe#11388,Lúcio,Braxis Holdout,The Nine Avatara,WIN,18,0,4,4,1,4,18593,12913,2184,8892,7825,1125,0,100838,3186,38409,3177,1,29,3,0,66100,0,0,0,0,0,0,0,0,0,16702,24053,12498,2,22796,16711,24,
10109,beefprime#1974,Zul'jin,Braxis Holdout,The Nine Avatara,WIN,18,2,3,5,1,4,59194,65433,9732,42371,13764,4498,262,0,15542,29457,9161,1,29,4,0,66100,0,0,0,0,0,0,1,1,0,0,18696,32547,2,65187,73102,31,
10109,icer189#1860,Blaze,Braxis Holdout,The Nine Avatara,WIN,18,0,5,5,0,5,20533,19201,6829,9241,12604,1373,416,0,13126,62662,5259,1,0,7,0,66100,0,0,0,0,0,1,0,0,0,0,43872,18264,2,19675,32663,29,
10109,PeanutButter#1794,Tassadar,Braxis Holdout,The Nine Avatara,WIN,18,1,4,5,0,5,37597,70952,3360,62066,18771,1215,142,0,3789,24302,7802,1,0,7,0,66100,0,0,0,0,0,0,0,0,0,0,9922,17250,2,18550,128457,28,
10109,GhengisKhan#11306,Sonya,Braxis Holdout,The Nine Avatara,WIN,18,1,3,4,1,4,34189,90380,16019,74087,26436,77,20,0,15049,37839,12676,1,32,6,0,66100,0,0,0,0,0,0,0,0,0,0,11400,12736,2,28299,137961,26,
10285,universe#11388,Lúcio,Towers of Doom,Protectors of Aiur,WIN,23,1,13,14,3,11,20051,27704,3336,22399,5305,793,53,85852,659,30946,9849,3,80,2,0,111767,0,0,0,0,1,0,0,0,0,15159,17974,15793,5,33933,18773,24,
10285,beefprime#1974,Zul'jin,Towers of Doom,Protectors of Aiur,WIN,23,8,7,15,1,14,87778,96960,26446,60994,35403,2948,338,0,28225,29078,19168,4,23,3,0,111767,0,0,0,0,0,0,1,1,0,0,16378,46569,5,102437,115611,25,
10285,icer189#1860,Mei,Towers of Doom,Protectors of Aiur,WIN,23,1,13,14,6,11,25968,30616,5728,17426,6871,1474,700,0,24392,77366,9002,3,159,2,0,111767,0,0,0,0,0,1,0,5,1,0,57334,17206,5,24123,38654,19,
10285,PeanutButter#1794,Tassadar,Towers of Doom,Protectors of Aiur,WIN,23,4,8,12,2,10,58436,124220,20928,93971,18844,1720,194,0,8558,36328,18494,4,48,3,0,111767,0,0,0,0,0,0,1,0,0,0,17902,28795,4,20616,180311,27,
10285,Slapdasher#1895,Deathwing,Towers of Doom,Protectors of Aiur,WIN,23,1,9,10,1,9,27559,164539,15436,123835,2115,13158,100,0,26276,50600,25633,2,22,0,0,111767,0,0,0,0,0,0,0,1,0,0,19682,9710,2,31031,160663,35,
10286,universe#11388,Lúcio,Braxis Holdout,Protectors of Aiur,LOSS,14,0,1,1,2,1,11465,11826,0,10078,1791,0,20,44149,727,27277,2137,0,64,1,0,41413,0,0,0,0,1,0,0,0,0,8431,16645,6784,0,18753,9475,18,
10286,beefprime#1974,Kael'thas,Braxis Holdout,Protectors of Aiur,LOSS,14,0,2,2,1,1,36761,58249,2158,47190,4816,0,12,0,0,9302,6560,0,20,0,0,41413,0,0,0,0,0,0,0,0,0,0,4270,12347,0,10776,99190,18,
10286,icer189#1860,E.T.C.,Braxis Holdout,Protectors of Aiur,LOSS,14,1,2,3,3,2,9701,12235,0,10462,2986,0,12,0,18327,48694,3224,0,78,1,0,41413,0,0,0,0,0,0,0,2,0,0,40631,8575,0,14139,16782,13,
10286,PeanutButter#1794,Malthael,Braxis Holdout,Protectors of Aiur,LOSS,14,0,1,1,2,1,29492,15977,0,15977,5342,0,95,0,11952,35023,2884,0,52,1,0,41413,0,0,0,0,0,1,0,1,0,0,24121,20562,0,14496,44577,13,
10286,Slapdasher#1895,Cassia,Braxis Holdout,Protectors of Aiur,LOSS,14,2,0,2,2,1,20550,62076,4503,49904,3398,0,192,0,9359,25213,9778,0,62,1,0,41413,0,0,0,0,0,0,0,1,0,0,6481,3128,0,35086,68431,25,
10287,universe#11388,Lt. Morales,Infernal Shrines,Protectors of Aiur,LOSS,18,0,4,4,2,3,10129,27227,0,15729,9477,3662,0,53981,16199,30119,4784,0,88,3,0,64723,0,0,0,0,1,1,0,0,0,11102,20140,5832,0,22128,26470,30,
10287,beefprime#1974,Valla,Infernal Shrines,Protectors of Aiur,LOSS,18,3,0,3,2,2,58479,83561,800,55781,15879,12160,85,0,2516,27802,7734,0,85,2,0,64723,0,0,0,0,0,1,0,0,0,0,16535,37278,0,69404,92640,25,
10287,icer189#1860,Mei,Infernal Shrines,Protectors of Aiur,LOSS,18,0,3,3,3,2,20844,27973,0,16951,14177,2951,521,0,21522,75056,3921,0,124,3,0,64723,0,0,0,0,0,0,0,1,0,0,64475,16022,0,23326,40427,27,
10287,PeanutButter#1794,Tassadar,Infernal Shrines,Protectors of Aiur,LOSS,18,0,3,3,4,1,31224,105430,0,79048,21274,8782,120,0,8633,31650,9703,0,150,4,0,64723,0,0,0,0,0,0,0,3,0,0,17470,14169,0,21529,140807,29,
