id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
5314,Zakncnp#1572,Deckard,Battlefield of Eternity,Cool Cats and Kittens,LOSS,17,1,3,4,2,4,15957,24751,2042,18472,4444,50,228,42242,7964,27291,4172,0,68,0,0,56340,4790,0,52,52,1,0,0,1,0,5267,17307,7576,0,7808,39271,16,
5314,Gekko#21317,Artanis,Battlefield of Eternity,Cool Cats and Kittens,LOSS,17,1,5,6,4,2,33436,62931,8263,51673,23210,25,0,0,14560,52566,13148,0,148,1,0,56340,0,0,0,0,0,0,0,2,0,0,29108,14623,0,67839,62399,23,
5314,Maharba#1967,Raynor,Battlefield of Eternity,Cool Cats and Kittens,LOSS,17,3,1,4,1,4,30551,45141,413,34867,42551,275,58,0,9873,27920,10088,0,24,1,0,56340,0,0,0,0,0,0,1,1,0,0,15557,16461,0,116616,31068,21,
5314,Salty#1358,Sylvanas,Battlefield of Eternity,Cool Cats and Kittens,LOSS,17,0,4,4,1,4,45865,32426,1009,29849,19653,50,0,0,0,26362,6289,0,24,1,0,56340,0,25,0,0,0,1,0,0,0,0,15312,23004,0,29284,73034,18,
5314,universe#11388,Muradin,Battlefield of Eternity,Cool Cats and Kittens,LOSS,17,0,3,3,4,2,13982,6791,378,6413,2047,0,105,0,25557,74418,3696,0,137,0,0,56340,0,0,0,0,0,1,0,0,0,0,60148,10358,0,9573,16054,18,
5315,Zakncnp#1572,Ana,Hanamura Temple,Cool Cats and Kittens,LOSS,18,1,5,6,3,5,15623,7368,0,1878,9392,1578,129,38697,5311,16326,2953,0,128,5,1,62477,0,0,0,0,0,0,0,1,0,4672,9823,5080,0,8099,22458,25,
5315,Gekko#21317,Lunara,Hanamura Temple,Cool Cats and Kittens,LOSS,18,2,4,6,3,3,42143,61415,0,32933,20374,1538,180,0,0,26604,7481,0,118,5,2,62477,0,0,0,0,0,0,1,1,0,0,19355,25391,0,36180,73328,26,
5315,Maharba#1967,Rexxar,Hanamura Temple,Cool Cats and Kittens,LOSS,18,2,4,6,4,4,25223,71858,6119,62815,1410,400,170,0,14580,63348,11117,1,166,1,0,62477,0,0,0,0,0,0,0,1,0,0,26601,12999,0,39274,58107,44,
5315,universe#11388,Johanna,Hanamura Temple,Cool Cats and Kittens,LOSS,18,2,4,6,2,5,20305,28679,90,21224,4275,849,89,0,25704,71011,6054,0,96,2,1,62477,0,0,0,0,0,0,0,2,0,0,58529,16943,0,16182,34008,24,
5315,PeanutButter#1794,Kael'thas,Hanamura Temple,Cool Cats and Kittens,LOSS,18,0,5,5,2,4,45126,39527,0,27089,19956,4296,29,0,1072,21717,6608,0,96,6,2,62477,0,0,0,0,0,0,0,0,0,0,13444,16785,0,11659,88086,29,
5418,Zakncnp#1572,Deckard,Battlefield of Eternity,Clouded Minds,LOSS,15,0,6,6,1,3,14969,18767,226,15838,2347,0,222,27837,5452,11459,3742,0,26,1,0,49065,4611,0,43,43,1,1,0,0,0,5766,7577,6013,1,4732,32697,14,
5418,Gekko#21317,Tychus,Battlefield of Eternity,Clouded Minds,LOSS,15,2,3,5,4,3,26072,17640,3330,13780,18888,0,0,0,0,21744,4560,0,123,2,0,49065,0,0,0,0,0,0,0,0,0,0,15060,18571,1,31322,35421,14,
5418,Maharba#1967,Rexxar,Battlefield of Eternity,Clouded Minds,LOSS,15,3,3,6,3,3,25373,57091,169,51989,9217,0,178,0,15485,49803,11085,0,73,1,0,49065,0,0,0,0,0,0,1,2,0,0,28142,14501,1,41914,53414,45,
5418,universe#11388,Johanna,Battlefield of Eternity,Clouded Minds,LOSS,15,1,5,6,2,3,19068,28397,2109,24559,5874,0,82,0,9407,45996,4749,0,61,1,0,49065,0,0,0,0,0,2,0,0,0,0,40214,17128,1,15120,41419,15,
5418,GhengisKhan#11306,Tassadar,Battlefield of Eternity,Clouded Minds,LOSS,15,1,5,6,2,3,39216,54477,4259,39691,18577,0,153,0,8987,27631,8582,0,61,2,0,49065,0,0,0,0,0,0,1,1,0,0,21762,22498,1,21087,108275,17,
5419,Zakncnp#1572,Uther,Towers of Doom,Clouded Minds,LOSS,15,0,3,3,3,1,6916,35492,5727,22010,1025,237,20,18313,1186,27223,5713,2,83,1,0,45647,0,0,0,0,0,1,0,1,0,2859,14068,5039,0,13799,29227,22,
5419,Maharba#1967,Thrall,Towers of Doom,Clouded Minds,LOSS,15,1,1,2,5,2,18678,50690,4634,42827,0,3229,19,0,11573,33432,8910,1,142,0,0,45647,0,0,15,15,0,0,0,4,0,0,16679,9670,0,39565,26895,17,
5419,Salty#1358,Chromie,Towers of Doom,Clouded Minds,LOSS,15,1,3,4,4,1,29206,35272,9187,19466,3351,1369,33,0,0,12950,5162,3,105,1,0,45647,0,0,0,0,0,0,0,2,0,0,7934,9113,0,14189,53147,19,
5419,universe#11388,E.T.C.,Towers of Doom,Clouded Minds,LOSS,15,0,4,4,5,1,9190,17182,3255,11726,0,2049,12,0,6218,33186,3208,1,123,0,0,45647,0,0,0,0,0,0,0,3,0,0,28352,8179,0,11609,14602,17,
5419,PeanutButter#1794,Tychus,Towers of Doom,Clouded Minds,LOSS,15,2,1,3,2,1,33258,58098,10132,40352,2988,3079,0,0,2433,23798,6442,3,48,1,0,45647,0,0,0,0,0,0,0,1,0,0,14430,23422,0,29588,64145,20,
