id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
6958,Megumilk#11309,Chen,Battlefield of Eternity,Waiting On Cherry,LOSS,17,0,3,3,1,3,21208,57736,3822,46114,9585,172,109,0,30922,57408,10848,0,50,1,0,58424,0,0,17,17,0,1,1,0,1,0,26570,10724,1,29383,66027,28,
6958,Jaxtaxman#1685,Tyrande,Battlefield of Eternity,Waiting On Cherry,LOSS,17,0,5,5,1,5,32032,21151,3971,12528,11080,62,183,29565,0,10610,5294,0,24,5,0,58424,0,0,0,0,2,0,0,1,0,4695,6796,7666,1,20299,44250,22,
6958,BlueSpaceHat#1108,Anub'arak,Battlefield of Eternity,Waiting On Cherry,LOSS,17,2,3,5,4,4,16989,18963,3383,15066,7068,0,420,0,12344,48811,7103,0,138,1,0,58424,0,0,0,0,0,0,0,3,0,0,40812,9976,1,16262,27493,28,
6958,GiggleShmack#1927,Hanzo,Battlefield of Eternity,Waiting On Cherry,LOSS,17,2,3,5,2,5,34921,33325,4622,24833,44758,0,8,0,0,10555,6646,0,49,4,0,58424,0,0,0,0,0,0,1,0,0,0,7490,11651,1,43242,83200,21,
6958,RedFaceBeast#1288,Kerrigan,Battlefield of Eternity,Waiting On Cherry,LOSS,17,1,4,5,2,5,28410,46022,2267,39975,24703,645,17,0,29699,31790,10526,0,72,5,0,58424,0,0,0,0,0,2,0,2,0,0,24781,25302,1,51069,49150,33,
6959,Megumilk#11309,Sonya,Volskaya Foundry,Waiting On Cherry,WIN,23,6,3,9,0,9,59665,196316,62059,129312,28810,537,24,0,15002,67793,21553,4,0,7,0,109826,0,0,0,0,0,0,0,0,0,3351,47919,43410,1,49686,235917,51,
6959,Jaxtaxman#1685,Deckard,Volskaya Foundry,Waiting On Cherry,WIN,23,0,11,11,1,10,7436,27442,10336,14855,6923,0,79,46815,5493,13231,7648,4,20,9,0,109826,4817,0,6,6,0,0,0,1,0,3579,7841,1124,1,14166,28615,50,
6959,BlueSpaceHat#1108,Anub'arak,Volskaya Foundry,Waiting On Cherry,WIN,23,1,10,11,1,7,23288,35101,13994,18056,461,179,725,0,25308,75865,7838,4,65,4,0,109826,0,0,0,0,0,0,0,1,0,1190,61938,17674,1,24504,35079,54,
6959,GiggleShmack#1927,Orphea,Volskaya Foundry,Waiting On Cherry,WIN,23,3,8,11,3,10,56557,110627,29582,74574,19166,0,169,5621,11226,21370,14221,3,74,8,0,109826,5349,0,0,0,0,0,1,3,0,0,14533,38461,1,57255,141011,60,
6959,RedFaceBeast#1288,Greymane,Volskaya Foundry,Waiting On Cherry,WIN,23,1,10,11,1,10,55920,108819,39012,64039,47520,255,18,0,0,26480,15003,4,22,12,0,109826,0,0,0,0,0,0,0,1,0,0,18279,34302,1,124442,89202,58,
6960,Megumilk#11309,Deathwing,Infernal Shrines,Waiting On Cherry,LOSS,20,3,6,9,2,6,32926,96238,2886,79059,8915,367,80,0,13769,41465,13652,0,106,3,0,72235,0,0,0,0,0,0,0,1,0,0,26583,22726,2,19443,116336,24,
6960,Jaxtaxman#1685,Deckard,Infernal Shrines,Waiting On Cherry,LOSS,20,2,7,9,1,9,8199,18315,1952,12443,8170,386,86,31899,6046,10847,5732,1,21,6,0,72235,4781,0,10,10,1,0,0,0,0,569,4831,1815,2,9682,25967,29,
6960,BlueSpaceHat#1108,Anub'arak,Infernal Shrines,Waiting On Cherry,LOSS,20,1,8,9,4,4,14255,18739,4932,10517,4148,155,103,0,8180,51397,6102,1,119,4,0,72235,0,0,0,0,0,0,0,0,0,0,39222,10523,2,21749,17034,29,
6960,GiggleShmack#1927,Jaina,Infernal Shrines,Waiting On Cherry,LOSS,20,2,6,8,2,6,27575,102090,9999,73298,38286,66,368,0,0,16962,10087,1,106,5,0,72235,0,0,0,0,0,1,0,0,0,0,8112,13743,2,13486,158571,32,
6960,RedFaceBeast#1288,Sylvanas,Infernal Shrines,Waiting On Cherry,LOSS,20,1,8,9,2,6,23393,59059,8794,40588,12519,81,7,0,0,20422,11554,1,88,4,0,72235,0,7,0,0,0,0,0,0,0,0,10753,12541,2,43989,55088,29,
7240,Megumilk#11309,Sonya,Volskaya Foundry,The Core Bouncers,LOSS,22,1,5,6,2,5,43785,145568,34584,104445,22556,801,44,626,7223,51486,15883,2,127,8,0,102160,626,0,0,0,0,0,0,2,0,3594,38023,35529,2,45584,178868,50,
7240,Jaxtaxman#1685,Deckard,Volskaya Foundry,The Core Bouncers,LOSS,22,0,7,7,0,7,14870,27792,4785,18251,7891,721,189,81117,0,15868,7712,1,0,9,0,102160,0,0,34,34,1,0,0,0,0,7589,9422,3810,2,8520,42711,50,
7240,BlueSpaceHat#1108,Johanna,Volskaya Foundry,The Core Bouncers,LOSS,22,0,7,7,3,5,28269,78145,5068,66546,2017,710,104,0,23241,113234,11169,2,171,7,0,102160,0,0,0,0,0,1,0,0,1,0,91338,25422,2,23713,83862,49,
7240,GiggleShmack#1927,Li-Ming,Volskaya Foundry,The Core Bouncers,LOSS,22,4,2,6,0,6,90124,147693,34175,97592,32164,897,32,0,0,10020,12897,2,0,9,0,102160,0,0,0,0,0,0,0,0,0,0,5865,31906,2,17486,268367,54,
7240,RedFaceBeast#1288,Greymane,Volskaya Foundry,The Core Bouncers,LOSS,22,2,5,7,3,5,49814,58670,7253,44114,63190,1004,12,0,0,36218,12124,2,180,14,0,102160,0,0,0,0,0,0,0,3,0,0,27298,32930,2,125639,45857,46,
7241,Megumilk#11309,Sonya,Cursed Hollow,The Core Bouncers,WIN,22,3,10,13,1,13,27003,171171,51633,85915,43868,0,14,0,6272,33146,16026,6,65,6,0,102161,0,0,0,0,0,0,0,1,0,0,17486,17121,3,44940,194246,40,
7241,Jaxtaxman#1685,Tyrande,Cursed Hollow,The Core Bouncers,WIN,22,1,14,15,0,15,24016,27104,17547,3042,12436,0,174,29280,0,18958,6088,5,0,8,5,102161,0,0,0,0,1,1,0,0,0,2156,7992,6783,3,32190,28990,39,
7241,BlueSpaceHat#1108,Anub'arak,Cursed Hollow,The Core Bouncers,WIN,22,1,15,16,2,7,24908,38237,17775,14360,4411,0,154,0,24086,56357,8251,6,82,4,4,102161,0,0,0,0,0,1,0,1,1,0,42682,17080,3,38928,26671,35,
7241,GiggleShmack#1927,Hanzo,Cursed Hollow,The Core Bouncers,WIN,22,5,11,16,0,16,45224,106041,36680,43126,69509,0,13,0,0,14292,10331,5,0,10,2,102161,0,0,0,0,0,0,0,0,0,0,6259,12967,3,78404,138554,39,
7241,RedFaceBeast#1288,Kerrigan,Cursed Hollow,The Core Bouncers,WIN,22,6,9,15,3,12,39112,84192,22300,47010,12307,0,18,0,35434,33552,13035,4,186,4,1,102161,0,0,0,0,0,0,1,2,0,0,24487,27950,3,63676,70534,40,
7242,Megumilk#11309,Malthael,Braxis Holdout,The Core Bouncers,WIN,16,5,7,12,0,12,28048,57289,5839,46982,7941,3767,97,0,11770,27096,10014,1,0,4,0,52807,0,0,0,0,0,0,0,0,0,0,13913,15306,3,36511,57186,27,
7242,Jaxtaxman#1685,Deckard,Braxis Holdout,The Core Bouncers,WIN,16,0,12,12,0,12,8595,13280,3736,6484,1606,1454,80,51721,0,7423,2973,2,0,4,0,52807,0,0,18,18,2,0,0,0,0,3222,1847,2489,3,3538,18277,23,
7242,BlueSpaceHat#1108,E.T.C.,Braxis Holdout,The Core Bouncers,WIN,16,1,10,11,3,6,13536,14834,8069,5732,3199,1033,23,0,13709,57641,4436,2,103,3,0,52807,0,0,0,0,0,0,0,0,0,0,44188,10653,3,17358,12740,28,
7242,GiggleShmack#1927,Jaina,Braxis Holdout,The Core Bouncers,WIN,16,3,7,10,2,5,35562,84676,25340,51874,16738,1241,461,0,0,20291,6464,1,73,3,0,52807,0,0,0,0,0,3,0,1,2,0,14917,21916,3,6099,122801,29,
7242,RedFaceBeast#1288,Raynor,Braxis Holdout,The Core Bouncers,WIN,16,3,9,12,1,12,32375,51959,28200,17802,11025,1578,110,0,3479,19508,7297,3,44,5,0,52807,0,0,0,0,0,0,0,1,0,0,11743,15755,4,77790,26251,30,
7313,Megumilk#11309,Imperius,Battlefield of Eternity,Puns Upon a Time,WIN,20,1,15,16,1,16,29494,32668,12035,17583,26825,1073,60,0,19492,39674,9903,3,65,6,0,76482,0,0,0,0,0,0,0,0,0,0,25557,20026,4,45447,43571,26,
7313,Jaxtaxman#1685,Tyrande,Battlefield of Eternity,Puns Upon a Time,WIN,20,5,12,17,0,17,15872,16856,6958,8379,14441,240,139,43325,0,18827,7381,3,0,5,0,76482,0,0,0,0,0,0,0,0,0,2920,5918,3260,4,29936,18345,31,
7313,BlueSpaceHat#1108,Garrosh,Battlefield of Eternity,Puns Upon a Time,WIN,20,1,15,16,1,10,12282,20552,9236,8363,2182,392,85,0,6691,48178,8547,3,36,1,0,76482,0,14,0,0,0,1,0,1,0,0,28302,7848,4,25109,9402,28,
7313,GiggleShmack#1927,Hanzo,Battlefield of Eternity,Puns Upon a Time,WIN,20,4,13,17,0,17,40644,72970,18750,44972,99342,1824,17,0,0,9429,9713,3,0,6,0,76482,0,0,0,0,0,0,0,0,0,0,3614,7074,4,77167,136653,31,
7313,RedFaceBeast#1288,Kerrigan,Battlefield of Eternity,Puns Upon a Time,WIN,20,6,11,17,0,17,45627,87727,4408,72892,12804,1836,31,0,47652,37816,15256,2,0,3,0,76482,0,0,0,0,0,0,0,0,0,0,14133,21194,4,72468,70254,30,
