id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
6958,Daxx#11350,Raynor,Battlefield of Eternity,VibeCheque,WIN,19,2,7,9,2,6,29183,75710,28275,29184,53653,7794,26,0,4960,24497,9670,3,98,5,0,69458,0,0,0,0,0,0,1,1,0,0,11654,14179,1,155216,41657,30,
6958,MrPotatoHead#11118,Li-Ming,Battlefield of Eternity,VibeCheque,WIN,19,4,6,10,1,6,32486,64391,19212,29554,37363,11812,0,0,0,16957,7768,3,36,4,0,69458,0,0,0,0,0,0,0,1,0,0,10912,20899,1,23120,116155,32,
6958,Discord#12591,Leoric,Battlefield of Eternity,VibeCheque,WIN,19,0,4,4,0,4,9915,75248,2500,61188,2132,2512,40,0,13499,34506,14034,2,0,1,0,69458,0,0,0,0,0,0,0,0,0,0,13139,3059,1,33365,52420,24,
6958,dthPUNISH3R#1315,Stukov,Battlefield of Eternity,VibeCheque,WIN,19,2,8,10,1,6,16550,16345,6799,4476,21259,2809,318,55858,0,20487,5854,3,36,6,0,69458,0,63,0,0,1,0,0,1,0,4550,8596,6945,1,42235,16489,29,
6958,Dcherrywood#1927,Varian,Battlefield of Eternity,VibeCheque,WIN,19,1,9,10,1,6,18980,31327,7597,18134,10393,3869,47,0,30057,69322,7851,3,36,3,0,69458,0,17,0,0,0,1,0,1,0,0,52034,11763,1,25409,35350,31,
6959,Daxx#11350,Tychus,Volskaya Foundry,VibeCheque,LOSS,22,1,5,6,1,6,42137,107298,25033,69235,46479,6351,40,0,0,28072,11064,1,65,11,0,100336,0,0,0,0,0,0,0,1,0,0,22487,25465,1,60264,137434,45,
6959,MrPotatoHead#11118,Junkrat,Volskaya Foundry,VibeCheque,LOSS,22,1,5,6,0,6,68880,154470,15016,116153,28051,13697,89,0,0,19880,16617,2,0,10,0,100336,0,0,2,2,0,1,0,0,0,1499,11558,29701,1,79211,169530,55,
6959,Discord#12591,Leoric,Volskaya Foundry,VibeCheque,LOSS,22,2,3,5,3,4,23800,138006,13415,110206,8476,5276,84,240,22910,85006,17995,0,195,5,0,100336,240,11,0,0,0,0,0,2,0,0,62586,14517,1,66451,102260,52,
6959,dthPUNISH3R#1315,Anduin,Volskaya Foundry,VibeCheque,LOSS,22,1,5,6,2,5,23255,26786,5018,15160,13216,3807,28,76480,6003,26746,5829,1,80,8,0,100336,0,0,20,20,3,0,0,2,0,16976,21733,12997,1,26916,34000,43,
6959,Dcherrywood#1927,E.T.C.,Volskaya Foundry,VibeCheque,LOSS,22,1,5,6,5,5,15003,65957,8016,50023,2489,4405,28,3179,18520,76637,9909,1,215,4,0,100336,0,0,0,0,0,2,1,4,0,1650,61897,10208,1,38392,42922,40,
6960,Daxx#11350,Raynor,Infernal Shrines,VibeCheque,WIN,21,3,8,11,1,7,25528,69774,29478,28721,68283,5770,12,0,4493,15235,10336,3,50,10,0,81392,0,0,0,0,0,0,0,0,0,0,6057,14050,3,158474,32092,39,
6960,MrPotatoHead#11118,Chromie,Infernal Shrines,VibeCheque,WIN,21,2,8,10,2,6,35953,93079,39400,43890,34377,5611,17,0,0,11560,9282,5,79,3,0,81392,0,0,0,0,0,0,0,1,0,0,8239,15023,3,33420,127301,42,
6960,Discord#12591,Malthael,Infernal Shrines,VibeCheque,WIN,21,2,5,7,3,3,18141,85120,5536,67567,16005,5738,0,0,12681,43791,13465,5,114,1,0,81392,0,0,0,0,0,0,1,3,0,0,26782,9107,2,52742,64315,38,
6960,dthPUNISH3R#1315,Stukov,Infernal Shrines,VibeCheque,WIN,21,3,8,11,1,6,18980,37091,17627,10843,18671,4574,195,49704,0,19645,6952,5,40,9,0,81392,0,39,0,0,0,1,0,1,0,5941,10963,10519,3,53001,20349,47,
6960,Dcherrywood#1927,Johanna,Infernal Shrines,VibeCheque,WIN,21,1,6,7,2,3,15769,67539,11010,48025,17111,4057,55,0,15884,55629,7334,4,67,5,0,81392,0,0,0,0,0,1,0,1,0,0,36567,13035,2,25915,72970,38,
7115,Daxx#11350,Sonya,Cursed Hollow,Fade2Black,WIN,19,1,11,12,0,12,22295,65942,34620,27679,55286,0,12,0,13766,28194,9585,5,0,9,0,68006,0,0,0,0,0,0,0,0,0,0,14846,11388,2,40637,99102,30,
7115,MrPotatoHead#11118,Chromie,Cursed Hollow,Fade2Black,WIN,19,7,8,15,0,15,38530,51428,29877,18925,24343,0,18,0,0,7761,6263,5,0,4,1,68006,0,0,0,0,0,0,0,0,0,0,3735,17501,3,30286,80094,31,
