id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
5316,LexiDecimal#1998,Deckard,Dragon Shire,Puns Upon a Time,LOSS,20,0,2,2,2,2,13689,31689,2740,21245,262,1355,154,36474,0,20480,3083,0,88,2,0,72416,0,0,37,37,1,0,0,1,0,7473,15208,5231,0,2715,42634,20,
5316,Icarium#11841,Junkrat,Dragon Shire,Puns Upon a Time,LOSS,20,2,0,2,2,2,36594,79667,348,57178,37158,1855,22,0,0,14943,9855,0,112,6,0,72416,0,12,22,22,0,0,0,2,0,0,8737,9993,0,65806,87946,25,
5316,Tarsuel#1656,Rexxar,Dragon Shire,Puns Upon a Time,LOSS,20,0,2,2,2,2,41418,119567,15119,91147,0,0,151,0,37712,92952,14427,0,62,0,0,72416,0,0,0,0,0,0,0,0,0,0,11427,5152,0,55617,105734,42,
5316,leo158#1898,Raynor,Dragon Shire,Puns Upon a Time,LOSS,20,1,1,2,0,2,49623,81616,4429,68178,13364,787,54,0,5233,23506,16026,0,0,2,0,72416,0,0,0,0,0,4,0,0,0,0,15942,33289,0,164032,23033,29,
5316,Yanthor#1245,Muradin,Dragon Shire,Puns Upon a Time,LOSS,20,0,2,2,3,2,9942,32597,1146,26249,0,400,114,0,27991,76939,6033,0,119,0,0,72416,0,0,0,0,0,2,0,3,0,0,60253,9093,0,20288,22251,24,
5317,LexiDecimal#1998,Anub'arak,Battlefield of Eternity,Puns Upon a Time,LOSS,14,0,0,0,3,0,11107,17238,0,12064,1812,513,91,0,10502,44778,4207,0,85,2,0,42521,0,0,0,0,0,0,0,0,0,0,42021,8713,0,6676,23291,22,
5317,Icarium#11841,Yrel,Battlefield of Eternity,Puns Upon a Time,LOSS,14,0,0,0,0,0,18593,71311,0,66142,6960,597,36,0,8273,32093,11178,0,0,1,0,42521,0,0,0,0,0,0,0,0,0,0,22577,12710,0,22907,75976,29,
5317,Tarsuel#1656,Medivh,Battlefield of Eternity,Puns Upon a Time,LOSS,14,0,0,0,1,0,22234,22944,0,16580,2413,589,0,11033,0,11277,4087,0,22,2,0,42521,0,0,0,0,0,0,0,1,0,675,6419,11999,0,11848,38134,24,
5317,leo158#1898,Cassia,Battlefield of Eternity,Puns Upon a Time,LOSS,14,0,0,0,2,0,35423,53297,712,42789,16442,481,0,0,2220,20548,6654,0,68,3,0,42521,0,0,0,0,0,0,0,2,0,0,17113,25123,0,59533,58071,28,
5317,Yanthor#1245,Li Li,Battlefield of Eternity,Puns Upon a Time,LOSS,14,0,0,0,3,0,5907,2504,0,1972,2824,31,0,23248,0,16151,3052,0,88,3,0,42521,0,0,0,0,0,0,0,1,0,4340,11951,4620,0,4328,7013,22,
5457,Icarium#11841,Lúcio,Dragon Shire,ReGen Divine,WIN,22,4,7,11,1,9,48038,32176,6092,22688,10636,732,124,100549,8384,54965,8556,2,24,5,0,100201,0,0,0,0,2,2,1,1,0,23541,41319,30331,2,69890,17652,34,
5457,Tarsuel#1656,Junkrat,Dragon Shire,ReGen Divine,WIN,22,3,8,11,1,11,94034,136139,27985,94712,32757,2182,32,0,0,20065,13631,2,65,6,0,100201,0,22,32,32,0,0,0,0,0,0,9649,30686,2,80750,172379,32,
5457,leo158#1898,Tassadar,Dragon Shire,ReGen Divine,WIN,22,3,6,9,0,9,121793,167489,46824,102335,43999,1993,423,0,23044,36552,17494,2,0,9,0,100201,0,0,0,0,0,0,0,0,0,0,23310,65261,2,67895,248999,37,
5457,Chainedskies#1954,Thrall,Dragon Shire,ReGen Divine,WIN,22,2,6,9,2,6,74891,113245,20944,89108,5906,327,179,6477,42855,80966,19947,1,106,2,0,100201,3304,0,45,45,0,1,0,2,0,0,63100,52246,1,83385,101621,36,
5457,PCakes#1597,Anub'arak,Dragon Shire,ReGen Divine,WIN,22,0,9,9,6,7,40341,52022,5629,42756,5348,858,204,0,25259,97609,8123,2,174,3,0,100201,0,0,0,0,0,1,0,1,1,0,75607,27893,1,24131,71000,26,
