id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
8792,HighAdmiral#1813,Sonya,Volskaya Foundry,DeepFriedMingBalls,LOSS,22,1,6,7,5,3,25316,127848,7798,104694,22655,0,10,0,21894,72375,18312,0,202,3,0,93002,0,0,0,0,0,0,1,2,0,0,52763,19478,2,23590,153853,45,
8792,IceQueen#12634,Chromie,Volskaya Foundry,DeepFriedMingBalls,LOSS,22,3,5,8,2,4,53063,106135,0,95015,12181,0,77,0,0,15065,13320,0,102,4,0,93002,0,0,0,0,0,0,0,0,0,0,8066,27099,2,20894,159153,34,
8792,Serelath#11574,Whitemane,Volskaya Foundry,DeepFriedMingBalls,LOSS,22,1,7,8,2,5,7711,22508,1234,19678,4421,0,260,48091,0,23335,5918,0,83,4,0,93002,0,0,0,0,0,1,0,0,0,19784,12357,4224,2,13648,26229,33,
8792,NovaBot#11240,Tychus,Volskaya Foundry,DeepFriedMingBalls,LOSS,22,3,5,8,2,8,39324,87717,4971,75454,3548,567,20,0,2551,28875,14480,0,44,1,0,93002,0,0,0,0,0,2,1,1,0,0,16998,17169,2,43259,109448,32,
8792,Bandayd#1631,Mei,Volskaya Foundry,DeepFriedMingBalls,LOSS,22,0,8,8,2,5,25197,84960,3175,78000,1950,0,353,0,7312,52926,12121,0,83,1,0,93002,0,0,0,0,0,2,0,1,1,0,41884,16237,2,15374,98916,36,
8793,HighAdmiral#1813,Varian,Volskaya Foundry,Bull Moose Party,LOSS,22,2,6,8,4,5,29216,106998,39570,62872,12942,1268,94,341,34670,74657,12706,4,168,5,0,98711,341,0,0,0,0,1,0,3,0,0,51018,20052,1,59698,98085,46,
8793,IceQueen#12634,Chromie,Volskaya Foundry,Bull Moose Party,LOSS,22,5,4,9,1,7,77238,135916,63969,59241,32791,3651,141,0,0,16589,11268,4,22,10,0,98711,0,0,0,0,0,0,0,1,0,0,11214,28580,1,30044,208331,42,
8793,Serelath#11574,Brightwing,Volskaya Foundry,Bull Moose Party,LOSS,22,0,8,8,2,6,12867,39952,6558,30186,14326,1681,0,68174,0,27954,11322,4,87,10,0,98711,136,34,0,0,1,0,0,0,0,12257,15499,7535,1,33813,31503,46,
8793,NovaBot#11240,Falstad,Volskaya Foundry,Bull Moose Party,LOSS,22,1,7,8,1,7,40345,88037,9887,62748,35144,1048,388,0,11344,34553,17249,2,65,11,0,98711,0,0,0,0,0,1,0,1,0,0,17417,15152,1,69042,89350,44,
8793,Bandayd#1631,Mal'Ganis,Volskaya Foundry,Bull Moose Party,LOSS,22,1,6,7,3,6,23581,57122,5935,43815,3900,3165,102,0,16529,61839,8545,4,108,5,0,98711,0,0,0,0,0,0,1,3,0,0,49661,19629,1,15305,66265,42,
8794,HighAdmiral#1813,Varian,Cursed Hollow,Bull Moose Party,WIN,20,1,7,8,0,8,18108,65879,27703,27481,57380,0,54,0,26897,39908,12319,4,0,8,3,72844,0,0,0,0,0,1,0,0,0,0,16931,12062,2,65590,75111,38,
8794,IceQueen#12634,Li-Ming,Cursed Hollow,Bull Moose Party,WIN,20,0,6,6,1,6,30254,66078,26046,28055,44463,0,0,0,0,10509,6524,3,56,9,0,72844,0,0,0,0,0,1,0,0,0,0,6570,10505,1,22313,115235,29,
8794,Serelath#11574,Uther,Cursed Hollow,Bull Moose Party,WIN,20,0,7,7,0,7,17786,27541,6243,17643,20462,456,38,47537,5077,30007,6525,4,0,9,2,72844,0,0,0,0,1,2,0,0,1,6959,17903,11783,1,26728,38223,33,
8794,NovaBot#11240,Zeratul,Cursed Hollow,Bull Moose Party,WIN,20,7,1,8,1,5,24568,52925,20262,27085,24769,0,30,0,7885,19040,10450,3,32,6,7,72844,0,0,0,0,0,0,1,1,0,0,9262,13995,2,54149,46474,31,
8794,Bandayd#1631,Garrosh,Cursed Hollow,Bull Moose Party,WIN,20,0,7,7,2,6,12491,26860,5912,18506,13378,191,108,0,3987,36999,5702,4,85,6,0,72844,0,6,0,0,0,1,0,1,0,0,22940,7863,1,28106,23592,32,
8795,HighAdmiral#1813,Murky,Alterac Pass,Bull Moose Party,LOSS,20,0,9,9,1,3,31072,90793,10789,77078,43325,0,399,0,8821,41455,15809,1,48,3,0,73262,0,0,0,0,0,2,0,3,1,0,17728,12110,4,20613,155599,34,
8795,IceQueen#12634,Cassia,Alterac Pass,Bull Moose Party,LOSS,20,5,3,8,2,8,40610,61026,16434,28797,36942,2487,0,0,3208,23416,5665,1,118,4,0,73262,0,0,0,0,0,0,0,1,0,0,17228,29751,3,42354,97155,29,
8795,Serelath#11574,Stukov,Alterac Pass,Bull Moose Party,LOSS,20,0,7,7,3,6,28803,23161,7862,11061,17846,686,682,47300,0,32166,4648,1,156,3,0,73262,0,49,12,12,1,0,0,1,0,8831,17449,16122,3,39202,29756,29,
8795,NovaBot#11240,Tassadar,Alterac Pass,Bull Moose Party,LOSS,20,2,7,9,1,9,45480,126173,22914,98827,13117,3021,628,0,0,19862,15221,1,62,1,0,73262,0,0,0,0,0,0,0,0,0,0,8651,24142,4,15605,169645,26,
8795,Bandayd#1631,Mal'Ganis,Alterac Pass,Bull Moose Party,LOSS,20,2,5,7,4,4,17923,26361,4095,16371,9111,1776,75,0,15394,64618,4661,1,185,1,0,73262,0,0,0,0,0,2,1,2,0,0,52178,16057,3,15516,37879,20,
