id,player,hero,game_map,opponent,win,level,kills,assists,takedowns,deaths,highest_kill_streak,hero_damage,siege_damage,structure_damage,minion_damage,creep_damage,summon_damage,time_cc_enemy_heroes,healing,self_healing,damage_taken,experience_contribution,town_kills,time_spent_dead,merc_camp_captures,watch_tower_captures,meta_experience,protection_allies,silencing_enemies,rooting_enemies,stunning_enemies,clutch_heals,escapes,vengeance,outnumbered_deaths,teamfight_escapes,teamfight_healing,teamfight_damage_taken,teamfight_hero_damage,multikill,physical_damage,spell_damage,regen_globes,first_to_ten
9742,andrade#1700,Stitches,Braxis Holdout,The Nine Avatara,LOSS,16,0,5,5,2,4,19143,44083,3122,36316,8882,0,1094,0,19984,73333,7289,1,73,2,0,54021,0,0,0,0,0,1,0,0,0,15,51202,13802,0,11072,66462,25,
9742,AuraLuna#1995,Anduin,Braxis Holdout,The Nine Avatara,LOSS,16,1,4,5,0,5,15423,17292,1345,13744,5384,0,20,53367,9090,14200,2883,1,0,3,0,54021,4168,0,20,20,3,0,0,0,0,3077,4735,4866,0,15708,24507,20,
9742,Fujin#1830,Rexxar,Braxis Holdout,The Nine Avatara,LOSS,16,1,2,3,5,1,22285,58288,668,52051,1054,0,76,0,16930,67844,10926,1,157,1,0,54021,0,0,0,0,0,1,1,1,0,0,22425,2734,0,37991,49928,47,
9742,shancb9#1737,Genji,Braxis Holdout,The Nine Avatara,LOSS,16,4,1,5,2,4,20835,22295,4324,12208,5777,0,1,0,5037,33287,4233,1,76,3,0,54021,0,0,0,0,0,2,0,2,0,15,20663,12301,0,34578,18308,21,
9742,sarahlynneee#1194,Junkrat,Braxis Holdout,The Nine Avatara,LOSS,16,1,3,4,2,2,47750,54580,3235,41794,8778,0,16,0,0,19551,5540,0,57,3,0,54021,0,0,16,16,0,0,0,0,0,0,9756,10864,0,55357,87331,18,
9743,andrade#1700,Muradin,Battlefield of Eternity,The Nine Avatara,LOSS,20,0,5,5,6,1,26887,37862,1496,28367,11880,7,147,0,23665,98733,9130,0,250,2,0,74108,0,0,0,0,0,1,0,4,1,0,83069,24181,0,26021,55060,25,
9743,AuraLuna#1995,Tyrande,Battlefield of Eternity,The Nine Avatara,LOSS,20,1,3,4,1,4,16521,5945,227,5210,6585,0,78,55491,0,19357,4286,0,65,4,0,74108,0,0,0,0,1,0,0,1,0,5400,11986,7315,0,16334,14138,27,
9743,Fujin#1830,Artanis,Battlefield of Eternity,The Nine Avatara,LOSS,20,1,0,1,8,1,38982,68268,360,58796,17085,2,48,0,21327,75700,13141,0,278,3,0,74108,0,0,0,0,0,0,1,6,0,0,63162,33523,0,59424,64847,27,
9743,shancb9#1737,Li-Ming,Battlefield of Eternity,The Nine Avatara,LOSS,20,1,3,4,1,4,51583,60891,3574,49967,51472,7,0,0,0,14282,9435,0,65,2,0,74108,0,0,0,0,0,1,0,0,0,0,4302,16045,0,12735,181185,32,
9743,sarahlynneee#1194,Junkrat,Battlefield of Eternity,The Nine Avatara,LOSS,20,2,3,5,0,5,64658,101237,2599,87071,29273,4,70,0,0,15476,13178,0,0,4,0,74108,0,0,24,24,0,1,0,0,0,0,5391,23803,0,76468,125788,33,
