div,points,max,min,mean,stdev
e-west,"[35,26,25,17,14,9]",35,9,21,9.444575162494075
nexus,"[27,24,24,21,14,10,6]",27,6,18,8.020806277010642
e-east,"[30,29,26,23,21,18,14,14,11,6,0]",30,0,17.454545454545453,9.532718776546766
storm,"[7,5,5,4,2,2,2,1]",7,1,3.5,2.0701966780270626
d-east,"[29,26,22,21,20,18,17,14,12,11,8]",29,8,18,6.44980619863884
heroic,"[28,25,24,21,21,19,19,16,15,7]",28,7,19.5,5.930148958219065
a-west,"[28,23,19,17,15,14,10]",28,10,18,6
c-west,"[25,25,22,20,19,19,18,17,17,7,6,3]",25,3,16.5,7.292586522065966
d-west,"[30,28,25,16,15,12]",30,12,21,7.58946638440411
a-east,"[32,28,26,24,24,22,18,17,15,13,10,5]",32,5,19.5,7.914313844949771
b-east,"[31,27,24,23,22,21,20,17,17,15,10,7]",31,7,19.5,6.802405991465613
b-west,"[28,28,20,19,17,14]",28,14,21,5.796550698475776
c-east,"[29,23,20,18,17,16,15,15,14,12,10,9]",29,9,16.5,5.58406824652226
