team,captain,last_season,old_team,old_division,returningPlayers,returningPlayersDiv,newPlayers,compLevel,divisionPlacement,priorPlacement,otherLeagues,otherInfo,coast,player_count,avg_rank_top_four,rank_1,rank_2,rank_3,rank_4,rank_5,all_ranks,avg_mmr_top_four,max_mmr,mean_mmr,min_mmr,all_mmr,all_level,season_11_div,wins,losses,points,dominations,matchesPlayed,deviation,teamChanges,returning_players,dropped_players,added_players
Durotan's Couch,Wildkarde#7975,yes,Durotan's Couch,Div A,6,Div A,1,Very Competitive,Nexus,Prior place seemed appropiate . Majority of games were competitve.,No,,east,8,24.75,M3628,D1,D2,D2,D2,"M3628, D1, D2, D2, D2, D5, B2, U0",3022.75, , , ,"3140, 3005, 2980, 2966, 2858, 2796, 2773, 2552","26, 25, 24, 24, 24, 21, 4, 0",a,22,7,29,7,12,1.1129237837939316,Main roster changed up the tank,"WildKarde#1839, Aphish#1180, Yonners#1462, Idioms#1746, CaptainWedge#1451, Goliath#1410, GOHANN#11237","infafox#1236, Tyledrahn#1703",IJustFizzed#1820(M3628)
Boogans Forever,Nonchampion#0791,no,,,,,,Balance winning with fun,,,Mostly just NGS,We've had a bit of a roster change coming back after a break. Added MillerCoffee and Nuubee who will be part of our main roster now. A few of us have not placed in SL the last few seasons.,east,8,23.5,GM,M871,D5,P1,P3,"GM, M871, D5, P1, P3, U0, U0, U0",3017, , , ,"3068, 3056, 3047, 2897, 2858, 2817, 2815, 2761","27, 26, 21, 20, 18, 0, 0, 0",new team,,,,,,,,,,
Wholesome Halfwits,Svlad_Cjelli #0042,,,,,,,,,,,,,5,11.5,P1,P3,S3,U0,U0,"P1, P3, S3, U0, U0",2875.5, , , ,"2941, 2927, 2878, 2756, 2687","20, 18, 8, 0, 0",new team,,,,,,,,,,
Xul Gin Distillery,Dwhitt#7840,yes,XGD,BE,6,BE,NA,Less competitive more for fun,C but maybe B again,Good. We haven't played at all since last season though.,NA,We haven't played at all since last season.,east,6,19.5,GM,D1,G1,G5,U0,"GM, D1, G1, G5, U0, U0",2811.25, , , ,"2974, 2895, 2717, 2659, 2517, 2326","27, 25, 15, 11, 0, 0",b-east,11,12,14,3,10,-0.16666666666666666,NA,"DWhitt#1530, ankleshot#1899, Nutcracker#1827, befresch#1245, Led#11771, KowboyKyle#1497",,
Clouded Minds,Starknight#6294,yes,Clouded Minds,B West,6,B West,Juggerobb,Balance winning with fun,B West,It was the correct placement,No,N/A,west,7,20.5,GM,P2,P2,P4,P5,"GM, P2, P2, P4, P5, G3, U0",2815.5, , , ,"2869, 2854, 2830, 2709, 2683, 2659, 2594","27, 19, 19, 17, 16, 13, 0",b-west,16,11,20,4,11,0.4396914269491368,Role swapping,"KCKORT#1285, Starknight#1698, Ruffian#11364, Juggerobb#1867, Trilaina#1257, Kian#11919, Peach#21548",,
gillyShark at !Bingo night,chesslooter#4450,yes,gillyShark at !Bingo night,A,6,A,"RandyNewman, JoshuaScott",Less competitive more for fun,A if A is about the same as last season. I wouldn't put us in Nexus or higher.,"Every now and then, you get the team of GMs who *promise* that they're playing for fun, at least until playoffs. Otherwise, given the limitations y'all have, you do a good job.","Aside from private bingo nights where we're about even with teams that were in A last season, no.","If the games in A are not competitive, we will balance by making bingo harder. You could put us in Div E and we would lose games because we'd have to try to win a game with 4 healers. A last season was a good balance.",east,9,22,D2,D4,D4,P1,U0,"D2, D4, D4, P1, U0, U0, U0, U0, U0",2987.25, , , ,"3019, 2986, 2983, 2961, 2959, 2956, 2849, 2841, 2788","24, 22, 22, 20, 0, 0, 0, 0, 0",a,18,8,26,8,12,0.7704856964727219,Nothing that *increases* our competitiveness,"EkeeB#1696, TheLazyHydra#1124, chesslooter#1392, Chymotrypsin#1517, Shuman#1276, Stark#2324, Stick#21691",Thunderkatz#1934,"JoshuaScott#11226(U0), RandyNewman#11551(P1)"
Can't Counterpick Stupid,WitsEnd#5921,yes,Can't Counterpick Stupid,Div B,4 ,Div B,UnicycleYay,Balance winning with fun,Div C,"We were probably about right, bottom end of B div, Top of C, but we lost some key players. ","Nexomania, HL, Chairleague",Div B was pretty rough last season. Lost a couple of our higher ranked players. ,west,7,18.25,D5,P2,P3,G1,G2,"D5, P2, P3, G1, G2, G4, G5",2808.75, , , ,"2843, 2841, 2825, 2726, 2684, 2672, 2610","21, 19, 18, 15, 14, 12, 11",b-west,7,17,9,2,11,-0.9421959148910075,Lost on of our higher ranked players,"WitsEnd#11407, DrEvil12#1485, Madathi#1701, Valkamer#1366, Zephy#1502","Keladorn#1935, Ossprey#1431","UnicycleYay#1660(P3), GGesus#11111(G4)"
Phoenix Rising Amethyst,LtlBearista#0587,yes,Phoenix Rising Amethyst,Div E West,"LtlBearista, Stefwithanf, ZergPern",Div E West,"EternallyBlue, GingiBoi",Balance winning with fun,C,Better than in previous seasons--but the top team was clearly misplaced. ,No,Repeating that our highest ranked players are off role,west,5,16,D3,D5,G4,S3,B1,"D3, D5, G4, S3, B1",2805.5, , , ,"3087, 2859, 2663, 2613, 2499","23, 21, 12, 8, 5",e-west,10,15,14,4,12,-0.9387731163751851,"Plat/Diamond Players--Nexus Division (Both are off role, though)","Stefwithanf#1470, ZergPern#1524, Ltlbearista#1953","SpacePope#1909, Dockett#1109, StrikerKilla#1963","EternalBlue#11788(D3), GingiBoi#1791(D5)"
Spooky Ghosts,LittleWolf#7469,yes,Spooky Ghosts,B west,6,B West,None,Balance winning with fun,B west,It was a lot of fun,,None,west,6,19.25,D3,P2,P2,P5,P5,"D3, P2, P2, P5, P5, G4",2871, , , ,"2943, 2894, 2853, 2794, 2745, 2710","23, 19, 19, 16, 16, 12",b-west,16,12,20,4,11,0.4396914269491368,Role Swapping within same team,"LittleWolf#11729, Boundryx#1133, erikwithak#1720, SlySabotage#1907, Collidous#1439, Rohgoth#1224",Rift#1120,
Team Rainbow Strike Go!,Robear#8837,yes,Team Rainbow Strike Go! (TRSG!),Div B West,"Robear, Robear",Div B,none,Balance winning with fun,"Div C West probably, our starters will be Chopper, Punk, Wraithling, CaptRoberts and Robear","It was good, pretty accurate",none lately,none,west,9,16,P3,P5,P5,G2,G3,"P3, P5, P5, G2, G3, G4, G5, S5, U0",2745.5, , , ,"2767, 2760, 2733, 2722, 2702, 2695, 2649, 2624, 2544","18, 16, 16, 14, 13, 12, 11, 6, 0",b-west,10,15,13,3,11,-0.4396914269491368,,"TRSGSilver#1740, Selym11#1181, TRSGRobear#1608, SuddenBears#1269, Chopper#1374","TRSGPanda#1929, TRSGkingle#1563, Tokeybee#11807","wraithling#1178(G2), CaptRoberts#11717(P5), Punk#11895(P3), Dearborn#1118(U0)"
Minion Miners,MarshHole#0492,yes,minion miners,Heroic,6,Heroic,0,Balance winning with fun,Nexus or A,Heroic was really rough last season. Partly because the competition was pretty stacked and partly because we have been playing less. Nexus should be much more competitive for us. ,,,west,6,20.75,D4,D4,P1,P2,P2,"D4, D4, P1, P2, P2, P5",2879.75, , , ,"2946, 2941, 2840, 2792, 2789, 2713","22, 22, 20, 19, 19, 16",heroic,9,20,11,2,12,-1.350858067395748,,"Wesgra#1424, Kobo#11642, himmybo#1454, WantonSoup#11975, SrMacofCheez#1719, MarshHole#1196",Irdak#1421,
