name,count,level,mmr_min,mmr_mean,mmr_max,stdev,outliers
B3,3,3,2438,2458,2479,16.753109164172084,[]
B1,1,5,2500,2500,2500,0,[]
S5,1,6,2510,2510,2510,0,[]
S4,6,7,2399,2513.5,2576,65.57629144744311,[]
S3,8,8,2451,2540.5,2670,66.89730936293327,[]
G5,9,11,2326,2566.1111111111113,2645,91.6326536223662,[]
S1,8,10,2528,2567,2597,23.054283766797006,[]
S2,12,9,2504,2570.6666666666665,2623,36.417334089993766,[]
G4,6,12,2498,2594.8333333333335,2671,65.97326899754341,[]
B5,1,1,2611,2611,2611,0,[]
G3,11,13,2605,2671.7272727272725,2746,34.263924598995075,[]
G2,23,14,2590,2672.5652173913045,2779,43.65260696130253,[]
G1,5,15,2631,2685.6,2724,33.43411431457397,[]
P4,11,17,2407,2691.818181818182,2807,104.08721708418656,[]
P5,15,16,2552,2705.2,2826,69.93349221462726,[]
P2,14,19,2672,2732.5714285714284,2778,31.871873596175867,[]
P3,18,18,2684,2757.777777777778,2808,36.29287587814133,[]
P1,15,20,2682,2765.5333333333333,2890,51.23523093427889,[]
D5,19,21,2561,2794,2884,80.71522389500664,[]
U0,9,0,2584,2801.6666666666665,3118,182.373852901731,[]
D4,18,22,2662,2818,2926,74.70534712380962,[]
D3,8,23,2730,2819.75,2905,60.26140970803786,[]
D2,10,24,2733,2841.1,2957,56.43482967104623,[]
D1,8,25,2800,2882.625,2953,50.95080347747226,[]
M,21,26,2784,2927,3125,75.35250493513803,"[""Ferret102#1444 - 3125""]"
GM,8,27,2874,3011.125,3307,128.81812518042636,[]
