displayName,level,win_rate,team
DrinkingBird#11409,231,57.21%,team happy cloud
Malacath#11421,234,56.11%,team happy cloud
GGesus#11111,294,46.11%,magnitude: aftershock
Koala#11818,262,34.45%,cats on my keyboard
Greatone#1919,85,15%,out of pocket
PrimaryMeteo#1725,254,59.48%,red dragons
GoddlyNoob#1924,218,53.22%,hot(s) dads
ĸizō#1390,285,44.52%,rainbow shrooms
Bollabamo#1985,238,NaN%,on the floor
MyMain#11920,245,55.03%,it's gonna be mei!
Ozymandias#12469,224,63.21%,the negotiators
Redbain#11807,254,38.73%,magnitude: tsunami
CodeySparkz#1451,232,49.75%,habitual line steppers
HelloPanda#11155,218,25%,deep waters
hots420gamer#1525,172,49.78%,deep waters
