name,division,max,rank,level,heroesProfileMmr,team,win_rate
Aphish#1180,0,Unranked,U0,0,2773,durotan's couch,
MillerCoffee#1690,0,Unranked,U0,0,2815,boogans forever,
Kalavothe#1772,0,Unranked,U0,0,3068,boogans forever,
Nuubee#1465,0,Unranked,U0,0,2858,boogans forever,
Malavial#1435,0,Unranked,U0,0,2927,wholesome halfwits,
CrookedSmile#11890,0,Unranked,U0,0,2941,wholesome halfwits,
befresch#1245,0,Unranked,U0,0,2717,xul gin distillery,
KowboyKyle#1497,0,Unranked,U0,0,2517,xul gin distillery,
KCKORT#1285,0,Unranked,U0,0,2594,clouded minds,
EkeeB#1696,0,Unranked,U0,0,2959,gillyshark at !bingo night,
JoshuaScott#11226,0,Unranked,U0,0,2849,gillyshark at !bingo night,
Chymotrypsin#1517,0,Unranked,U0,0,2841,gillyshark at !bingo night,
Stark#2324,0,Unranked,U0,0,3019,gillyshark at !bingo night,
Stick#21691,0,Unranked,U0,0,2961,gillyshark at !bingo night,
Dearborn#1118,0,Unranked,U0,0,2733,team rainbow strike go!,
Saber#1831,0,Unranked,U0,0,3059,team happy cloud,
Chaotik#11849,0,Unranked,U0,0,3042,team happy cloud,
Albatoxx30K#1966,0,Unranked,U0,0,3172,bronze6,
COShex337#1390,0,Unranked,U0,0,2613,cosmos,
Nae#1537,0,Unranked,U0,0,2841,cosmos,
Ashkhan#1805,0,Unranked,U0,0,2737,artemis,
BrobiWan#1428,0,Unranked,U0,0,2490,rise n' grind,
IvanDrago#1596,0,Unranked,U0,0,2412,rise n' grind,
RedBeard#1652,0,Unranked,U0,0,2716,protectors of aiur,
Dagnie#1853,0,Unranked,U0,0,2685,fountain snipers,
SHOGUNMISA#1360,0,Unranked,U0,0,2844,banned for throwing,
Leinad#1643,0,Unranked,U0,0,2579,30 seconds to mosh,
HunterX#1782,0,Unranked,U0,0,2897,30 seconds to mosh,
Finalstand#1431,0,Unranked,U0,0,2973,big push power,
USAEAceBoogy#1194,0,Unranked,U0,0,2707,u.s. army esports,
andrade#1700,0,Unranked,U0,0,2566,ycmyccastep8:thelastpatch,
sarahlynneee#1194,0,Unranked,U0,0,2640,ycmyccastep8:thelastpatch,
camel#11296,0,Unranked,U0,0,2436,ycmyccastep8:thelastpatch,
AuraLuna#1995,0,Unranked,U0,0,2518,ycmyccastep8:thelastpatch,
shancb9#1737,0,Unranked,U0,0,2664,ycmyccastep8:thelastpatch,
AtomicAlien#1690,,Unranked,Uundefined,0,2284,skeleton shenanigans,
Melkor#11869,0,Unranked,U0,0,2439,skeleton shenanigans,
Gokue#1112,0,Unranked,U0,0,2793,bi for catbois,
shamhat#11603,0,Unranked,U0,0,2688,bi for catbois,
HeathenDawn#1576,0,Unranked,U0,0,2707,hard stuck support group,
Gunnzer#1487,0,Unranked,U0,0,2498,hard stuck support group,
KillerViper#1263,0,Unranked,U0,0,2609,hard stuck support group,
Raymond#12866,0,Unranked,U0,0,2884,gambit gaming,
Metawerewolf#2363,0,Unranked,U0,0,2897,best of buddies,
Moon#15658,0,Unranked,U0,0,2989,best of buddies,
Creepio#11576,0,Unranked,U0,0,2755,pepegas on ice,
Shonenn#1177,0,Unranked,U0,0,2566,smoke,
OrganzdChaos#1656,0,Unranked,U0,0,3321,unity,
Godfred#1609,0,Unranked,U0,0,2786,bananumnums,
Whitemain#11297,0,Unranked,U0,0,2586,bananumnums,
Bellers#1283,0,Unranked,U0,0,2628,pidge's perilous pidgeons,
DHKee#1552,0,Unranked,U0,0,2785,bg nepotism and corruption,
ĸizō#1390,0,Unranked,U0,0,2131,rainbow shrooms,
Zhilai#1380,0,Unranked,U0,0,3317,yolo diving you,
WHRoger#2994,0,Unranked,U0,0,3236,mommy's little gamers,
Silentshoo#11553,0,Unranked,U0,0,2793,ceeeeeeeeeeeebbb!!!,
Marbuckle#1732,0,Unranked,U0,0,3000,ceeeeeeeeeeeebbb!!!,
bAnKaii#11150,0,Unranked,U0,0,2639,ceeeeeeeeeeeebbb!!!,
Kuebico#1506,0,Unranked,U0,0,2999,ceeeeeeeeeeeebbb!!!,
MasterFish#1251,0,Unranked,U0,0,2834,enemy on scren,
blue1442#1227,0,Unranked,U0,0,2942,enemy on scren,
appleeater#1151,0,Unranked,U0,0,2654,dunning-kruger knights,
LustfulMango#1596,0,Unranked,U0,0,1795,small potatoes,
MMonsta#1200,0,Unranked,U0,0,2345,small potatoes,
ButterRagu#1357,0,Unranked,U0,0,,small potatoes,
Layshmarvool#2157,0,Unranked,U0,0,2898,small potatoes,
DOWNYOURS#1153,0,Unranked,U0,0,2782,clussy crusaders,
ttvSexyVegan#1875,0,Unranked,U0,0,2748,only losses,
lox#11952,0,Unranked,U0,0,2992,lox it in,
Hart#11756,0,Unranked,U0,0,2996,lox it in,
MamaLuigi#11809,0,Unranked,U0,0,2961,reset city,
Cheekies#1388,0,Unranked,U0,0,2909,boomers and zoomers,
WHSlugHunter#1965,0,Unranked,U0,0,3071,boomers and zoomers,
