team,captain,last_season,old_team,old_division,returningPlayers,returningPlayersDiv,newPlayers,compLevel,divisionPlacement,priorPlacement,otherLeagues,otherInfo,coast,player_count,avg_rank_top_four,rank_1,rank_2,rank_3,rank_4,rank_5,all_ranks,avg_mmr_top_four,max_mmr,mean_mmr,min_mmr,all_mmr,all_level,season_11_div,wins,losses,points,dominations,matchesPlayed
Wholesome Halfwits,Svlad_Cjelli #0042,no,,,,,,Less competitive more for fun,,,NGS before just not last season. We were Div 1 or w/e and we want to take it less heavy this time around.,,either,5,23.5,D1,D2,D3,D4,U0,"D1, D2, D3, D4, U0",2876.25,2921,2853.2,2761,"2921, 2910, 2849, 2825, 2761","25, 24, 23, 22, 0",new team,,,,,
Xul Gin Distillery,Dwhitt#7840,yes,Xul Gin Distillery,C East,6,C East,N/A,Balance winning with fun,C East,Good,XGDI. Very competitive,We could be in B East territory if needed. We vary a decent bit between seasons,east,6,20.25,M321,D4,P4,P5,G4,"M321, D4, P4, P5, G4, S1",2773,2895,2655.8333333333335,2326,"2895, 2821, 2717, 2659, 2517, 2326","26, 22, 17, 16, 12, 10",c-east,17,11,20,3,11
Durotan's Couch,Wedge#7006,yes,Durotan's Couch,Division B Northeast,7,B,SaylorTwift and Earlshlep,Less competitive more for fun,B,Solid,Nope,You'll have to sit on the couch to find out,east,9,22.75,D2,D2,D4,D5,D5,"D2, D2, D4, D5, D5, P1, G2, S1, B5",2844.75,2922,2731.5555555555557,2497,"2922, 2886, 2831, 2740, 2726, 2709, 2662, 2611, 2497","24, 24, 22, 21, 21, 20, 14, 10, 1",b-northeast,9,14,13,4,11
Frank's Furters,DallyingPig#8452,yes,Frank's Furters,Div C East ,6,Same Team As Before,N/A,Balance winning with fun,Div B,"Good Placement, would like to be in Div B next season",CCS RTN and CCS Nexomania (ongoing). Not sure what the exact level of competition is compared to NGS but we did very well in RTN,Would like B placement,east,6,20,D4,D4,P2,P4,G2,"D4, D4, P2, P4, G2, G2",2736.75,2780,2640,2419,"2780, 2768, 2720, 2679, 2474, 2419","22, 22, 19, 17, 14, 14",c-east,19,8,24,5,11
Can't Counterpick Stupid,WitsEnd#5921,yes,Can't Counterpick Stupid,div C west,"witsend, madathi, keladorn",Div C,"Evolved, Trex, jZephy",Balance winning with fun,"Div D, we lost a lot of key members and we struggled in C last season",Fine,ngs chair league HL nexomania,,west,6,16,P1,P5,G1,G3,G5,"P1, P5, G1, G3, G5, U0",2704.25,2787,2628.1666666666665,2430,"2787, 2778, 2647, 2605, 2522, 2430","20, 16, 15, 13, 11, 0",c-west,9,16,11,2,11
Die for Vision,Atlas #3036,yes,Durotan's Couch,B,2,B,"Leonidas, Roy, MeTooThanks",Less competitive more for fun,C,"Placement was solid with the other team that I was on. With this group I am not sure but after experiencing the level of competition in B, we would not be able to compete.",We were in NGS for a few seasons a ways back. We also played in Heroes Lounge for a season.,"We have a group of lower skilled players mixed with a group of higher skilled players. Having played in both Div B and C in the past, I can safely say that C would be our sweet spot. We would get blown away in B.",east,6,19.25,D2,D5,P5,P5,G5,"D2, D5, P5, P5, G5, S1",2718.75,2797,2670.6666666666665,2553,"2797, 2736, 2712, 2630, 2596, 2553","24, 21, 16, 16, 11, 10",new team,,,,,
Arrogant Nephalem,kime#4236,yes,Arrogant Nephalem,B,5,B,,Balance winning with fun,B,"We seemed to do pretty well until we stopped practicing, so overall we were placed well I think.",,"We've probably got a bunch of role-switching going on heading into this season, so if we're on the edge of a division take that into mind please.",west,7,22,D3,D3,D4,P1,P1,"D3, D3, D4, P1, P1, P1, P4",2766.5,2817,2726,2663,"2817, 2785, 2736, 2728, 2682, 2671, 2663","23, 23, 22, 20, 20, 20, 17",b-west,15,8,20,5,10
gillyShark,Chymotrypsin#3544,yes,gillyShark,Nexus,6,Nexus and A,,Balance winning with fun,Nexus,"Nexus was a bit of a stretch for us last season, but it was the first season of a brand new division",NGS BABY!,Put is in whatever division Phoenix Rising Xanthite are in. we scrim them weekly (almost 150 games total) and have slightly <50% winrate. we are pretty evenly matched,east,6,25.5,M2384,M297,M1091,D2,D3,"M2384, M297, M1091, D2, D3, D3",2939.5,3003,2899.5,2818,"3003, 2958, 2954, 2843, 2821, 2818","26, 26, 26, 24, 23, 23",nexus,8,13,10,2,9
Boogans Forever,Tompiece#0302,yes,Boogans Forever,A East,5,A East,nuubee,Balance winning with fun,A East,Perfect,No,No,east,6,25.75,GM,M1,M156,D2,D2,"GM, M1, M156, D2, D2, D5",2891.25,3023,2857.8333333333335,2775,"3023, 2894, 2834, 2814, 2807, 2775","27, 26, 26, 24, 24, 21",a-east,16,9,20,4,10
The Baddest Dudez,Demongrand#6899,yes,The Baddest Dudez,E,6,E,Beeman#1107,Balance winning with fun,E,It was accurate.,None,None,east,8,14.25,G1,G2,G2,G2,G2,"G1, G2, G2, G2, G2, G3, G4, B5",2659.5,2690,2589.25,2407,"2690, 2673, 2640, 2635, 2626, 2542, 2501, 2407","15, 14, 14, 14, 14, 13, 12, 1",e-east,17,9,22,5,11
2Calculated2Throw,Untapped Fear#8304,yes,2Calculated2Throw,B,4,Division B,Scooterman,Less competitive more for fun,"C or B, prefer C, we have one player who hasn't played in several seasons, and the rest of us have been mostly just playing arams to unwind after work if at all, so our competitive level has definitely dropped.","We felt that were placed alright, we were definitely at the bottom of B last season, we were barely able to scrape out a single match win and a handful of 1-2 losses.",,,east,5,22.25,D1,D4,D5,D5,U0,"D1, D4, D5, D5, U0",2789.75,2837,2761.2,2647,"2837, 2819, 2759, 2744, 2647","25, 22, 21, 21, 0",b-northeast,8,17,10,2,11
ReGen Phoenix,Aero#3973,yes,ReGen Phoenix,A-East,4,A-East,"Added Phantoms, returned Tyloran as sub.",Balance winning with fun,"Div B.  While we were able to take some games off teams, we largely had a losing record and barely made playoffs because teams quit the division. We've been in A for 3 seasons with similar results (except not making playoffs)",It was not enjoyable.,Not recently,We've been in Div A and only made playoffs last season of those three and only then because there were 9 total teams (and just barely really at that). With Mudge going inactive (and removed) our highest ranked player is out.  ,east,7,24.25,M1,D2,D2,D3,D3,"M1, D2, D2, D3, D3, D5, P1",2882,2950,2824,2692,"2950, 2930, 2845, 2803, 2793, 2755, 2692","26, 24, 24, 23, 23, 21, 20",a-east,12,12,16,4,10
