name,count,level,mmr_min,mmr_mean,mmr_max,stdev,outliers
B4,3,2,2328,2372.6666666666665,2401,31.961782734314987,[]
B5,5,1,2327,2422.4,2502,58.24293948625876,[]
B3,2,3,2378,2446.5,2515,68.5,[]
G5,19,11,2429,2450.5263157894738,2685,581.7533722717767,[]
B2,8,4,2361,2458.875,2526,55.270782290465185,[]
B1,11,5,2378,2479.818181818182,2602,59.47011194605264,[]
S4,17,7,2429,2524.294117647059,2720,68.12856765046368,"[""Horvath70#1566 - 2720""]"
S5,25,6,2273,2524.76,2759,102.69616545908615,[]
U0,94,0,-2453,2536.7340425531916,3085,688.3415804629966,[]
UR,2,0,2341,2541,2741,200,[]
S3,16,8,2332,2550.875,2645,74.07671277128865,[]
S1,29,10,2265,2552.103448275862,2666,101.30539177113181,[]
S2,22,9,2314,2561.7727272727275,2751,110.5724492309256,[]
G4,28,12,1929,2578.535714285714,2751,152.03981671702624,[]
G3,35,13,2255,2601.0285714285715,2799,99.74753436674462,[]
G1,40,15,2384,2650.55,2765,70.02319258645666,[]
G2,38,14,2337,2654.1315789473683,2813,85.86867912924747,[]
P4,36,17,2479,2686.75,2815,72.87636981750516,[]
P5,32,16,2533,2689.9375,2799,53.19535782143024,[]
P3,39,18,2594,2715.923076923077,2830,56.845893618640346,[]
P2,39,19,2532,2727.025641025641,2874,74.0940106854858,[]
P1,49,20,2610,2768.2448979591836,2924,61.85451350803849,"[""Denkstrum#1247 - 2924""]"
D2,36,24,2595,2771.9166666666665,2959,474.96048812272556,[]
D5,45,21,2663,2801.711111111111,2991,62.757955572615025,"[""Tax1k#1270 - 2991"",""BishopMist#1611 - 2991""]"
D4,57,22,2685,2816.315789473684,3003,65.14360867109312,"[""Stark#2324 - 3003""]"
D3,40,23,2661,2835.45,3006,71.57721355291781,[]
D1,34,25,2596,2869.676470588235,2983,73.14840699814852,[]
M,101,26,2601,2934.6435643564355,3321,92.33350916123591,"[""Mokka#11906 - 3173"",""JuanPablo64#1371 - 3321""]"
GM,20,27,2917,3045.6,3193,69.70824915316695,[]
