team,season_11_div,coast,metal_top_four,metal_1,all_ranks,all_mmr,divisionPlacement
Dark Allegiance,a-east,east,6250,10000,"GM, M1684, M55, M3743, M273, D2, D2, D3, D4","3093, 3056, 2926, 2926, 2915, 2893, 2891, 2843, 2841",Div nexus or heroic
Archon,new team,west,6250,10000,"GM, M4064, M1707, M1753, M1908","3037, 3001, 2975, 2964, 2798",
ProBUs,b-northeast,east,5756.25,10000,"GM, M39, M157, D1, D4, D5","3033, 2860, 2822, 2802, 2791, 2761",We're a High B/Low A team
Mnaval,a-west,west,5504.75,10000,"GM, M3098, M2035, P2, P3, G3","3015, 2938, 2926, 2768, 2695, 2639",Div A West or Nexus
The Church of Orphea,new team,,5261.5,10000,"GM, M5619, D2, D4","3321, 3025, 2836, 2831",
LTK - No Time To Die,new team,east,5000,5000,"M462, M462, M1655, M2507, D1, D2","3008, 2972, 2972, 2936, 2893, 2779",
The Wild Squad,new team,east,5000,5000,"M294, M294, M1694, M1332, D3, D4, P5","2892, 2887, 2871, 2871, 2777, 2768, 2714",
Big Push Power,new team,west,5000,5000,"M1652, M3412, M2115, M1244, D1","3042, 2968, 2920, 2873, 2808",
Under Newb Management,new team,east,5000,5000,"M1418, M1418, M1526, M673, D4, D4, D4","2928, 2928, 2913, 2907, 2872, 2849, 2843",I believe we are A division due to various role swaps and new shot calling. 
Small Potatoes,new team,west,5000,5000,"M885, M885, M885, M1453, D2, D4, D4, G3","2941, 2929, 2922, 2922, 2922, 2842, 2812, 2393",
Vendetta,nexus,east,5000,5000,"M1062, M3404, M4272, M39, M1362, D1, D3, D4","3000, 2978, 2976, 2921, 2896, 2851, 2791, 2761",Heroic/Nexus
I JUST ENJOY BREAD MAN,nexus,east,5000,5000,"M2242, M3007, M2544, M1582, D2","3037, 3015, 2921, 2887, 2819",Nexus
BeefBois,a-east,west,5000,5000,"M2025, M2850, M2002, M160, M443, D3","2962, 2926, 2836, 2816, 2809, 2790",Nexus/Div A
Phoenix Rising Ruby,nexus,either,5000,5000,"M236, M236, M236, M795, D1, D1, D3, D3, P1","2917, 2917, 2917, 2895, 2886, 2875, 2859, 2852, 2830",Nexus
Minion Miners,a-west,east,5000,5000,"M233, M233, M233, M1079, M688, D4, D5, G1","2963, 2892, 2832, 2832, 2832, 2797, 2776, 2604",Nexus
Caffeinated Knights,nexus,east,5000,5000,"M1480, M1456, M796, M3508, D2, D3","3038, 2930, 2921, 2803, 2784, 2661",Div A/Nexus
Team Happy Cloud,nexus,east,5000,5000,"M6728, M58, M64, M750, D1, D3, D3, D4, P1","2986, 2983, 2973, 2916, 2902, 2861, 2826, 2778, 2631",Nexus Div or storm Div+. Did well in Nexus but had a lot of issues with a consistent roster. Hoping the addition of Saber as a starter addresses consistency issues. We've frequently take games off of Storm + Heroic teams in scrims and prefer to scrim Nexus+ 
Better Than Bots,a-west,either,4768,10000,"GM, D1, D2, D3, D3, D4, G2, G2","3038, 2936, 2881, 2839, 2788, 2731, 2720, 2703","We would like to compete in Division A again, but in the EAST."
